Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Johan Santana,Twins,19,6,34,34,1,233.2,186,24,47,245,79,0,0,1,72,4,0,0,0,923,4,0.92,1.81,9.44,5.21,21.5 %,40.4 %,9.9 %,77.7 %,2.77,0.26899999999999996,3.04,1.0,3.9,6.7
Brandon Webb,Diamondbacks,16,8,33,33,5,235.0,216,15,50,178,91,0,0,2,81,6,0,4,3,950,5,0.57,1.91,6.82,3.56,13.5 %,66.3 %,13.2 %,72.1 %,3.1,0.287,3.18,1.13,3.89,6.5
Roy Oswalt,Astros,15,8,33,32,2,220.2,220,18,38,166,76,0,0,1,73,6,0,4,0,896,1,0.73,1.55,6.77,4.37,14.3 %,48.8 %,8.6 %,78.7 %,2.98,0.302,3.3,1.17,3.94,6.1
Aaron Harang,Reds,16,11,36,35,6,234.1,242,28,56,216,109,0,0,1,98,8,0,8,2,993,6,1.08,2.15,8.3,3.86,16.1 %,38.5 %,10.5 %,73.8 %,3.76,0.312,3.68,1.27,2.07,5.7
Jeremy Bonderman,Tigers,14,8,34,34,0,214.0,214,18,64,202,104,0,0,1,97,3,0,7,0,903,3,0.76,2.69,8.5,3.16,15.3 %,48.2 %,9.0 %,69.2 %,4.08,0.318,3.29,1.3,2.17,5.6
John Smoltz,Braves,16,9,35,35,3,232.0,221,23,55,211,93,0,0,0,90,9,0,4,1,960,5,0.89,2.13,8.19,3.84,16.3 %,46.3 %,10.2 %,76.0 %,3.49,0.299,3.44,1.19,2.98,5.5
John Lackey,Angels,13,11,33,33,3,217.2,203,14,72,190,98,0,0,0,86,9,0,4,2,922,16,0.58,2.98,7.86,2.64,12.8 %,43.0 %,5.7 %,70.4 %,3.56,0.297,3.35,1.26,1.08,5.3
Mike Mussina,Yankees,15,7,32,32,1,197.1,184,22,35,172,88,0,0,0,77,5,0,1,0,804,3,1.0,1.6,7.84,4.91,17.0 %,42.4 %,9.4 %,70.4 %,3.51,0.284,3.46,1.11,1.48,5.2
Roy Halladay,Blue Jays,16,5,32,32,4,220.0,208,19,34,132,82,0,0,0,78,5,0,5,0,876,3,0.78,1.39,5.4,3.88,11.2 %,57.5 %,12.5 %,74.9 %,3.19,0.276,3.6,1.1,3.2,5.1
CC Sabathia,Indians,12,11,28,28,6,192.2,182,17,44,172,83,0,0,0,69,7,0,3,2,802,3,0.79,2.06,8.03,3.91,16.0 %,45.1 %,8.4 %,71.7 %,3.22,0.294,3.3,1.17,2.42,5.0
Chris Carpenter,Cardinals,15,8,32,32,5,221.2,194,21,43,184,81,0,0,0,76,10,0,3,3,896,3,0.85,1.75,7.47,4.28,15.7 %,53.3 %,11.5 %,76.3 %,3.09,0.271,3.44,1.07,2.89,5.0
Javier Vazquez,White Sox,11,12,33,32,1,202.2,206,23,56,184,116,0,0,0,109,15,0,2,0,872,7,1.02,2.49,8.17,3.29,14.7 %,40.2 %,9.3 %,65.8 %,4.84,0.308,3.86,1.29,-0.54,4.7
Erik Bedard,Orioles,15,11,33,33,0,196.1,196,16,69,171,92,0,0,0,82,5,0,0,0,844,6,0.73,3.16,7.84,2.48,12.1 %,48.8 %,9.0 %,71.9 %,3.76,0.309,3.59,1.35,1.21,4.6
Bronson Arroyo,Reds,14,11,35,35,3,240.2,222,31,64,184,98,0,0,0,88,5,0,7,1,992,6,1.16,2.39,6.88,2.88,12.1 %,38.2 %,10.5 %,78.0 %,3.29,0.27,4.15,1.19,2.9,4.6
Curt Schilling,Red Sox,15,7,31,31,0,204.0,220,28,28,183,90,0,0,0,90,3,0,1,0,834,1,1.24,1.24,8.07,6.54,18.6 %,39.8 %,11.4 %,76.0 %,3.97,0.324,3.59,1.22,1.42,4.6
Jake Peavy,Padres,11,14,32,32,2,202.1,187,23,62,215,93,0,0,0,92,6,0,11,0,846,4,1.02,2.76,9.56,3.47,18.1 %,38.0 %,9.6 %,72.7 %,4.09,0.304,3.51,1.23,0.55,4.4
Derek Lowe,Dodgers,16,8,35,34,1,218.0,221,14,55,123,97,0,0,2,88,5,0,2,0,913,3,0.58,2.27,5.08,2.24,7.5 %,67.0 %,11.2 %,70.4 %,3.63,0.289,3.68,1.27,2.87,4.4
Greg Maddux,Dodgers,15,14,34,34,0,210.0,219,20,37,117,109,0,0,0,98,0,0,7,0,862,0,0.86,1.59,5.01,3.16,9.3 %,50.7 %,10.4 %,64.5 %,4.2,0.289,3.8,1.22,0.99,4.3
Kevin Millwood,Rangers,16,12,34,34,2,215.0,228,23,53,157,114,0,0,0,108,4,0,4,0,907,6,0.96,2.22,6.57,2.96,11.5 %,44.7 %,9.8 %,67.6 %,4.52,0.306,3.87,1.31,1.04,4.3
Jason Jennings,Rockies,9,13,32,32,3,212.0,206,17,85,142,94,0,0,0,89,3,0,7,2,902,10,0.72,3.61,6.03,1.67,6.3 %,43.9 %,7.0 %,74.0 %,3.78,0.289,4.09,1.37,1.82,4.2
Jose Contreras,White Sox,13,9,30,30,1,196.0,194,20,55,134,101,0,0,0,93,10,0,4,1,833,16,0.92,2.53,6.15,2.44,9.5 %,44.6 %,8.3 %,68.4 %,4.27,0.28300000000000003,4.1,1.27,0.7,4.0
Chris Capuano,Brewers,11,12,34,34,3,221.1,229,29,47,174,108,0,0,0,99,9,0,4,2,936,7,1.18,1.91,7.08,3.7,13.6 %,39.9 %,10.5 %,72.4 %,4.03,0.295,4.04,1.25,0.88,4.0
Kelvim Escobar,Angels,11,14,30,30,1,189.1,192,17,50,147,93,0,0,0,76,4,0,2,0,789,7,0.81,2.38,6.99,2.94,12.3 %,44.7 %,8.1 %,68.9 %,3.61,0.306,3.62,1.28,1.25,4.0
Carlos Zambrano,Cubs,16,7,33,33,0,214.0,162,20,115,210,91,0,0,1,81,9,0,4,0,917,9,0.84,4.84,8.83,1.83,10.4 %,46.9 %,10.0 %,75.6 %,3.41,0.252,4.14,1.29,2.08,3.9
Dan Haren,Athletics,14,13,34,34,2,223.0,224,31,45,176,109,0,0,0,102,10,0,6,0,930,10,1.25,1.82,7.1,3.91,14.1 %,45.2 %,12.5 %,72.2 %,4.12,0.289,4.12,1.21,2.16,3.8
Jason Schmidt,Giants,11,9,32,32,3,213.1,189,21,80,180,94,0,0,1,85,6,0,6,1,894,11,0.89,3.38,7.59,2.25,11.2 %,37.4 %,7.9 %,73.7 %,3.59,0.27699999999999997,3.95,1.26,2.43,3.8
Dave Bush,Brewers,12,11,34,32,3,210.0,201,26,38,166,111,0,0,0,103,18,1,2,2,869,6,1.11,1.63,7.11,4.37,14.7 %,46.6 %,12.1 %,66.2 %,4.41,0.282,3.98,1.14,0.24,3.8
Chien-Ming Wang,Yankees,19,6,34,33,2,218.0,233,12,52,76,92,1,0,1,88,2,0,4,1,900,6,0.5,2.15,3.14,1.46,2.7 %,62.8 %,7.8 %,72.2 %,3.63,0.292,3.91,1.31,2.41,3.8
Matt Cain,Giants,13,12,32,31,1,190.2,157,18,87,179,93,0,0,2,88,6,0,1,1,818,9,0.85,4.11,8.45,2.06,11.3 %,35.6 %,7.1 %,69.8 %,4.15,0.263,3.96,1.28,0.88,3.8
Aaron Cook,Rockies,9,15,32,32,0,212.2,242,17,55,92,107,0,0,0,100,7,0,11,0,915,2,0.72,2.33,3.89,1.67,4.0 %,57.6 %,9.6 %,70.3 %,4.23,0.302,4.2,1.4,1.98,3.6
Jon Garland,White Sox,18,7,33,32,1,211.1,247,26,41,112,112,0,0,0,106,6,0,4,1,900,4,1.11,1.75,4.77,2.73,7.9 %,42.1 %,9.5 %,70.7 %,4.51,0.309,4.35,1.36,0.96,3.6
Jake Westbrook,Indians,15,10,32,32,3,211.1,247,15,55,109,106,0,0,0,98,4,0,4,2,904,5,0.64,2.34,4.64,1.98,6.0 %,60.8 %,9.6 %,70.2 %,4.17,0.322,3.88,1.43,0.68,3.6
Brad Penny,Dodgers,16,9,34,33,0,189.0,206,19,54,148,94,0,0,0,91,9,1,4,0,813,6,0.9,2.57,7.05,2.74,11.6 %,43.5 %,8.9 %,72.2 %,4.33,0.321,3.89,1.38,0.72,3.6
Brett Myers,Phillies,12,7,31,31,1,198.0,194,29,63,189,93,0,0,0,86,3,0,3,0,833,3,1.32,2.86,8.59,3.0,15.1 %,45.6 %,14.3 %,76.1 %,3.91,0.301,4.14,1.3,2.16,3.5
Jeff Francis,Rockies,13,11,32,32,1,199.0,187,18,69,117,101,0,0,0,92,13,0,15,1,843,0,0.81,3.12,5.29,1.7,5.7 %,44.7 %,7.9 %,68.9 %,4.16,0.27,4.38,1.29,1.21,3.5
Andy Pettitte,Astros,14,13,36,35,2,214.1,238,27,70,178,114,0,0,1,100,2,0,9,1,929,2,1.13,2.94,7.47,2.54,11.6 %,49.7 %,14.4 %,72.0 %,4.2,0.324,4.13,1.44,-0.07,3.4
Felix Hernandez,Mariners,12,14,31,31,2,191.0,195,23,60,176,105,0,0,0,96,6,0,2,1,816,11,1.08,2.83,8.29,2.93,14.2 %,57.7 %,16.4 %,68.2 %,4.52,0.312,3.91,1.34,0.06,3.3
