Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Randy Johnson,Yankees,17,11,33,33,2,205.0,194,28,60,172,125,0,0,2,114,10,0,1,0,860,3,1.23,2.63,7.55,2.87,13.0 %,41.9 %,10.9 %,61.8 %,5.0,0.281,4.27,1.24,-1.93,3.2
Zach Duke,Pirates,10,15,34,34,2,215.1,255,17,68,117,116,0,0,1,107,7,0,6,1,935,8,0.71,2.84,4.89,1.72,5.2 %,51.3 %,8.3 %,69.9 %,4.47,0.32799999999999996,4.13,1.5,-1.19,3.2
Vicente Padilla,Rangers,15,10,33,33,0,200.0,206,21,70,156,108,0,0,2,100,17,0,2,0,872,4,0.94,3.15,7.02,2.23,9.9 %,44.1 %,9.9 %,70.2 %,4.5,0.304,4.26,1.38,0.11,3.2
Joe Blanton,Athletics,16,12,32,31,1,194.1,241,17,58,107,111,0,0,0,104,5,0,4,1,856,3,0.79,2.69,4.96,1.84,5.7 %,43.3 %,6.8 %,68.9 %,4.82,0.335,4.16,1.54,-0.91,3.2
Freddy Garcia,White Sox,17,9,33,33,1,216.1,228,32,48,135,116,0,0,0,109,7,0,3,0,917,4,1.33,2.0,5.62,2.81,9.5 %,41.2 %,10.9 %,70.1 %,4.53,0.282,4.58,1.28,0.48,3.1
Dontrelle Willis,Marlins,12,12,34,34,4,223.1,234,21,83,160,106,0,0,1,96,19,0,6,1,975,6,0.85,3.34,6.45,1.93,7.9 %,47.5 %,9.2 %,75.0 %,3.87,0.308,4.31,1.42,1.04,3.0
Ervin Santana,Angels,16,8,33,33,0,204.0,181,21,70,141,106,0,0,2,97,11,0,2,0,846,10,0.93,3.09,6.22,2.01,8.4 %,38.6 %,7.7 %,67.1 %,4.28,0.265,4.29,1.23,0.44,3.0
Tom Glavine,Mets,15,7,32,32,0,198.0,202,22,62,131,94,0,0,0,84,6,0,7,0,842,1,1.0,2.82,5.95,2.11,8.2 %,44.3 %,10.9 %,73.6 %,3.82,0.29,4.3,1.33,0.44,2.9
Miguel Batista,Diamondbacks,11,8,34,33,3,206.1,231,18,84,110,116,0,0,1,105,6,0,5,1,910,14,0.79,3.66,4.8,1.31,2.9 %,51.7 %,9.2 %,69.3 %,4.58,0.308,4.52,1.53,-0.08,2.9
Justin Verlander,Tigers,17,9,30,30,1,186.0,187,21,60,124,78,0,0,1,75,6,0,1,1,776,5,1.02,2.9,6.0,2.07,8.3 %,41.9 %,10.3 %,78.3 %,3.63,0.294,4.35,1.33,2.21,2.8
Doug Davis,Brewers,11,11,34,34,1,203.1,206,19,102,159,118,0,0,0,111,5,0,1,1,904,3,0.84,4.51,7.04,1.56,6.3 %,44.1 %,8.8 %,68.1 %,4.91,0.302,4.38,1.51,-1.03,2.8
Orlando Hernandez,Mets,11,11,29,29,1,162.1,155,22,61,164,90,0,0,3,84,12,0,5,0,699,1,1.22,3.38,9.09,2.69,14.7 %,34.0 %,10.5 %,70.0 %,4.66,0.302,4.24,1.33,0.19,2.7
Scott Olsen,Marlins,12,10,31,31,0,180.2,160,23,75,166,94,0,0,0,81,7,0,1,0,761,8,1.15,3.74,8.27,2.21,12.0 %,44.8 %,12.5 %,70.5 %,4.04,0.28,4.33,1.3,0.58,2.5
Clay Hensley,Padres,11,12,37,29,1,187.0,174,15,76,122,82,0,1,0,77,3,1,7,1,787,3,0.72,3.66,5.87,1.61,5.8 %,53.9 %,8.9 %,73.7 %,3.71,0.278,4.15,1.34,0.78,2.5
Tim Hudson,Braves,13,12,35,35,2,218.1,235,25,79,141,129,0,0,0,118,9,0,10,1,959,7,1.03,3.26,5.81,1.78,6.5 %,57.8 %,14.4 %,67.4 %,4.86,0.298,4.55,1.44,-0.09,2.5
Jon Lieber,Phillies,9,11,27,27,2,168.0,196,27,24,100,100,0,0,0,92,6,0,3,1,714,3,1.45,1.29,5.36,4.17,10.6 %,43.0 %,13.5 %,67.0 %,4.93,0.303,4.58,1.31,-0.12,2.4
Cliff Lee,Indians,14,11,33,33,1,200.2,224,29,58,129,114,0,0,0,98,8,0,3,0,882,3,1.3,2.6,5.79,2.22,8.1 %,32.7 %,8.8 %,70.6 %,4.4,0.29600000000000004,4.73,1.41,-0.58,2.3
Matt Morris,Giants,10,15,33,33,2,207.2,218,22,63,117,123,0,0,3,115,14,0,9,0,903,1,0.95,2.73,5.07,1.86,6.0 %,45.7 %,9.5 %,65.1 %,4.98,0.285,4.51,1.35,-1.38,2.3
Barry Zito,Athletics,16,10,34,34,0,221.0,211,27,99,151,99,0,0,2,94,13,0,5,0,945,4,1.1,4.03,6.15,1.53,5.5 %,38.3 %,9.0 %,78.5 %,3.83,0.281,4.89,1.4,2.27,2.2
Nate Robertson,Tigers,13,13,32,32,1,208.2,206,29,67,137,98,0,0,0,89,8,0,2,0,881,6,1.25,2.89,5.91,2.04,8.0 %,46.7 %,13.2 %,76.1 %,3.84,0.27699999999999997,4.72,1.31,2.83,2.2
Chris Young,Padres,11,5,31,31,0,179.1,134,28,69,164,72,0,0,1,69,6,0,4,0,735,6,1.41,3.46,8.23,2.38,12.9 %,25.4 %,10.4 %,80.7 %,3.46,0.226,4.6,1.13,2.29,2.2
Mark Hendrickson,Dodgers,6,15,31,25,1,164.2,173,17,62,99,87,0,0,1,77,4,1,0,1,719,6,0.93,3.39,5.41,1.6,5.2 %,47.8 %,8.7 %,70.6 %,4.21,0.29100000000000004,4.49,1.43,-0.09,2.1
Ted Lilly,Blue Jays,15,13,32,32,0,181.2,179,28,81,160,98,0,0,4,87,4,0,6,0,797,7,1.39,4.01,7.93,1.98,9.9 %,37.7 %,12.1 %,73.8 %,4.31,0.28800000000000003,4.79,1.43,0.47,2.1
Kenny Rogers,Tigers,17,8,34,33,0,204.0,195,23,62,99,97,0,0,0,87,9,0,2,0,849,5,1.01,2.74,4.37,1.6,4.4 %,50.0 %,10.8 %,72.3 %,3.84,0.262,4.69,1.26,0.76,2.1
Livan Hernandez,Diamondbacks,13,13,34,34,0,216.0,246,29,78,128,125,0,0,0,116,4,0,6,0,959,1,1.21,3.25,5.33,1.64,5.2 %,36.4 %,9.3 %,70.6 %,4.83,0.301,4.85,1.5,-1.17,2.0
Ian Snell,Pirates,14,11,32,32,0,186.0,198,29,74,169,104,0,0,0,98,2,0,4,0,813,8,1.4,3.58,8.18,2.28,11.7 %,42.7 %,14.9 %,72.8 %,4.74,0.314,4.58,1.46,-0.23,1.9
Jarrod Washburn,Mariners,8,14,31,31,0,187.0,198,25,55,103,103,0,0,0,97,7,0,2,0,809,3,1.2,2.65,4.96,1.87,5.9 %,39.7 %,9.3 %,69.8 %,4.67,0.27899999999999997,4.78,1.35,-0.56,1.9
Jamie Moyer,Phillies,11,14,33,33,2,211.1,228,33,51,108,110,0,0,1,101,5,0,5,1,894,3,1.41,2.17,4.6,2.12,6.4 %,40.0 %,11.7 %,73.2 %,4.3,0.28,4.95,1.32,0.22,1.9
Gil Meche,Mariners,11,8,32,32,1,186.2,183,24,84,156,106,0,0,2,93,8,0,2,0,811,4,1.16,4.05,7.52,1.86,8.9 %,43.1 %,11.3 %,70.0 %,4.48,0.295,4.63,1.43,-0.59,1.9
Jeff Suppan,Cardinals,12,7,32,32,0,190.0,207,21,69,104,100,0,0,0,87,8,0,6,0,837,8,0.99,3.27,4.93,1.51,4.2 %,46.8 %,10.8 %,72.3 %,4.12,0.293,4.7,1.45,0.63,1.9
Claudio Vargas,Diamondbacks,12,10,31,30,0,167.2,185,27,52,123,101,0,0,1,90,8,0,2,0,747,9,1.45,2.79,6.6,2.37,9.5 %,39.9 %,11.6 %,69.5 %,4.83,0.294,4.85,1.41,-0.36,1.9
Josh Fogg,Rockies,11,9,31,31,1,172.0,206,24,60,93,115,0,0,0,105,6,0,13,1,765,3,1.26,3.14,4.87,1.55,4.3 %,42.5 %,10.8 %,65.9 %,5.49,0.313,5.03,1.55,-0.18,1.7
Mark Buehrle,White Sox,12,13,32,32,1,204.0,247,36,48,98,124,0,0,1,113,6,0,5,0,876,0,1.59,2.12,4.32,2.04,5.7 %,44.1 %,13.8 %,70.6 %,4.99,0.307,5.27,1.45,-0.74,1.7
Paul Byrd,Indians,10,9,31,31,1,179.0,232,26,38,88,120,0,0,0,97,6,0,3,0,805,2,1.31,1.91,4.42,2.32,6.2 %,38.5 %,10.6 %,65.1 %,4.88,0.318,4.79,1.51,-2.01,1.7
Rodrigo Lopez,Orioles,9,18,36,29,0,189.0,234,32,59,136,129,0,0,1,124,4,0,2,0,847,6,1.52,2.81,6.48,2.31,9.1 %,42.8 %,14.3 %,66.6 %,5.9,0.32799999999999996,4.91,1.55,-2.01,1.7
Brad Radke,Twins,12,9,28,28,0,162.1,197,24,32,83,87,0,0,0,78,1,0,3,0,689,2,1.33,1.77,4.6,2.59,7.4 %,41.6 %,11.1 %,72.8 %,4.32,0.315,4.66,1.41,-0.26,1.6
Paul Maholm,Pirates,8,10,30,30,0,176.0,202,19,81,117,98,0,0,1,93,12,0,6,0,788,3,0.97,4.14,5.98,1.44,4.6 %,53.0 %,12.8 %,73.4 %,4.76,0.327,4.81,1.61,-0.94,1.4
Mark Redman,Royals,11,10,29,29,2,167.0,202,19,63,76,110,0,0,2,106,8,0,1,1,740,12,1.02,3.4,4.1,1.21,1.8 %,44.8 %,9.4 %,66.2 %,5.71,0.319,4.99,1.59,-0.79,1.2
Cory Lidle,Yankees,12,10,31,30,0,170.2,181,30,58,130,100,0,0,0,92,11,0,4,0,745,5,1.58,3.06,6.86,2.24,9.7 %,49.9 %,16.9 %,72.1 %,4.85,0.293,5.12,1.4,-0.51,1.2
Josh Beckett,Red Sox,16,11,33,33,0,204.2,191,36,74,158,120,0,0,1,114,10,0,1,0,869,11,1.58,3.25,6.95,2.14,9.7 %,45.1 %,15.4 %,69.0 %,5.01,0.262,5.12,1.29,0.32,1.0
Kris Benson,Orioles,11,12,30,30,3,183.0,199,33,58,88,105,0,0,0,98,7,0,2,0,781,6,1.62,2.85,4.33,1.52,3.8 %,41.5 %,13.9 %,73.0 %,4.82,0.27899999999999997,5.59,1.4,0.29,0.6
Steve Trachsel,Mets,15,8,30,30,1,164.2,185,23,78,79,94,0,0,0,91,4,0,1,0,736,4,1.26,4.26,4.32,1.01,0.1 %,41.5 %,10.1 %,73.7 %,4.97,0.293,5.5,1.6,-0.69,0.5
Joel Pineiro,Mariners,8,13,40,25,1,165.2,209,23,64,87,123,1,1,1,117,10,4,13,0,753,4,1.25,3.48,4.73,1.36,3.1 %,47.6 %,13.4 %,63.8 %,6.36,0.327,5.24,1.65,-2.53,0.4
Jeff Weaver,Cardinals,8,14,31,31,0,172.0,213,34,47,107,117,0,0,0,110,10,0,1,0,770,5,1.78,2.46,5.6,2.28,7.8 %,39.0 %,14.9 %,68.8 %,5.76,0.313,5.47,1.51,-2.47,0.3
Ramon Ortiz,Nationals,11,16,33,33,0,190.2,230,31,64,104,127,0,0,3,118,18,0,14,0,871,4,1.46,3.02,4.91,1.63,4.6 %,40.8 %,11.7 %,68.9 %,5.57,0.304,5.46,1.54,-2.14,0.2
Jason Marquis,Cardinals,14,16,33,33,0,194.1,221,35,75,96,136,0,0,1,130,16,0,2,0,870,2,1.62,3.47,4.45,1.28,2.4 %,42.6 %,13.1 %,66.9 %,6.02,0.287,5.9,1.52,-2.09,-0.5
Carlos Silva,Twins,11,15,36,31,0,180.1,246,38,32,70,130,0,0,0,119,7,2,4,0,811,1,1.9,1.6,3.49,2.19,4.7 %,43.5 %,16.1 %,66.9 %,5.94,0.313,5.76,1.54,-1.78,-0.5
