"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Joe Mauer","Twins","140","521","608","181","128","36","4","13","86","84","79","21","54","1","7","0","24","8","3",".347","1857"
"Freddy Sanchez","Pirates","157","582","632","200","139","53","2","6","85","85","31","6","52","7","9","3","12","3","2",".344","1624"
"Derek Jeter","Yankees","154","623","715","214","158","39","3","14","118","97","69","4","102","12","4","7","13","34","5",".343","826"
"Robinson Cano","Yankees","122","482","508","165","108","41","1","15","62","78","18","3","54","2","5","1","19","5","2",".342","3269"
"Miguel Cabrera","Marlins","158","576","676","195","117","50","2","26","112","114","86","27","108","10","4","0","18","9","6",".339","1744"
"Albert Pujols","Cardinals","143","535","634","177","94","33","1","49","119","137","92","28","50","4","3","0","20","7","2",".331","1177"
"Miguel Tejada","Orioles","162","648","709","214","153","37","0","24","99","100","46","10","79","9","6","0","28","6","2",".330","941"
"Vladimir Guerrero","Angels","156","607","665","200","132","34","1","33","92","116","50","25","68","4","4","0","16","15","5",".329","778"
"Garrett Atkins","Rockies","157","602","695","198","120","48","1","29","117","120","79","6","76","7","7","0","24","4","0",".329","1790"
"Matt Holliday","Rockies","155","602","667","196","112","45","5","34","119","114","47","3","110","15","3","0","22","10","5",".326","1873"
"Ichiro Suzuki","Mariners","161","695","752","224","186","20","9","9","110","49","49","16","71","5","2","1","2","45","2",".322","1101"
"Justin Morneau","Twins","157","592","661","190","118","37","1","34","97","130","53","9","93","5","11","0","10","3","3",".321","1737"
"Manny Ramirez","Red Sox","130","449","558","144","81","27","1","35","79","102","100","16","102","1","8","0","13","0","1",".321","210"
"Carlos Guillen","Tigers","153","543","622","174","109","41","5","19","100","85","71","10","87","4","4","0","16","20","9",".320","1079"
"Reed Johnson","Blue Jays","134","461","517","147","99","34","2","12","86","49","33","4","81","21","1","1","9","8","2",".319","1702"
"Paul Lo Duca","Mets","124","512","551","163","118","39","1","5","80","49","24","0","38","6","2","7","15","3","0",".318","662"
"Victor Martinez","Indians","153","572","652","181","128","37","0","16","82","93","71","8","78","3","6","0","27","0","0",".316","393"
"Jermaine Dye","White Sox","146","539","611","170","96","27","3","44","103","120","59","4","118","6","7","0","15","7","3",".315","911"
"Lance Berkman","Astros","152","536","646","169","95","29","0","45","95","136","98","22","106","4","8","0","11","3","2",".315","548"
"Michael Young","Rangers","162","691","748","217","148","52","3","14","93","103","48","0","96","1","8","0","27","7","3",".314","1286"
"Ryan Howard","Phillies","159","581","704","182","98","25","1","58","104","149","108","37","181","9","6","0","7","0","0",".313","2154"
"Gary Matthews Jr.","Rangers","147","620","690","194","125","44","6","19","102","79","58","5","99","4","8","0","8","10","7",".313","153"
"Paul Konerko","White Sox","152","566","643","177","112","30","0","35","97","113","60","3","104","8","9","0","25","1","0",".313","242"
"Lyle Overbay","Blue Jays","157","581","640","181","112","46","1","22","82","92","55","7","96","2","2","0","19","5","3",".312","1617"
"David Wright","Mets","154","582","661","181","110","40","5","26","96","116","66","13","113","5","8","0","15","20","5",".311","3787"
"Chase Utley","Phillies","160","658","739","203","127","40","4","32","131","102","63","1","132","14","4","0","9","15","4",".309","1679"
"Travis Hafner","Indians","129","454","564","140","66","31","1","42","100","117","100","16","111","7","2","0","10","0","0",".308","1573"
"Carl Crawford","Devil Rays","151","600","653","183","129","20","16","18","89","77","37","3","85","4","2","9","8","58","9",".305","1201"
"Adrian Gonzalez","Padres","156","570","631","173","110","38","1","24","83","82","52","9","113","3","5","1","24","0","1",".304","1908"
"Vernon Wells","Blue Jays","154","611","677","185","108","40","5","32","91","106","54","0","90","3","9","0","13","17","4",".303","1326"
"Nomar Garciaparra","Dodgers","122","469","523","142","89","31","2","20","82","93","42","9","30","8","4","0","15","3","0",".303","190"
"Todd Helton","Rockies","145","546","649","165","105","40","5","15","94","81","91","15","64","6","6","0","10","3","2",".302","432"
"Kenny Lofton","Dodgers","129","469","522","141","111","15","12","3","79","41","45","1","42","0","2","6","16","32","5",".301","246"
"Jamey Carroll","Rockies","136","463","534","139","106","23","5","5","84","36","56","1","66","3","3","9","10","10","12",".300","1591"
"Jose Reyes","Mets","153","647","703","194","128","30","17","19","122","81","53","6","81","1","0","2","6","64","17",".300","1736"
"Ivan Rodriguez","Tigers","136","547","580","164","119","28","4","13","74","69","26","4","86","1","2","4","16","8","3",".300","1275"
"Rafael Furcal","Dodgers","159","654","736","196","140","32","9","15","113","63","73","3","98","1","3","5","7","37","13",".300","88"
"Carlos Lee","- - -","161","624","695","187","112","37","1","37","102","116","58","6","65","2","11","0","22","19","2",".300","243"
"Magglio Ordonez","Tigers","155","593","646","177","120","32","1","24","82","104","45","3","87","4","4","0","13","1","4",".298","248"
"Mark Grudzielanek","Royals","134","548","586","163","120","32","4","7","85","52","28","4","69","2","5","3","12","3","2",".297","653"
"Bobby Abreu","- - -","156","548","686","163","105","41","2","15","98","107","124","6","138","3","9","2","13","30","6",".297","945"
"Matt Murton","Cubs","144","455","508","135","97","22","3","13","70","62","45","1","62","5","2","1","16","5","2",".297","6307"
"Luis Castillo","Twins","142","584","652","173","142","22","6","3","84","49","56","0","58","1","2","9","14","25","11",".296","513"
"Jay Payton","Athletics","142","557","588","165","120","32","3","10","78","59","22","1","52","4","5","0","12","8","4",".296","890"
"Mark DeRosa","Rangers","136","520","572","154","99","40","2","13","78","74","44","1","102","6","2","0","13","4","4",".296","1392"
"Scott Rolen","Cardinals","142","521","594","154","83","48","1","22","94","95","56","7","69","9","8","0","10","7","4",".296","970"
"Omar Vizquel","Giants","153","579","659","171","135","22","10","4","88","58","56","3","51","6","5","13","13","24","7",".295","411"
"David DeJesus","Royals","119","491","552","145","94","36","7","8","83","56","43","4","70","12","4","2","10","6","3",".295","1825"
