"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Johan Santana","Twins","19","6","2.77","34","34","1","0","0","0","0","233.2","923","186","79","72","24","47","0","4","4","1","245","755"
"Roy Oswalt","Astros","15","8","2.98","33","32","2","0","0","0","0","220.2","896","220","76","73","18","38","4","6","1","1","166","571"
"Chris Carpenter","Cardinals","15","8","3.09","32","32","5","3","0","0","0","221.2","896","194","81","76","21","43","3","10","3","0","184","1292"
"Brandon Webb","Diamondbacks","16","8","3.10","33","33","5","3","0","0","0","235.0","950","216","91","81","15","50","4","6","5","2","178","1692"
"Roy Halladay","Blue Jays","16","5","3.19","32","32","4","0","0","0","0","220.0","876","208","82","78","19","34","5","5","3","0","132","1303"
"CC Sabathia","Indians","12","11","3.22","28","28","6","2","0","0","0","192.2","802","182","83","69","17","44","3","7","3","0","172","404"
"Bronson Arroyo","Reds","14","11","3.29","35","35","3","1","0","0","0","240.2","992","222","98","88","31","64","7","5","6","0","184","978"
"Carlos Zambrano","Cubs","16","7","3.41","33","33","0","0","0","0","0","214.0","917","162","91","81","20","115","4","9","9","1","210","305"
"Chris Young","Padres","11","5","3.46","31","31","0","0","0","0","0","179.1","735","134","72","69","28","69","4","6","6","1","164","3196"
"John Smoltz","Braves","16","9","3.49","35","35","3","1","0","0","0","232.0","960","221","93","90","23","55","4","9","5","0","211","115"
"Mike Mussina","Yankees","15","7","3.51","32","32","1","0","0","0","0","197.1","804","184","88","77","22","35","1","5","3","0","172","837"
"John Lackey","Angels","13","11","3.56","33","33","3","2","0","0","0","217.2","922","203","98","86","14","72","4","9","16","0","190","1507"
"Jason Schmidt","Giants","11","9","3.59","32","32","3","1","0","0","0","213.1","894","189","94","85","21","80","6","6","11","1","180","1131"
"Kelvim Escobar","Angels","11","14","3.61","30","30","1","0","0","0","0","189.1","789","192","93","76","17","50","2","4","7","0","147","1298"
"Justin Verlander","Tigers","17","9","3.63","30","30","1","1","0","0","0","186.0","776","187","78","75","21","60","1","6","5","1","124","8700"
"Derek Lowe","Dodgers","16","8","3.63","35","34","1","0","0","0","0","218.0","913","221","97","88","14","55","2","5","3","2","123","199"
"Chien-Ming Wang","Yankees","19","6","3.63","34","33","2","1","1","0","0","218.0","900","233","92","88","12","52","4","2","6","1","76","2074"
"Clay Hensley","Padres","11","12","3.71","37","29","1","1","0","1","1","187.0","787","174","82","77","15","76","7","3","3","0","122","4593"
"Erik Bedard","Orioles","15","11","3.76","33","33","0","0","0","0","0","196.1","844","196","92","82","16","69","0","5","6","0","171","126"
"Aaron Harang","Reds","16","11","3.76","36","35","6","2","0","0","0","234.1","993","242","109","98","28","56","8","8","6","1","216","1451"
"Jason Jennings","Rockies","9","13","3.78","32","32","3","2","0","0","0","212.0","902","206","94","89","17","85","7","3","10","0","142","434"
"Tom Glavine","Mets","15","7","3.82","32","32","0","0","0","0","0","198.0","842","202","94","84","22","62","7","6","1","0","131","90"
"Barry Zito","Athletics","16","10","3.83","34","34","0","0","0","0","0","221.0","945","211","99","94","27","99","5","13","4","2","151","944"
"Kenny Rogers","Tigers","17","8","3.84","34","33","0","0","0","0","0","204.0","849","195","97","87","23","62","2","9","5","0","99","1277"
"Nate Robertson","Tigers","13","13","3.84","32","32","1","0","0","0","0","208.2","881","206","98","89","29","67","2","8","6","0","137","1620"
