"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Roy Oswalt","Astros","3.94","-13.38","17.32","41.21","4.04","1.00","","0.92","1.41","30","3.62","0.33","0","1","571"
"Johan Santana","Twins","3.90","-13.85","17.75","47.98","4.73","0.97","","0.87","1.17","33","5.05","-1.03","0","0","755"
"Brandon Webb","Diamondbacks","3.89","-14.11","18.00","40.45","3.76","0.96","","0.87","0.98","28","4.27","-0.24","0","0","1692"
"Roy Halladay","Blue Jays","3.20","-13.20","16.40","36.30","3.47","0.97","","0.87","1.14","28","3.38","-0.07","0","0","1303"
"John Smoltz","Braves","2.98","-15.74","18.73","32.85","3.25","1.04","","0.87","1.21","32","2.63","0.25","0","0","115"
"Bronson Arroyo","Reds","2.90","-13.94","16.83","35.95","3.40","0.91","","0.88","0.74","32","3.57","-0.38","0","0","978"
"Chris Carpenter","Cardinals","2.89","-14.10","16.99","36.80","3.64","1.02","","0.87","1.25","27","3.90","-1.06","0","0","1292"
"Derek Lowe","Dodgers","2.87","-15.77","18.64","20.51","2.10","1.08","","0.91","1.29","33","2.63","0.04","1","0","199"
"Nate Robertson","Tigers","2.83","-14.75","17.58","21.77","2.10","1.04","","0.88","1.12","31","1.38","1.33","0","0","1620"
"Jason Schmidt","Giants","2.43","-15.52","17.95","24.05","2.32","1.11","","0.87","1.17","29","2.76","-0.58","0","0","1131"
"CC Sabathia","Indians","2.42","-12.23","14.65","25.53","2.46","0.98","","0.88","0.82","22","2.41","0.07","0","0","404"
"Chien-Ming Wang","Yankees","2.41","-15.54","17.95","23.27","2.29","1.06","2.81","0.93","1.40","31","2.81","-0.54","1","0","2074"
"Chris Young","Padres","2.29","-11.39","13.68","20.94","1.97","0.98","","0.88","1.47","31","1.64","0.71","0","0","3196"
"Barry Zito","Athletics","2.27","-15.96","18.23","18.36","1.72","1.04","","0.88","1.01","34","0.67","1.52","0","0","944"
"Justin Verlander","Tigers","2.21","-11.72","13.92","27.68","2.69","0.93","","0.87","0.85","29","1.27","1.11","0","0","8700"
"Jeremy Bonderman","Tigers","2.17","-14.65","16.82","13.13","1.25","1.00","","0.86","1.02","34","1.64","0.52","0","0","1667"
"Dan Haren","Athletics","2.16","-14.32","16.49","11.91","1.18","0.93","","0.87","1.08","32","0.17","2.15","0","0","1757"
"Brett Myers","Phillies","2.16","-14.21","16.37","17.87","1.60","1.04","","0.87","1.43","30","1.12","0.96","0","0","962"
"Carlos Zambrano","Cubs","2.08","-13.74","15.82","26.94","2.59","0.95","","0.87","0.91","33","2.43","-0.23","0","0","305"
"Aaron Harang","Reds","2.07","-17.02","19.08","23.59","2.23","1.02","","0.91","1.11","30","1.35","0.67","1","0","1451"
"Aaron Cook","Rockies","1.98","-14.29","16.26","24.02","2.08","0.95","","0.87","1.19","32","1.85","0.24","0","0","1571"
"Jason Jennings","Rockies","1.82","-14.83","16.65","26.97","2.49","0.98","","0.87","1.18","29","2.30","-0.45","0","0","434"
"Mike Mussina","Yankees","1.48","-11.56","13.04","19.21","1.84","0.85","","0.87","0.88","31","3.13","-1.39","0","0","837"
"Curt Schilling","Red Sox","1.42","-14.97","16.39","23.87","2.16","1.01","","0.88","1.23","31","1.34","0.06","0","0","73"
"Kelvim Escobar","Angels","1.25","-13.55","14.81","14.88","1.43","1.01","","0.88","1.22","29","2.35","-1.11","0","0","1298"
"Jeff Francis","Rockies","1.21","-13.49","14.69","17.69","1.51","0.97","","0.87","1.39","31","1.30","-0.05","0","0","4684"
"Erik Bedard","Orioles","1.21","-13.96","15.16","14.25","1.36","0.99","","0.87","0.87","33","1.21","0.01","0","0","126"
"John Lackey","Angels","1.08","-15.03","16.11","17.89","1.76","0.99","","0.87","1.05","30","2.69","-1.59","0","0","1507"
"Dontrelle Willis","Marlins","1.04","-17.86","18.91","8.20","0.77","1.07","","0.87","1.24","30","-0.27","1.24","0","0","1703"
"Kevin Millwood","Rangers","1.04","-14.61","15.65","9.89","0.97","0.93","","0.87","1.01","32","1.72","-0.60","0","0","106"
"Greg Maddux","- - -","0.99","-13.75","14.74","8.00","0.71","0.91","","0.88","1.17","34","1.85","-0.78","0","0","104"
"Jon Garland","White Sox","0.96","-13.95","14.90","6.79","0.58","0.88","2.13","0.91","1.10","32","0.40","0.68","0","1","232"
"Chris Capuano","Brewers","0.88","-15.98","16.86","10.37","0.93","0.98","","0.88","0.99","31","0.63","0.27","0","0","1701"
"Matt Cain","Giants","0.88","-13.37","14.25","13.78","1.39","0.99","","0.85","1.24","30","1.59","-0.71","0","0","4732"
"Clay Hensley","Padres","0.78","-13.35","14.13","12.31","1.17","0.98","2.10","0.90","0.97","34","0.18","0.62","2","2","4593"
"Kenny Rogers","Tigers","0.76","-13.06","13.82","16.47","1.53","0.89","","0.89","0.79","33","1.63","-0.78","0","1","1277"
"Brad Penny","Dodgers","0.72","-13.35","14.06","5.66","0.38","0.95","","0.88","0.98","34","0.48","0.27","0","1","535"
"Jose Contreras","White Sox","0.70","-14.23","14.93","13.38","1.19","0.98","","0.87","1.15","29","1.59","-0.87","0","0","1660"
"Jake Westbrook","Indians","0.68","-15.46","16.14","15.77","1.54","0.97","","0.87","1.05","29","1.13","-0.43","0","0","412"
"Jeff Suppan","Cardinals","0.63","-14.57","15.20","0.04","0.00","1.02","","0.88","1.12","32","-0.35","0.97","0","0","633"
"Scott Olsen","Marlins","0.58","-14.47","15.06","5.49","0.58","1.07","","0.88","1.27","31","0.87","-0.32","0","0","4529"
"Jake Peavy","Padres","0.55","-13.49","14.03","8.42","0.90","0.90","","0.87","0.87","30","0.86","-0.25","0","0","1051"
"Freddy Garcia","White Sox","0.48","-14.36","14.84","10.20","0.93","0.87","","0.87","0.96","32","0.55","0.01","0","0","1077"
"Ted Lilly","Blue Jays","0.47","-13.38","13.85","6.92","0.68","0.95","","0.87","0.92","32","-0.30","0.80","0","0","833"
"Tom Glavine","Mets","0.44","-15.32","15.76","11.62","1.16","1.07","","0.86","1.46","32","1.15","-0.74","0","0","90"
"Ervin Santana","Angels","0.44","-14.05","14.49","6.05","0.61","0.95","","0.87","1.02","33","1.38","-0.92","0","0","3200"
"Josh Beckett","Red Sox","0.32","-14.28","14.60","-2.51","-0.26","0.93","","0.87","1.12","33","0.75","-0.41","0","0","510"
"Kris Benson","Orioles","0.29","-13.46","13.75","-6.62","-0.64","0.97","","0.88","0.97","27","-0.69","0.99","0","0","982"
"Dave Bush","Brewers","0.24","-13.27","13.51","2.99","0.21","0.87","2.11","0.94","1.19","31","1.60","-1.33","1","1","4635"
"Jamie Moyer","- - -","0.22","-14.88","15.10","-0.87","-0.07","0.93","","0.87","0.88","31","-0.68","0.92","0","0","1091"
"Orlando Hernandez","- - -","0.19","-12.45","12.64","1.33","0.25","0.97","","0.87","1.23","28","-0.11","0.30","0","0","823"
"Vicente Padilla","Rangers","0.11","-15.23","15.34","9.16","0.88","1.00","","0.87","1.02","33","0.75","-0.64","0","0","964"
"Felix Hernandez","Mariners","0.06","-14.04","14.11","-3.22","-0.28","0.96","","0.88","0.87","29","0.69","-0.63","0","0","4772"
"Andy Pettitte","Astros","-0.07","-17.23","17.15","-0.32","-0.02","1.06","","0.92","1.18","33","0.34","-0.41","0","1","840"
"Miguel Batista","Diamondbacks","-0.08","-16.19","16.11","-0.74","-0.02","0.97","","0.85","1.03","31","0.09","-0.17","0","0","46"
"Mark Hendrickson","- - -","-0.09","-13.42","13.34","2.55","0.25","1.09","","0.85","1.18","30","0.64","-0.72","2","0","1574"
"Tim Hudson","Braves","-0.09","-16.19","16.10","-8.32","-0.82","0.95","","0.87","0.77","33","-0.09","0.00","0","0","921"
"Jon Lieber","Phillies","-0.12","-13.16","13.04","-4.42","-0.45","1.00","","0.87","1.31","25","-0.48","0.36","0","0","287"
"Josh Fogg","Rockies","-0.18","-13.69","13.50","-16.26","-1.50","0.96","","0.88","1.20","30","-0.71","0.52","0","0","989"
"Ian Snell","Pirates","-0.23","-14.60","14.36","-2.74","-0.33","1.00","","0.88","0.97","32","-1.12","0.90","0","0","2227"
"Brad Radke","Twins","-0.26","-11.29","11.02","-0.42","0.02","0.90","","0.87","0.73","28","-0.35","0.06","0","0","748"
"Claudio Vargas","Diamondbacks","-0.36","-13.10","12.74","-9.34","-0.79","0.95","","0.86","1.21","30","-1.03","0.65","0","0","1695"
"Cory Lidle","- - -","-0.51","-13.91","13.40","-3.06","-0.29","0.99","","0.89","1.03","31","-0.88","0.37","0","1","926"
"Javier Vazquez","White Sox","-0.54","-15.40","14.86","4.21","0.37","0.97","0.55","0.86","1.06","32","1.68","-2.24","1","0","801"
"Jarrod Washburn","Mariners","-0.56","-15.30","14.74","-4.76","-0.43","1.04","","0.87","1.32","31","-0.70","0.16","0","0","40"
"Cliff Lee","Indians","-0.58","-15.29","14.71","-6.17","-0.63","0.95","","0.88","0.95","32","-0.19","-0.43","0","0","1636"
"Gil Meche","Mariners","-0.59","-15.12","14.53","-6.57","-0.51","1.01","","0.88","1.50","31","-0.25","-0.33","0","0","1089"
"Steve Trachsel","Mets","-0.69","-13.49","12.80","-8.55","-0.86","1.01","","0.87","1.31","29","-0.77","0.08","0","0","898"
"Mark Buehrle","White Sox","-0.74","-15.61","14.88","-8.80","-0.87","0.91","","0.87","0.98","31","-1.31","0.50","0","0","225"
"Mark Redman","Royals","-0.79","-13.21","12.41","-20.28","-1.91","0.95","","0.87","1.26","27","-0.76","-0.07","0","0","491"
