"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Joe Blanton","Athletics","-0.91","-15.62","14.71","-5.45","-0.60","0.97","","0.85","0.96","31","-0.86","-0.08","0","0","4849"
"Paul Maholm","Pirates","-0.94","-15.03","14.09","-4.12","-0.32","1.04","","0.87","1.18","30","-1.09","0.17","0","0","8678"
"Doug Davis","Brewers","-1.03","-16.68","15.65","-12.45","-1.26","1.03","","0.88","1.18","33","-1.06","0.06","0","0","1244"
"Livan Hernandez","- - -","-1.17","-17.68","16.51","-11.04","-1.17","0.98","","0.87","1.03","34","-1.78","0.58","0","0","1116"
"Zach Duke","Pirates","-1.19","-17.66","16.47","0.78","0.06","1.00","","0.88","0.97","32","-0.75","-0.44","0","0","3840"
"Matt Morris","Giants","-1.38","-15.53","14.15","-8.92","-0.84","0.90","","0.87","0.99","31","0.15","-1.69","0","0","1172"
"Carlos Silva","Twins","-1.78","-13.82","12.05","-28.16","-2.66","0.86","","0.85","0.95","34","-2.70","0.62","2","0","973"
"Randy Johnson","Yankees","-1.93","-15.43","13.50","-11.48","-1.11","0.91","","0.87","0.85","31","0.70","-2.81","0","0","60"
"Rodrigo Lopez","Orioles","-2.01","-15.74","13.73","-20.17","-1.88","0.96","1.58","0.97","1.08","34","-1.98","-0.12","1","5","150"
"Paul Byrd","Indians","-2.01","-15.15","13.14","-24.36","-2.31","0.95","","0.87","0.98","30","-2.10","-0.02","0","0","594"
"Jason Marquis","Cardinals","-2.09","-15.07","12.98","-31.78","-3.07","0.87","","0.88","0.81","33","-2.30","-0.09","0","0","105"
"Ramon Ortiz","Nationals","-2.14","-17.06","14.92","-25.32","-2.48","1.01","","0.87","0.99","33","-3.28","1.16","0","0","27"
"Jeff Weaver","- - -","-2.47","-16.11","13.63","-26.21","-2.62","1.01","","0.87","1.15","31","-2.74","0.28","0","0","503"
"Joel Pineiro","Mariners","-2.53","-14.11","11.57","-32.53","-3.24","0.92","1.44","1.02","1.12","33","-2.27","-0.48","4","3","1094"
