"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Travis Hafner","Indians","564","17.7 %","19.7 %","0.90",".308",".439",".659","1.097",".350","1.8",".323","-2.7","1.4","-0.2","128","57.1",".450","176","1573"
"Albert Pujols","Cardinals","634","14.5 %","7.9 %","1.84",".331",".431",".671","1.102",".340","3.5",".292","1.4","-0.1","0.3","142","62.6",".447","174","1177"
"Ryan Howard","Phillies","704","15.3 %","25.7 %","0.60",".313",".425",".659","1.084",".346","1.3",".356","-4.1","2.6","-0.3","151","63.0",".436","162","2154"
"Manny Ramirez","Red Sox","558","17.9 %","18.3 %","0.98",".321",".439",".619","1.058",".298","1.5",".341","-3.5","0.4","-0.7","120","49.8",".436","163","210"
"David Ortiz","Red Sox","686","17.3 %","17.1 %","1.02",".287",".413",".636","1.049",".349","2.5",".270","-5.5","1.6","-0.1","142","56.0",".427","157","745"
"Lance Berkman","Astros","646","15.2 %","16.4 %","0.92",".315",".420",".621","1.041",".306","1.8",".316","-2.3","1.8","-0.5","133","52.3",".426","158","548"
"Jim Thome","White Sox","610","17.5 %","24.1 %","0.73",".288",".416",".598","1.014",".310","1.5",".321","-1.8","4.3","-0.3","123","46.6",".421","153","409"
"Jermaine Dye","White Sox","611","9.7 %","19.3 %","0.50",".315",".385",".622","1.006",".306","4.2",".328","-3.3","0.4","-0.1","122","45.1",".418","151","911"
"Miguel Cabrera","Marlins","676","12.7 %","16.0 %","0.80",".339",".430",".568",".998",".229","3.9",".379","0.1","-1.7","-1.1","133","48.5",".415","153","1744"
"Matt Holliday","Rockies","667","7.0 %","16.5 %","0.43",".326",".387",".586",".973",".261","5.4",".351","-1.8","-0.9","-0.4","129","44.9",".410","139","1873"
"Garrett Atkins","Rockies","695","11.4 %","10.9 %","1.04",".329",".409",".556",".965",".228","3.4",".335","0.1","-2.4","0.5","133","46.1",".409","138","1790"
"Carlos Beltran","Mets","617","15.4 %","16.0 %","0.96",".275",".388",".594",".982",".320","5.7",".263","3.5","3.7","2.1","118","40.3",".408","148","589"
