"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Jamie Moyer","- - -","4.60","2.17","2.12","1.41","12.1 %","5.7 %","6.4 %",".272","1.32",".280","73.2 %","97","110","106","4.30","4.95","-0.65","4.80","4.95","1091"
"Mark Redman","Royals","4.10","3.40","1.21","1.02","10.3 %","8.5 %","1.8 %",".302","1.59",".319","66.2 %","125","112","115","5.71","4.99","0.72","5.22","5.42","491"
"Josh Fogg","Rockies","4.87","3.14","1.55","1.26","12.2 %","7.8 %","4.3 %",".295","1.55",".313","65.9 %","112","106","111","5.49","5.03","0.46","5.03","5.14","989"
"Josh Beckett","Red Sox","6.95","3.25","2.14","1.58","18.2 %","8.5 %","9.7 %",".243","1.29",".262","69.0 %","106","116","98","5.01","5.12","-0.11","4.44","4.43","510"
"Cory Lidle","- - -","6.86","3.06","2.24","1.58","17.5 %","7.8 %","9.7 %",".268","1.40",".293","72.1 %","106","111","95","4.85","5.12","-0.27","4.30","4.29","926"
"Joel Pineiro","Mariners","4.73","3.48","1.36","1.25","11.6 %","8.5 %","3.1 %",".308","1.65",".327","63.8 %","145","118","108","6.36","5.24","1.11","4.90","5.01","1094"
"Mark Buehrle","White Sox","4.32","2.12","2.04","1.59","11.2 %","5.5 %","5.7 %",".300","1.45",".307","70.6 %","105","110","106","4.99","5.27","-0.29","4.78","4.96","225"
"Ramon Ortiz","Nationals","4.91","3.02","1.63","1.46","11.9 %","7.4 %","4.6 %",".292","1.54",".304","68.9 %","129","125","117","5.57","5.46","0.11","5.29","5.15","27"
"Jeff Weaver","- - -","5.60","2.46","2.28","1.78","13.9 %","6.1 %","7.8 %",".299","1.51",".313","68.8 %","129","123","105","5.76","5.47","0.29","4.76","4.75","503"
"Steve Trachsel","Mets","4.32","4.26","1.01","1.26","10.7 %","10.6 %","0.1 %",".283","1.60",".293","73.7 %","114","123","124","4.97","5.50","-0.52","5.62","5.73","898"
"Kris Benson","Orioles","4.33","2.85","1.52","1.62","11.3 %","7.4 %","3.8 %",".278","1.40",".279","73.0 %","105","120","112","4.82","5.59","-0.78","5.08","5.25","982"
"Carlos Silva","Twins","3.49","1.60","2.19","1.90","8.6 %","4.0 %","4.7 %",".319","1.54",".313","66.9 %","133","131","107","5.94","5.76","0.18","4.86","5.07","973"
"Jason Marquis","Cardinals","4.45","3.47","1.28","1.62","11.0 %","8.6 %","2.4 %",".284","1.52",".287","66.9 %","138","134","121","6.02","5.90","0.12","5.50","5.42","105"
