Name,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP
Albert Pujols,Cardinals,143,535.0,634.0,177.0,94.0,33.0,1.0,49.0,119.0,137.0,92.0,28.0,50.0,14.5,7.9,1.84,0.292,4.0,3.0,0.0,20.0,7.0,2.0,-0.1,0.34,0.447,62.6,0.331,0.431,0.6709999999999999,1.102,8.1,174.0,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Grady Sizemore,Indians,162,655.0,751.0,190.0,98.0,53.0,11.0,28.0,134.0,76.0,78.0,8.0,153.0,10.4,20.4,0.51,0.339,13.0,4.0,1.0,2.0,22.0,6.0,15.2,0.243,0.383,33.2,0.29,0.375,0.5329999999999999,0.907,7.9,132.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Carlos Beltran,Mets,140,510.0,617.0,140.0,60.0,38.0,1.0,41.0,127.0,116.0,95.0,6.0,99.0,15.4,16.0,0.96,0.263,4.0,7.0,1.0,6.0,18.0,3.0,12.3,0.32,0.408,40.3,0.275,0.388,0.594,0.982,7.8,148.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Chase Utley,Phillies,160,658.0,739.0,203.0,127.0,40.0,4.0,32.0,131.0,102.0,63.0,1.0,132.0,8.5,17.9,0.48,0.343,14.0,4.0,0.0,9.0,15.0,4.0,9.9,0.219,0.388,35.5,0.309,0.379,0.527,0.906,7.2,130.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Miguel Cabrera,Marlins,158,576.0,676.0,195.0,117.0,50.0,2.0,26.0,112.0,114.0,86.0,27.0,108.0,12.7,16.0,0.8,0.379,10.0,4.0,0.0,18.0,9.0,6.0,-1.8,0.229,0.415,48.5,0.339,0.43,0.568,0.998,6.3,153.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Derek Jeter,Yankees,154,623.0,715.0,214.0,158.0,39.0,3.0,14.0,118.0,97.0,69.0,4.0,102.0,9.7,14.3,0.68,0.391,12.0,4.0,7.0,13.0,34.0,5.0,-1.2,0.14,0.392,37.1,0.343,0.417,0.483,0.9,6.1,138.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Lance Berkman,Astros,152,536.0,646.0,169.0,95.0,29.0,0.0,45.0,95.0,136.0,98.0,22.0,106.0,15.2,16.4,0.92,0.316,4.0,8.0,0.0,11.0,3.0,2.0,-6.7,0.306,0.426,52.3,0.315,0.42,0.621,1.041,6.1,158.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Andruw Jones,Braves,156,565.0,669.0,148.0,78.0,29.0,0.0,41.0,107.0,129.0,82.0,9.0,127.0,12.3,19.0,0.65,0.264,13.0,9.0,0.0,13.0,4.0,1.0,14.9,0.269,0.375,24.8,0.262,0.363,0.531,0.894,6.0,124.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Travis Hafner,Indians,129,454.0,564.0,140.0,66.0,31.0,1.0,42.0,100.0,117.0,100.0,16.0,111.0,17.7,19.7,0.9,0.32299999999999995,7.0,2.0,0.0,10.0,0.0,0.0,-11.8,0.35,0.45,57.1,0.308,0.439,0.659,1.097,6.0,176.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Ryan Howard,Phillies,159,581.0,704.0,182.0,98.0,25.0,1.0,58.0,104.0,149.0,108.0,37.0,181.0,15.3,25.7,0.6,0.35600000000000004,9.0,6.0,0.0,7.0,0.0,0.0,-17.5,0.34600000000000003,0.436,63.0,0.313,0.425,0.659,1.084,5.9,162.0,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Joe Mauer,Twins,140,521.0,608.0,181.0,128.0,36.0,4.0,13.0,86.0,84.0,79.0,21.0,54.0,13.0,8.9,1.46,0.364,1.0,7.0,0.0,24.0,8.0,3.0,6.2,0.159,0.396,33.3,0.34700000000000003,0.429,0.507,0.936,5.8,141.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
