Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Hill,2011,Diamondbacks,137,520,571,128,90,27,3,8,61,61,35,1,72,6.1,12.6,0.49,0.268,7,7,2,10,21,7,2.5,0.11,0.29,-11.7,0.24600000000000002,0.299,0.35600000000000004,0.655,0.6,77.0,-1.91,2.0,11000000.0,5500000.0
Adam Kennedy,2011,Mariners,114,380,409,89,58,23,1,7,36,38,22,3,67,5.4,16.4,0.33,0.266,1,2,4,3,8,2,0.4,0.121,0.276,-12.9,0.23399999999999999,0.27699999999999997,0.355,0.632,0.4,75.0,-1.3,1.0,800000.0,800000.0
Albert Pujols,2011,Cardinals,147,579,651,173,107,29,0,37,105,99,61,15,58,9.4,8.9,1.05,0.27699999999999997,4,7,0,29,9,1,-11.6,0.242,0.384,34.9,0.299,0.366,0.541,0.9059999999999999,4.0,147.0,4.78,10.0,250000000.0,25000000.0
Alex Gonzalez,2011,Braves,149,564,593,136,93,27,1,15,59,56,22,1,126,3.7,21.2,0.17,0.285,1,2,4,19,2,0,6.6,0.131,0.281,-16.4,0.24100000000000002,0.27,0.37200000000000005,0.642,0.6,75.0,-1.85,1.0,4250000.0,4250000.0
Andruw Jones,2011,Yankees,77,190,222,47,26,8,0,13,27,33,29,0,62,13.1,27.9,0.47,0.29600000000000004,3,0,0,3,0,0,-0.8,0.247,0.373,10.0,0.247,0.35600000000000004,0.495,0.851,1.5,132.0,0.15,1.0,2000000.0,2000000.0
Aramis Ramirez,2011,Cubs,149,565,626,173,111,35,1,26,80,93,43,5,69,6.9,11.0,0.62,0.308,10,8,0,12,1,1,-7.5,0.204,0.375,29.1,0.306,0.361,0.51,0.871,3.4,134.0,3.76,3.0,36000000.0,12000000.0
Brian Schneider,2011,Phillies,41,125,139,22,16,4,0,2,11,9,11,1,35,7.9,25.2,0.31,0.225,1,1,1,3,0,0,-0.2,0.08,0.22699999999999998,-9.7,0.17600000000000002,0.24600000000000002,0.256,0.502,-1.0,36.0,-0.91,1.0,800000.0,800000.0
Carlos Beltran,2011,Cardinals,142,520,598,156,89,39,6,22,78,84,71,7,88,11.9,14.7,0.81,0.324,3,4,0,18,4,2,-14.5,0.225,0.391,35.3,0.3,0.385,0.525,0.91,4.3,152.0,3.57,2.0,26000000.0,13000000.0
Carlos Pena,2011,Cubs,153,493,606,111,53,27,3,28,72,80,101,7,161,16.7,26.6,0.63,0.267,4,7,1,6,2,2,-11.2,0.237,0.35600000000000004,19.2,0.225,0.35700000000000004,0.462,0.8190000000000001,2.5,121.0,2.9,1.0,7250000.0,7250000.0
Casey Blake,2011,Dodgers,63,202,239,51,36,10,1,4,32,26,26,1,50,10.9,20.9,0.52,0.311,3,3,5,9,1,2,2.1,0.11900000000000001,0.319,0.5,0.252,0.342,0.371,0.713,1.0,104.0,-0.43,1.0,2000000.0,2000000.0
Casey Kotchman,2011,Rays,146,500,563,153,117,24,2,10,44,48,48,5,66,8.5,11.7,0.73,0.335,12,3,0,13,2,2,-9.7,0.11599999999999999,0.354,16.7,0.306,0.37799999999999995,0.42200000000000004,0.8,2.3,127.0,1.24,1.0,3000000.0,3000000.0
Chris Snyder,2011,Pirates,34,96,119,26,20,3,0,3,13,17,17,0,23,14.3,19.3,0.74,0.315,1,3,2,2,0,1,-0.3,0.125,0.345,2.8,0.271,0.376,0.396,0.772,0.5,120.0,0.24,1.0,750000.0,750000.0
Clint Barmes,2011,Astros,123,446,495,109,70,27,0,12,47,39,38,2,88,7.7,17.8,0.43,0.27899999999999997,7,2,2,9,3,1,14.2,0.141,0.309,-2.7,0.244,0.312,0.386,0.698,2.8,93.0,-0.94,2.0,10500000.0,5250000.0
Coco Crisp,2011,Athletics,136,531,583,140,100,27,5,8,69,54,41,2,65,7.0,11.1,0.63,0.284,1,6,4,11,49,9,-3.2,0.115,0.305,-5.2,0.264,0.314,0.379,0.693,1.9,92.0,0.85,2.0,14000000.0,7000000.0
Cody Ross,2011,Giants,121,405,461,97,58,25,0,14,54,52,49,4,96,10.6,20.8,0.51,0.27899999999999997,4,3,0,10,5,2,-10.8,0.165,0.321,1.9,0.24,0.325,0.405,0.73,0.7,107.0,0.13,1.0,3000000.0,3000000.0
David DeJesus,2011,Athletics,131,442,506,106,71,20,5,10,60,46,45,1,86,8.9,17.0,0.52,0.27399999999999997,11,4,4,14,4,3,2.1,0.136,0.311,-1.8,0.24,0.32299999999999995,0.376,0.698,1.7,96.0,-1.89,2.0,10000000.0,5000000.0
Eli Whiteside,2011,Giants,82,213,236,42,28,8,2,4,14,17,18,3,59,7.6,25.0,0.31,0.25,2,2,1,9,2,1,4.0,0.113,0.252,-11.9,0.19699999999999998,0.264,0.31,0.574,-0.1,59.0,-1.5,1.0,600000.0,600000.0
Endy Chavez,2011,Rangers,83,256,274,77,58,11,3,5,37,27,10,0,30,3.6,10.9,0.33,0.321,0,3,5,7,10,5,3.1,0.125,0.326,2.3,0.301,0.32299999999999995,0.426,0.7490000000000001,1.4,98.0,-0.77,1.0,1500000.0,1500000.0
Gerald Laird,2011,Cardinals,37,95,108,22,13,7,1,1,11,12,9,3,19,8.3,17.6,0.47,0.276,1,1,2,3,1,1,1.2,0.126,0.282,-2.9,0.23199999999999998,0.302,0.358,0.66,0.2,77.0,0.15,1.0,1000000.0,1000000.0
Grady Sizemore,2011,Indians,71,268,295,60,28,21,1,10,34,32,18,1,85,6.1,28.8,0.21,0.284,6,3,0,4,0,2,-5.9,0.198,0.307,-2.1,0.22399999999999998,0.285,0.42200000000000004,0.706,0.2,94.0,-1.84,1.0,5000000.0,5000000.0
Greg Dobbs,2011,Marlins,134,411,439,113,82,23,0,8,38,49,22,3,83,5.0,18.9,0.27,0.325,1,3,2,12,0,0,-6.2,0.114,0.306,-3.5,0.275,0.311,0.389,0.701,0.0,89.0,0.33,2.0,3000000.0,1500000.0
Henry Blanco,2011,Diamondbacks,37,100,112,25,13,3,1,8,12,12,12,1,21,10.7,18.8,0.57,0.239,0,0,0,2,0,1,4.3,0.29,0.37200000000000005,5.0,0.25,0.33,0.54,0.87,1.1,132.0,-0.35,1.0,1250000.0,1250000.0
Hiroki Kuroda,2011,Dodgers,32,61,71,7,7,0,0,0,2,1,4,0,20,5.6,28.2,0.2,0.171,0,0,6,0,0,0,6.6,0.0,0.139,-10.0,0.115,0.16899999999999998,0.115,0.284,-0.1,-20.0,-0.9,1.0,10000000.0,10000000.0
Jack Wilson,2011,Braves,79,214,232,52,43,9,0,0,25,11,10,0,39,4.3,16.8,0.26,0.294,0,2,6,2,5,2,4.5,0.042,0.251,-12.0,0.243,0.27399999999999997,0.285,0.5589999999999999,0.2,57.0,-0.06,1.0,1000000.0,1000000.0
Jamey Carroll,2011,Dodgers,146,452,510,131,111,14,6,0,52,17,47,3,58,9.2,11.4,0.81,0.332,2,1,8,3,10,0,-1.5,0.057999999999999996,0.317,0.5,0.29,0.359,0.34700000000000003,0.706,2.1,103.0,-0.23,2.0,6750000.0,3375000.0
Jason Kubel,2011,Twins,99,366,401,100,66,21,1,12,37,58,32,2,86,8.0,21.4,0.37,0.326,1,2,0,8,1,1,-9.7,0.161,0.335,6.0,0.273,0.332,0.434,0.7659999999999999,0.7,109.0,-0.18,2.0,15000000.0,7500000.0
Jeff Keppinger,2011,Rays,99,379,400,105,79,20,0,6,39,35,12,0,24,3.0,6.0,0.5,0.28,2,4,2,11,0,1,-4.1,0.1,0.297,-5.9,0.27699999999999997,0.3,0.377,0.677,0.1,88.0,-0.2,1.0,1525000.0,1525000.0
Jim Thome,2011,Phillies,93,277,324,71,40,16,0,15,32,50,46,4,92,14.2,28.4,0.5,0.327,0,1,0,6,0,0,-8.4,0.22,0.364,12.2,0.256,0.361,0.47700000000000004,0.838,0.9,129.0,1.35,1.0,1250000.0,1250000.0
Jimmy Rollins,2011,Phillies,142,567,631,152,112,22,2,16,87,63,58,5,59,9.2,9.4,0.98,0.275,3,3,0,9,30,8,9.6,0.131,0.325,4.3,0.268,0.33799999999999997,0.39899999999999997,0.736,3.6,103.0,-0.4,3.0,38000000.0,12666666.666666664
John McDonald,2011,Diamondbacks,84,227,245,52,39,10,1,2,21,22,12,0,27,4.9,11.0,0.44,0.25,1,2,3,1,2,4,9.3,0.079,0.257,-11.3,0.22899999999999998,0.26899999999999996,0.308,0.5770000000000001,0.5,54.0,-1.18,2.0,3000000.0,1500000.0
Jonny Gomes,2011,Athletics,120,311,372,65,38,12,1,14,41,43,48,1,105,12.9,28.2,0.46,0.259,8,5,0,2,7,3,-1.4,0.18,0.319,0.9,0.209,0.325,0.389,0.7140000000000001,1.2,98.0,0.11,1.0,1000000.0,1000000.0
Jose Reyes,2011,Mets,126,537,586,181,127,31,16,7,101,44,43,9,41,7.3,7.0,1.05,0.353,0,4,2,5,39,7,2.3,0.156,0.376,28.0,0.337,0.384,0.493,0.877,5.9,142.0,2.16,6.0,106000000.0,17666666.666666668
Josh Willingham,2011,Athletics,136,488,563,120,65,26,0,29,69,98,56,3,150,9.9,26.6,0.37,0.287,11,8,0,6,4,1,-12.8,0.23199999999999998,0.35,15.3,0.24600000000000002,0.332,0.47700000000000004,0.81,2.0,123.0,1.98,3.0,21000000.0,7000000.0
Juan Rivera,2011,Dodgers,132,466,521,120,85,23,1,11,46,74,43,1,76,8.3,14.6,0.57,0.281,3,9,0,16,5,3,-6.0,0.124,0.309,-2.8,0.258,0.319,0.382,0.701,0.3,93.0,0.1,1.0,4500000.0,4500000.0
