Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
A.J. Pierzynski,2015,Braves,113,407,436,122,88,24,1,9,38,49,19,2,37,4.4,8.5,0.51,0.31,7,3,0,19,0,2,4.7,0.13,0.33299999999999996,6.9,0.3,0.33899999999999997,0.43,0.769,2.0,111.0,1.26,1,2000000,2000000.0
Adam LaRoche,2015,White Sox,127,429,484,89,56,21,0,12,41,44,49,0,133,10.1,27.5,0.37,0.26899999999999996,4,2,0,10,0,0,-12.9,0.133,0.28300000000000003,-11.6,0.207,0.293,0.34,0.634,-1.3,77.0,-2.04,2,25000000,12500000.0
Adam Rosales,2015,Rangers,55,114,125,26,19,4,0,3,14,7,10,0,30,8.0,24.0,0.33,0.284,1,0,0,4,4,4,-0.2,0.114,0.284,-2.9,0.228,0.29600000000000004,0.342,0.638,-0.2,73.0,-0.76,1,900000,900000.0
Alberto Callaspo,2015,Braves,97,230,261,54,46,7,0,1,20,15,28,1,34,10.7,13.0,0.82,0.26899999999999996,0,2,1,6,0,0,0.3,0.043,0.27,-9.0,0.235,0.315,0.278,0.594,-0.4,69.0,-1.86,1,3000000,3000000.0
Alex Rios,2015,Royals,105,385,411,98,70,22,2,4,40,32,15,0,67,3.6,16.3,0.22,0.294,5,6,0,10,9,0,-0.2,0.099,0.27899999999999997,-11.3,0.255,0.287,0.353,0.64,0.1,72.0,-1.73,1,11000000,11000000.0
Asdrubal Cabrera,2015,Rays,143,505,551,134,86,28,5,15,66,58,36,4,107,6.5,19.4,0.34,0.306,3,6,1,14,6,3,-0.5,0.16399999999999998,0.319,2.4,0.265,0.315,0.43,0.7440000000000001,2.1,104.0,-0.98,1,7500000,7500000.0
Billy Butler,2015,Athletics,151,538,601,135,91,28,1,15,63,65,52,4,101,8.7,16.8,0.51,0.282,7,4,0,26,0,0,-14.3,0.139,0.311,-0.9,0.251,0.32299999999999995,0.39,0.713,-0.8,98.0,-1.49,3,30000000,10000000.0
Bobby Wilson,2015,Rays,56,132,147,25,19,5,0,1,8,14,11,0,39,7.5,26.5,0.28,0.258,1,1,2,1,0,1,3.1,0.061,0.23,-9.7,0.18899999999999997,0.255,0.25,0.505,-0.3,39.0,-0.91,1,700000,700000.0
Chase Headley,2015,Yankees,156,580,642,150,109,29,1,11,74,62,51,0,135,7.9,21.0,0.38,0.317,7,4,0,17,0,2,-0.8,0.11,0.307,-3.4,0.259,0.324,0.369,0.693,1.5,92.0,-0.88,4,52000000,13000000.0
Chris Denorfia,2015,Cubs,103,212,231,57,42,11,1,3,18,18,15,1,56,6.5,24.2,0.27,0.35100000000000003,1,1,2,7,0,1,4.0,0.10400000000000001,0.302,-2.0,0.26899999999999996,0.319,0.373,0.691,0.8,89.0,-0.18,1,2600000,2600000.0
Clint Barmes,2015,Padres,98,207,224,48,30,14,1,3,24,16,10,2,55,4.5,24.6,0.18,0.302,4,0,3,0,0,1,-0.7,0.121,0.275,-6.9,0.23199999999999998,0.281,0.353,0.633,0.0,75.0,-1.3,1,1500000,1500000.0
Colby Rasmus,2015,Astros,137,432,485,103,53,23,2,25,67,61,47,0,154,9.7,31.8,0.31,0.305,2,3,1,6,2,1,-3.0,0.23600000000000002,0.33899999999999997,10.0,0.23800000000000002,0.314,0.475,0.789,3.0,118.0,0.35,1,8000000,8000000.0
Daniel Descalso,2015,Rockies,101,185,209,38,28,3,2,5,22,22,20,6,45,9.6,21.5,0.44,0.244,0,0,4,3,1,2,-3.4,0.11900000000000001,0.259,-9.0,0.205,0.28300000000000003,0.324,0.607,-1.1,44.0,-0.19,2,3600000,1800000.0
