Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
A.J. Pierzynski,2016,Braves,81,247,259,54,37,15,0,2,15,23,6,1,29,2.3,11.2,0.21,0.237,3,3,0,13,1,0,4.6,0.085,0.23600000000000002,-17.6,0.21899999999999997,0.243,0.304,0.547,-1.0,41.0,-2.12,1,3000000,3000000.0
Alejandro De Aza,2016,Mets,130,234,267,48,33,9,0,6,31,25,26,1,67,9.7,25.1,0.39,0.259,5,1,1,5,4,3,0.0,0.115,0.276,-9.3,0.205,0.297,0.321,0.618,-0.2,72.0,-1.02,1,5750000,5750000.0
Alex Avila,2016,White Sox,57,169,209,36,23,6,0,7,19,11,38,0,78,18.2,37.3,0.49,0.341,1,1,0,3,0,0,4.7,0.16,0.32899999999999996,1.8,0.213,0.359,0.373,0.732,1.1,106.0,-0.32,1,2500000,2500000.0
Alex Gordon,2016,Royals,128,445,506,98,63,16,2,17,62,40,52,3,148,10.3,29.2,0.35,0.28800000000000003,8,1,0,9,8,1,3.2,0.16,0.303,-6.5,0.22,0.312,0.38,0.6920000000000001,1.3,86.0,-1.92,4,72000000,18000000.0
Alexei Ramirez,2016,Padres,145,478,506,115,85,22,2,6,38,48,21,3,63,4.2,12.5,0.33,0.265,4,2,1,8,8,9,-14.5,0.092,0.264,-22.6,0.24100000000000002,0.27699999999999997,0.33299999999999996,0.61,-2.4,64.0,-1.44,1,4000000,4000000.0
Asdrubal Cabrera,2016,Mets,141,521,568,146,92,30,1,23,65,62,38,3,103,6.7,18.1,0.37,0.31,7,2,0,14,5,1,1.8,0.19399999999999998,0.345,12.8,0.28,0.336,0.474,0.81,3.0,119.0,0.28,2,18500000,9250000.0
Austin Jackson,2016,White Sox,54,181,203,46,32,12,2,0,24,18,17,0,39,8.4,19.2,0.44,0.319,1,2,2,3,2,1,-3.8,0.08800000000000001,0.292,-4.4,0.254,0.318,0.34299999999999997,0.6609999999999999,-0.1,81.0,-0.53,1,5000000,5000000.0
Ben Zobrist,2016,Cubs,147,523,631,142,90,31,3,18,94,76,96,6,82,15.2,13.0,1.17,0.29,4,4,4,17,6,4,-1.5,0.174,0.36,21.8,0.272,0.386,0.446,0.831,3.9,123.0,1.39,4,56000000,14000000.0
Chase Utley,2016,Dodgers,138,512,565,129,86,26,3,14,79,52,40,1,115,7.1,20.4,0.35,0.299,11,1,1,0,2,2,2.7,0.145,0.312,-2.9,0.252,0.319,0.396,0.716,1.9,96.0,0.78,1,7000000,7000000.0
Chris Carter,2016,Brewers,160,549,644,122,53,27,1,41,84,94,76,1,206,11.8,32.0,0.37,0.26,9,10,0,18,3,1,-16.9,0.27699999999999997,0.34600000000000003,14.9,0.222,0.321,0.499,0.821,1.0,112.0,-0.21,1,2500000,2500000.0
Chris Davis,2016,Orioles,157,566,665,125,66,21,0,38,99,84,88,3,219,13.2,32.9,0.4,0.27899999999999997,8,3,0,6,1,0,-8.9,0.239,0.34,12.0,0.221,0.332,0.45899999999999996,0.792,2.8,112.0,1.53,7,161000000,23000000.0
Chris Iannetta,2016,Mariners,94,295,338,62,41,14,0,7,23,24,38,0,83,11.2,24.6,0.46,0.266,2,2,1,4,0,0,7.5,0.11900000000000001,0.282,-9.9,0.21,0.303,0.32899999999999996,0.631,0.9,77.0,-1.21,1,4250000,4250000.0
Cliff Pennington,2016,Angels,74,172,188,36,27,4,2,3,18,10,13,0,55,6.9,29.3,0.24,0.289,0,0,3,4,1,0,2.6,0.099,0.253,-10.1,0.209,0.265,0.308,0.573,-0.2,57.0,-0.61,2,3750000,1875000.0
Daniel Murphy,2016,Nationals,142,531,582,184,107,47,5,25,88,104,35,10,57,6.0,9.8,0.61,0.348,8,8,0,4,5,3,-7.6,0.249,0.408,43.4,0.34700000000000003,0.39,0.595,0.985,5.5,155.0,3.81,3,37500000,12500000.0
Daniel Nava,2016,Angels,54,130,148,29,22,6,0,1,11,13,10,0,30,6.8,20.3,0.33,0.275,5,3,0,2,0,0,-4.4,0.069,0.266,-6.4,0.223,0.297,0.292,0.59,-0.4,65.0,0.37,1,1375000,1375000.0
David Freese,2016,Pirates,141,437,492,118,82,23,0,13,63,55,45,2,142,9.1,28.9,0.32,0.37200000000000005,10,0,0,15,0,0,0.9,0.142,0.33399999999999996,6.5,0.27,0.35200000000000004,0.41200000000000003,0.764,1.8,108.0,-0.16,1,3000000,3000000.0
Denard Span,2016,Giants,143,572,637,152,113,23,5,11,70,53,53,2,79,8.3,12.4,0.67,0.29100000000000004,4,2,6,8,12,7,-6.1,0.115,0.312,-3.5,0.266,0.331,0.381,0.7120000000000001,1.4,95.0,-0.8,3,31000000,10333333.33
Dexter Fowler,2016,Cubs,125,456,551,126,81,25,7,13,84,48,79,0,124,14.3,22.5,0.64,0.35,11,4,1,3,13,4,2.7,0.171,0.36700000000000005,22.2,0.276,0.39299999999999996,0.447,0.84,4.6,128.0,1.78,1,13000000,13000000.0
