Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Boone,2008,Nationals,104,232,255,56,36,13,1,6,23,28,18,1,52,7.1,20.4,0.35,0.284,2,2,1,8,0,1,-1.2,0.142,0.3,-6.0,0.24100000000000002,0.299,0.384,0.6829999999999999,-0.1,77.0,-1.65,1.0,750000.0,750000.0
Aaron Miles,2008,Cardinals,134,379,408,120,99,15,2,4,49,31,23,2,37,5.6,9.1,0.62,0.342,0,1,5,13,3,3,3.1,0.08199999999999999,0.33399999999999996,1.8,0.317,0.355,0.39799999999999996,0.753,1.6,102.0,-0.25,2.0,4900000.0,2450000.0
Adam Dunn,2008,Nationals,158,517,651,122,59,23,0,40,79,100,122,13,164,18.7,25.2,0.74,0.258,7,5,0,7,2,1,-37.6,0.27699999999999997,0.384,30.1,0.23600000000000002,0.386,0.513,0.898,0.6,130.0,2.66,2.0,20000000.0,10000000.0
Adam Everett,2008,Twins,48,127,150,27,18,6,1,2,19,20,12,1,15,8.0,10.0,0.8,0.21899999999999997,1,4,6,0,0,0,5.4,0.11,0.265,-7.9,0.213,0.278,0.32299999999999995,0.601,0.3,57.0,0.09,1.0,1000000.0,1000000.0
Alex Cora,2008,Red Sox,75,152,179,41,31,8,2,0,14,9,16,1,13,8.9,7.3,1.23,0.293,9,1,1,3,1,1,0.3,0.079,0.32899999999999996,0.2,0.27,0.371,0.349,0.7190000000000001,0.6,95.0,-0.93,1.0,2000000.0,2000000.0
Bobby Abreu,2008,Yankees,156,609,684,180,117,39,4,20,100,100,73,2,109,10.7,15.9,0.67,0.33299999999999996,1,1,0,14,22,11,-28.6,0.17600000000000002,0.369,23.1,0.29600000000000004,0.371,0.47100000000000003,0.843,1.6,125.0,2.81,1.0,5000000.0,5000000.0
Brad Ausmus,2008,Astros,81,216,250,47,36,8,0,3,15,24,25,3,41,10.0,16.4,0.61,0.254,2,1,6,4,0,2,3.7,0.079,0.272,-11.7,0.218,0.303,0.29600000000000004,0.6,-0.2,61.0,-0.84,1.0,1000000.0,1000000.0
Braden Looper,2008,Cardinals,42,63,80,16,12,3,1,0,5,4,4,0,21,5.0,26.3,0.19,0.381,0,0,13,3,0,0,8.5,0.079,0.28300000000000003,-3.0,0.254,0.299,0.33299999999999996,0.632,0.8,69.0,-0.66,1.0,5500000.0,5500000.0
Casey Blake,2008,Dodgers,152,536,601,147,89,36,1,21,71,81,49,11,120,8.2,20.0,0.41,0.316,11,4,1,12,3,0,-4.0,0.188,0.34700000000000003,9.1,0.27399999999999997,0.345,0.46299999999999997,0.8079999999999999,2.3,111.0,0.03,3.0,17500000.0,5833333.333333332
Cesar Izturis,2008,Cardinals,135,414,454,109,95,10,3,1,50,24,29,1,26,6.4,5.7,1.12,0.278,6,2,3,6,24,6,12.3,0.046,0.28600000000000003,-15.8,0.263,0.319,0.309,0.628,1.0,71.0,-1.46,2.0,5000000.0,2500000.0
