Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Clint Barmes,2012,Pirates,144,455,493,104,79,16,1,8,34,45,20,3,106,4.1,21.5,0.19,0.28,8,2,8,9,0,2,16.6,0.092,0.26,-21.6,0.22899999999999998,0.272,0.321,0.593,0.9,62.0,-0.56,2,10500000,5250000.0
Coco Crisp,2012,Athletics,120,455,508,118,75,25,7,11,68,46,45,0,64,8.9,12.6,0.7,0.28,0,2,6,9,39,4,-1.6,0.158,0.324,3.6,0.259,0.325,0.418,0.742,2.7,106.0,1.51,2,14000000,7000000.0
Cody Ross,2012,Red Sox,130,476,528,127,70,34,1,22,70,81,42,3,129,8.0,24.4,0.33,0.317,3,6,1,11,2,3,-3.1,0.214,0.345,12.5,0.267,0.326,0.48100000000000004,0.807,2.5,114.0,2.44,1,3000000,3000000.0
David DeJesus,2012,Cubs,148,506,582,133,88,28,8,9,76,50,61,1,89,10.5,15.3,0.69,0.301,9,4,2,9,7,8,-8.0,0.14,0.332,7.9,0.263,0.35,0.40299999999999997,0.753,1.2,105.0,-0.03,2,10000000,5000000.0
Endy Chavez,2012,Orioles,64,158,169,32,24,6,0,2,15,12,6,1,24,3.6,14.2,0.25,0.22699999999999998,1,0,4,2,3,2,-1.6,0.076,0.226,-12.1,0.203,0.23600000000000002,0.278,0.515,-0.9,34.0,-1.38,1,1500000,1500000.0
Eric Chavez,2012,Yankees,113,278,313,78,50,12,0,16,36,37,30,3,59,9.6,18.8,0.51,0.3,1,4,0,10,0,0,-2.3,0.21600000000000003,0.36,11.3,0.281,0.348,0.496,0.845,1.6,126.0,-0.18,1,900000,900000.0
Greg Dobbs,2012,Marlins,120,319,342,91,71,13,2,5,26,39,14,5,53,4.1,15.5,0.26,0.321,2,7,0,8,4,2,-14.7,0.1,0.297,-4.8,0.285,0.313,0.386,0.698,-1.2,85.0,-0.81,2,3000000,1500000.0
Jack Wilson,2012,Braves,40,71,77,12,10,1,1,0,4,4,2,1,12,2.6,15.6,0.17,0.2,0,1,3,1,0,0,-0.4,0.042,0.17,-9.0,0.16899999999999998,0.18899999999999997,0.21100000000000002,0.4,-0.7,-1.0,-0.71,1,1000000,1000000.0
Jamey Carroll,2012,Twins,138,470,537,126,106,18,1,1,65,40,52,0,65,9.7,12.1,0.8,0.306,4,4,7,9,9,5,11.6,0.049,0.299,-6.7,0.268,0.34299999999999997,0.317,0.66,2.0,86.0,-1.03,2,6500000,3250000.0
Jim Thome,2012,Phillies,58,163,186,41,26,7,0,8,17,25,22,3,61,11.8,32.8,0.36,0.35100000000000003,1,0,0,6,0,0,-4.1,0.19,0.33899999999999997,3.6,0.252,0.344,0.442,0.7859999999999999,0.2,112.0,0.61,1,1250000,1250000.0
Johnny Damon,2012,Indians,64,207,224,46,34,6,2,4,25,19,17,0,27,7.6,12.1,0.63,0.239,0,0,0,0,4,0,-2.1,0.106,0.271,-7.9,0.222,0.281,0.32899999999999996,0.61,0.0,70.0,-1.4,1,1250000,1250000.0
Jonny Gomes,2012,Athletics,99,279,333,73,45,10,0,18,46,47,44,2,104,13.2,31.2,0.42,0.348,8,1,1,2,3,1,-8.3,0.22899999999999998,0.376,16.4,0.262,0.377,0.491,0.868,2.2,142.0,2.33,1,1000000,1000000.0
Jose Lopez,2012,Indians,81,236,248,58,40,14,0,4,18,28,9,0,41,3.6,16.5,0.22,0.278,0,3,0,9,0,1,-1.4,0.11,0.272,-8.6,0.24600000000000002,0.27,0.35600000000000004,0.626,-0.6,70.0,-1.06,1,800000,800000.0
Jose Molina,2012,Rays,102,251,274,56,39,9,0,8,27,32,20,0,60,7.3,21.9,0.33,0.262,2,0,1,9,3,1,6.2,0.131,0.284,-6.9,0.223,0.28600000000000003,0.355,0.64,0.7,81.0,-1.65,1,1800000,1800000.0
Jose Reyes,2012,Marlins,160,642,716,184,124,37,12,11,86,57,63,9,56,8.8,7.8,1.13,0.298,0,6,5,10,40,11,4.1,0.146,0.335,11.5,0.287,0.34700000000000003,0.433,0.78,4.1,111.0,3.47,6,106000000,17666666.666666668
Josh Willingham,2012,Twins,145,519,615,135,69,30,1,35,85,110,76,4,141,12.4,22.9,0.54,0.287,14,6,0,15,3,2,-17.0,0.264,0.38,32.1,0.26,0.366,0.524,0.89,3.4,142.0,5.01,3,21000000,7000000.0
Juan Pierre,2012,Phillies,130,394,439,121,104,10,6,1,59,25,23,0,27,5.2,6.2,0.85,0.327,4,1,17,4,37,7,-4.1,0.063,0.32,1.6,0.307,0.35100000000000003,0.371,0.721,1.6,99.0,0.93,1,800000,800000.0
Juan Rivera,2012,Dodgers,109,312,339,76,53,14,0,9,30,47,18,1,35,5.3,10.3,0.51,0.245,3,6,0,15,1,3,-10.0,0.131,0.287,-7.7,0.244,0.28600000000000003,0.375,0.6609999999999999,-1.3,80.0,0.31,1,4500000,4500000.0
Laynce Nix,2012,Phillies,70,114,127,28,15,10,0,3,13,16,12,0,42,9.4,33.1,0.29,0.35700000000000004,0,1,0,1,0,0,0.9,0.16699999999999998,0.317,0.2,0.24600000000000002,0.315,0.41200000000000003,0.727,0.4,97.0,0.41,2,2500000,1250000.0
Luke Scott,2012,Rays,96,314,344,72,35,22,1,14,35,55,21,3,80,6.1,23.3,0.26,0.259,5,4,0,9,5,0,-9.4,0.21,0.308,-1.9,0.22899999999999998,0.285,0.439,0.7240000000000001,0.0,98.0,-0.66,1,6000000,6000000.0
Mark Buehrle,2012,Marlins,31,67,71,3,2,1,0,0,2,1,0,0,29,0.0,40.8,0.0,0.079,0,0,4,1,0,0,7.5,0.015,0.045,-15.4,0.045,0.045,0.06,0.10400000000000001,-0.6,-85.0,-1.53,4,58000000,14500000.0
Mark Ellis,2012,Dodgers,110,415,464,107,78,21,1,7,62,31,40,0,70,8.6,15.1,0.57,0.29600000000000004,7,0,2,5,5,0,12.6,0.106,0.312,-1.2,0.258,0.33299999999999996,0.364,0.6970000000000001,2.7,97.0,-0.38,2,8750000,4375000.0
Michael Cuddyer,2012,Rockies,101,358,394,93,45,30,2,16,53,58,32,1,78,8.1,19.8,0.41,0.287,0,4,0,12,8,3,-6.2,0.22899999999999998,0.344,9.0,0.26,0.317,0.489,0.8059999999999999,0.5,99.0,-0.34,3,31500000,10500000.0
Prince Fielder,2012,Tigers,162,581,690,182,118,33,1,30,83,108,85,18,84,12.3,12.2,1.01,0.321,17,7,0,19,1,0,-12.3,0.215,0.39799999999999996,46.1,0.313,0.41200000000000003,0.528,0.94,4.8,153.0,4.9,9,214000000,23777777.777777776
Rafael Furcal,2012,Cardinals,121,477,531,126,100,18,3,5,69,49,44,1,57,8.3,10.7,0.77,0.289,1,4,5,7,12,4,-4.2,0.08199999999999999,0.298,-7.2,0.264,0.325,0.34600000000000003,0.6709999999999999,0.6,86.0,0.17,2,14000000,7000000.0
Ramon Hernandez,2012,Rockies,52,184,196,40,25,10,0,5,16,28,6,1,32,3.1,16.3,0.19,0.235,2,2,2,4,0,1,1.6,0.136,0.258,-8.9,0.217,0.247,0.353,0.601,-0.9,41.0,-2.29,2,6400000,3200000.0
Ramon Santiago,2012,Tigers,93,228,259,47,37,7,1,2,19,17,20,1,39,7.7,15.1,0.51,0.239,5,1,5,7,1,0,2.7,0.066,0.253,-13.0,0.20600000000000002,0.28300000000000003,0.272,0.555,-0.3,53.0,-1.98,2,4000000,2000000.0
Raul Ibanez,2012,Yankees,130,384,425,92,51,19,3,19,50,62,35,5,67,8.2,15.8,0.52,0.243,4,2,0,14,3,0,-5.3,0.214,0.325,3.4,0.24,0.308,0.45299999999999996,0.7609999999999999,0.9,102.0,1.63,1,1100000,1100000.0
Reed Johnson,2012,Cubs,119,269,288,78,58,14,3,3,30,20,13,1,61,4.5,21.2,0.21,0.366,6,0,0,4,2,2,-4.0,0.10800000000000001,0.322,1.6,0.29,0.337,0.39799999999999996,0.735,0.5,100.0,0.18,1,1150000,1150000.0
Rick Ankiel,2012,Nationals,68,158,171,36,19,10,2,5,15,15,12,3,59,7.0,34.5,0.2,0.33,0,0,1,3,1,3,-1.2,0.184,0.294,-2.9,0.228,0.282,0.41100000000000003,0.6940000000000001,-0.1,81.0,-1.13,1,1250000,1250000.0
Rod Barajas,2012,Pirates,104,321,361,66,44,11,0,11,29,31,29,5,69,8.0,19.1,0.42,0.22399999999999998,7,4,0,4,0,0,-0.7,0.13699999999999998,0.272,-12.4,0.20600000000000002,0.28300000000000003,0.34299999999999997,0.625,-0.4,70.0,0.01,1,4000000,4000000.0
Ronny Cedeno,2012,Mets,78,166,186,43,27,11,1,4,18,22,17,0,35,9.1,18.8,0.49,0.307,1,0,2,10,0,1,-1.6,0.151,0.326,1.6,0.259,0.332,0.41,0.741,0.3,108.0,0.06,1,1150000,1150000.0
Ryan Ludwick,2012,Reds,125,422,472,116,61,28,1,26,53,80,42,3,97,8.9,20.6,0.43,0.299,5,2,1,9,0,1,-9.1,0.256,0.373,22.1,0.275,0.34600000000000003,0.531,0.877,2.6,134.0,2.83,1,3000000,3000000.0
Ryan Theriot,2012,Giants,104,352,384,95,78,16,1,0,45,28,24,1,47,6.3,12.2,0.51,0.308,1,3,4,12,13,5,-6.2,0.051,0.28300000000000003,-9.9,0.27,0.316,0.321,0.637,-0.3,81.0,-1.27,1,3300000,3300000.0
Scott Hairston,2012,Mets,134,377,398,99,51,25,3,20,52,57,19,0,83,4.8,20.9,0.23,0.287,1,1,0,10,8,2,-7.3,0.24100000000000002,0.342,8.8,0.263,0.299,0.504,0.8029999999999999,1.5,119.0,1.47,1,1100000,1100000.0
Willie Bloomquist,2012,Diamondbacks,80,324,338,98,72,21,5,0,47,23,12,0,55,3.6,16.3,0.22,0.36200000000000004,0,2,0,5,7,10,-3.0,0.096,0.314,-0.2,0.302,0.325,0.39799999999999996,0.7240000000000001,0.4,92.0,0.2,2,3800000,1900000.0
Wilson Betemit,2012,Orioles,102,341,376,89,58,19,0,12,41,40,31,0,103,8.2,27.4,0.3,0.336,1,3,0,8,0,1,-6.0,0.161,0.324,2.8,0.261,0.322,0.42200000000000004,0.7440000000000001,0.6,102.0,-0.85,2,3250000,1625000.0
Xavier Nady,2012,Nationals,59,152,166,28,17,6,1,4,12,13,13,2,37,7.8,22.3,0.35,0.21600000000000003,1,0,0,8,1,0,-4.3,0.132,0.248,-9.0,0.184,0.253,0.316,0.569,-0.9,53.0,-0.55,1,700000,700000.0
