Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Hill,2012,Diamondbacks,156,609,668,184,108,44,6,26,93,85,52,7,86,7.8,12.9,0.6,0.317,4,2,1,15,14,5,2.8,0.22,0.375,32.4,0.302,0.36,0.522,0.882,5.3,133.0,1.59,2,11000000,5500000.0
Adam Kennedy,2012,Dodgers,86,168,201,44,33,8,1,2,22,16,23,1,33,11.4,16.4,0.7,0.304,1,5,4,5,1,1,0.0,0.095,0.31,-0.7,0.262,0.345,0.35700000000000004,0.7020000000000001,0.6,97.0,-0.85,1,800000,800000.0
Albert Pujols,2012,Angels,154,607,670,173,93,50,0,30,85,105,52,16,76,7.8,11.3,0.68,0.282,5,6,0,19,8,1,-6.5,0.231,0.36,24.0,0.285,0.34299999999999997,0.516,0.8590000000000001,3.6,133.0,2.89,10,240000000,24000000.0
Alex Gonzalez,2012,Brewers,24,81,89,21,13,4,0,4,8,15,6,0,15,6.7,16.9,0.4,0.27399999999999997,2,0,0,1,1,1,-2.0,0.198,0.341,1.8,0.259,0.326,0.457,0.7829999999999999,0.2,111.0,0.01,1,4250000,4250000.0
Andruw Jones,2012,Yankees,94,233,269,46,25,7,0,14,27,34,28,1,71,10.4,26.4,0.39,0.212,5,3,0,2,0,0,-1.4,0.21,0.306,-2.0,0.19699999999999998,0.294,0.408,0.701,0.5,89.0,-0.96,1,2000000,2000000.0
Aramis Ramirez,2012,Brewers,149,570,630,171,91,50,3,27,92,105,44,3,82,7.0,13.0,0.54,0.31,12,4,0,14,9,2,7.8,0.24,0.384,34.8,0.3,0.36,0.54,0.9009999999999999,5.6,139.0,4.6,3,36000000,12000000.0
Brian Schneider,2012,Phillies,34,89,98,20,13,5,0,2,9,7,5,0,15,5.1,15.3,0.33,0.25,3,0,1,4,0,0,1.8,0.124,0.284,-2.5,0.225,0.289,0.348,0.637,0.1,75.0,-1.04,1,800000,800000.0
Carlos Beltran,2012,Cardinals,151,547,619,147,88,26,1,32,83,97,65,15,124,10.5,20.0,0.52,0.29100000000000004,2,4,1,9,13,6,-4.5,0.22699999999999998,0.355,19.7,0.26899999999999996,0.34600000000000003,0.495,0.8420000000000001,3.3,124.0,2.42,2,26000000,13000000.0
Carlos Pena,2012,Rays,160,497,600,98,60,17,2,19,72,61,87,2,182,14.5,30.3,0.48,0.264,13,3,0,10,2,3,-7.7,0.157,0.309,-2.9,0.19699999999999998,0.33,0.354,0.684,0.7,98.0,0.57,1,7250000,7250000.0
Casey Kotchman,2012,Indians,142,463,500,106,82,12,0,12,46,55,26,1,49,5.2,9.8,0.53,0.233,7,1,3,15,3,0,-10.7,0.10400000000000001,0.271,-17.6,0.22899999999999998,0.28,0.33299999999999996,0.612,-1.6,70.0,-2.81,1,3000000,3000000.0
Chris Snyder,2012,Astros,76,221,258,39,24,8,0,7,23,24,33,4,70,12.8,27.1,0.47,0.222,4,0,0,5,0,0,1.6,0.131,0.27,-9.3,0.17600000000000002,0.295,0.308,0.602,-0.5,66.0,-1.05,1,750000,750000.0
