Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Boone,2007,Marlins,69,189,228,54,38,11,0,5,27,28,21,4,41,9.2,18.0,0.51,0.33299999999999996,13,4,1,0,2,0,-11.8,0.138,0.35700000000000004,4.9,0.28600000000000003,0.38799999999999996,0.423,0.8109999999999999,0.1,112.0,1.2,1.0,1000000.0,1000000.0
Aaron Miles,2007,Cardinals,133,414,449,120,101,16,1,2,55,32,25,1,40,5.6,8.9,0.63,0.313,1,5,4,11,2,1,-4.9,0.057999999999999996,0.302,-11.1,0.29,0.32799999999999996,0.348,0.6759999999999999,-0.1,79.0,-1.15,1.0,1400000.0,1400000.0
Aaron Rowand,2007,Phillies,161,612,684,189,117,45,0,27,105,89,47,3,119,6.9,17.4,0.39,0.345,19,4,2,18,6,3,6.9,0.20600000000000002,0.384,30.2,0.309,0.374,0.515,0.889,5.4,127.0,2.38,5.0,60000000.0,12000000.0
Adam Everett,2007,Astros,66,220,236,51,37,11,1,2,18,15,14,0,31,5.9,13.1,0.45,0.262,1,0,1,3,4,2,10.9,0.086,0.26899999999999996,-12.3,0.23199999999999998,0.281,0.318,0.599,0.5,56.0,-1.12,1.0,2800000.0,2800000.0
Alex Rodriguez,2007,Yankees,158,583,708,183,98,31,0,54,143,156,95,11,120,13.4,16.9,0.79,0.309,21,9,0,15,24,4,-0.5,0.331,0.445,67.5,0.314,0.42200000000000004,0.645,1.067,9.6,175.0,7.68,10.0,275000000.0,27500000.0
Andruw Jones,2007,Braves,154,572,659,127,72,27,2,26,83,94,70,4,138,10.6,20.9,0.51,0.242,8,9,0,16,5,2,25.5,0.191,0.315,-8.9,0.222,0.311,0.413,0.7240000000000001,3.3,86.0,-2.34,2.0,36200000.0,18100000.0
Brad Wilkerson,2007,Rangers,119,338,389,79,41,17,1,20,54,62,43,0,107,11.1,27.5,0.4,0.27399999999999997,1,4,3,2,4,1,-7.5,0.23399999999999999,0.33899999999999997,2.6,0.23399999999999999,0.319,0.467,0.7859999999999999,0.8,101.0,0.18,1.0,3000000.0,3000000.0
Cesar Izturis,2007,Cardinals,110,314,337,81,65,14,2,0,31,16,19,2,19,5.6,5.6,1.0,0.275,1,0,3,7,3,3,5.9,0.057,0.276,-15.5,0.258,0.302,0.315,0.618,-0.2,58.0,-1.08,1.0,2850000.0,2850000.0
Chris Gomez,2007,Pirates,92,222,240,66,52,12,1,1,21,21,10,1,26,4.2,10.8,0.38,0.33,0,2,6,6,1,2,-0.8,0.077,0.307,-4.8,0.297,0.325,0.374,0.6990000000000001,-0.1,83.0,-0.24,1.0,1000000.0,1000000.0
Cliff Floyd,2007,Cubs,108,282,322,80,60,10,1,9,40,45,35,5,47,10.9,14.6,0.74,0.314,5,0,0,6,0,0,-3.7,0.138,0.35,5.1,0.284,0.373,0.42200000000000004,0.795,0.7,104.0,-0.15,1.0,3000000.0,3000000.0
Darin Erstad,2007,White Sox,87,310,347,77,59,13,1,4,33,32,28,0,44,8.1,12.7,0.64,0.278,0,1,6,4,7,2,6.4,0.087,0.29100000000000004,-11.7,0.248,0.31,0.335,0.645,0.7,69.0,-0.41,1.0,1000000.0,1000000.0
David Eckstein,2007,Cardinals,117,434,484,134,108,23,0,3,58,31,24,0,22,5.0,4.5,1.09,0.315,12,7,7,9,10,1,-5.0,0.07400000000000001,0.33,-0.3,0.309,0.35600000000000004,0.382,0.7390000000000001,0.7,97.0,-0.39,1.0,4500000.0,4500000.0
Doug Mirabelli,2007,Red Sox,48,114,127,23,15,3,0,5,9,16,11,0,41,8.7,32.3,0.27,0.265,1,0,1,4,0,0,2.3,0.158,0.284,-5.0,0.20199999999999999,0.278,0.36,0.637,-0.1,64.0,-0.72,1.0,550000.0,550000.0
Emil Brown,2007,Royals,113,366,397,94,74,13,1,6,44,62,24,2,71,6.0,17.9,0.34,0.298,1,6,0,7,12,2,4.7,0.09,0.285,-15.4,0.257,0.3,0.34700000000000003,0.647,0.3,66.0,0.29,1.0,1450000.0,1450000.0
Gary Bennett,2007,Cardinals,59,155,170,39,30,7,0,2,12,17,8,1,16,4.7,9.4,0.5,0.262,1,4,2,6,1,1,-0.8,0.084,0.272,-8.5,0.252,0.28600000000000003,0.335,0.621,-0.5,59.0,-0.71,1.0,875000.0,875000.0
Geoff Blum,2007,Padres,122,330,370,83,56,21,1,5,34,33,32,4,52,8.6,14.1,0.62,0.28300000000000003,2,3,3,10,0,0,-2.2,0.115,0.302,-9.2,0.252,0.319,0.36700000000000005,0.685,0.2,85.0,-0.25,1.0,1100000.0,1100000.0
Geoff Jenkins,2007,Brewers,132,420,464,107,60,24,2,21,45,64,32,10,116,6.9,25.0,0.28,0.301,9,3,0,9,2,2,1.1,0.217,0.33299999999999996,0.8,0.255,0.319,0.47100000000000003,0.79,1.2,98.0,0.33,2.0,13000000.0,6500000.0
Jason Kendall,2007,Brewers,137,466,514,113,89,20,1,3,45,41,31,2,42,6.0,8.2,0.74,0.259,9,3,5,8,3,4,1.6,0.067,0.275,-23.8,0.242,0.301,0.309,0.61,-0.7,61.0,-0.85,1.0,4250000.0,4250000.0
Jason LaRue,2007,Royals,66,169,195,25,12,9,0,4,14,13,17,0,66,8.7,33.8,0.26,0.20800000000000002,4,2,3,6,1,0,6.7,0.124,0.235,-15.8,0.14800000000000002,0.24,0.272,0.512,-0.4,33.0,-1.48,1.0,850000.0,850000.0
Johnny Estrada,2007,Brewers,120,442,464,123,88,25,0,10,40,54,12,3,43,2.6,9.3,0.28,0.285,2,7,1,16,0,0,-1.0,0.124,0.3,-12.1,0.278,0.29600000000000004,0.40299999999999997,0.6990000000000001,-0.3,77.0,-1.71,1.0,1250000.0,1250000.0
Jorge Posada,2007,Yankees,144,506,589,171,108,42,1,20,91,90,74,7,98,12.6,16.6,0.76,0.386,6,3,0,18,2,0,2.9,0.20600000000000002,0.418,42.8,0.33799999999999997,0.426,0.5429999999999999,0.97,5.6,157.0,2.77,4.0,52400000.0,13100000.0
Jose Guillen,2007,Mariners,153,593,659,172,119,28,2,23,84,99,41,2,118,6.2,17.9,0.35,0.326,19,5,0,17,5,1,-12.8,0.17,0.355,13.0,0.29,0.353,0.46,0.813,2.2,117.0,0.71,3.0,36000000.0,12000000.0
Livan Hernandez,2007,Diamondbacks,34,75,79,16,14,1,0,1,9,5,0,0,7,0.0,8.9,0.0,0.221,0,1,3,3,0,0,8.5,0.053,0.20800000000000002,-8.2,0.213,0.21100000000000002,0.267,0.47700000000000004,0.2,10.0,-0.81,1.0,5000000.0,5000000.0
Luis Castillo,2007,Mets,135,548,615,165,140,19,5,1,91,38,53,0,45,8.6,7.3,1.18,0.325,0,2,12,5,19,6,3.2,0.057999999999999996,0.326,-2.4,0.301,0.36200000000000004,0.359,0.721,2.8,96.0,1.51,4.0,25000000.0,6250000.0
Luis Gonzalez,2007,Dodgers,139,464,526,129,89,23,2,15,70,68,56,4,56,10.6,10.6,1.0,0.289,4,2,0,11,6,2,-16.4,0.155,0.348,7.5,0.278,0.359,0.433,0.7929999999999999,0.6,109.0,-0.23,1.0,2000000.0,2000000.0
Mark Loretta,2007,Astros,133,460,511,132,103,23,2,4,52,41,44,0,41,8.6,8.0,1.07,0.308,3,1,3,15,1,2,1.5,0.085,0.326,-2.0,0.287,0.35200000000000004,0.37200000000000005,0.7240000000000001,0.8,93.0,0.87,1.0,2750000.0,2750000.0
Mark Sweeney,2007,Dodgers,106,123,141,32,21,9,0,2,20,13,14,0,29,9.9,20.6,0.48,0.326,3,0,1,0,2,0,-0.6,0.122,0.331,0.0,0.26,0.35,0.382,0.732,0.4,95.0,0.74,1.0,600000.0,600000.0
Marlon Anderson,2007,Mets,66,95,106,28,18,7,0,3,17,27,8,1,17,7.5,16.0,0.47,0.325,0,2,1,2,4,1,0.2,0.168,0.345,1.3,0.295,0.34299999999999997,0.46299999999999997,0.8059999999999999,0.6,107.0,1.67,2.0,2200000.0,1100000.0
Michael Barrett,2007,Padres,101,344,367,84,58,17,0,9,29,41,19,3,57,5.2,15.5,0.33,0.266,0,4,0,10,2,2,3.6,0.128,0.282,-15.0,0.244,0.281,0.37200000000000005,0.653,-0.4,65.0,-2.55,1.0,3500000.0,3500000.0
Miguel Cairo,2007,Mariners,82,174,193,44,33,9,2,0,20,15,11,1,24,5.7,12.4,0.46,0.29100000000000004,2,1,5,3,10,2,2.5,0.075,0.281,-8.1,0.253,0.303,0.32799999999999996,0.631,0.2,66.0,-0.59,1.0,850000.0,850000.0
Mike Cameron,2007,Padres,151,571,651,138,78,33,6,21,88,78,67,1,160,10.3,24.6,0.42,0.298,8,3,2,9,18,5,-12.1,0.18899999999999997,0.33299999999999996,0.8,0.242,0.32799999999999996,0.431,0.759,1.9,105.0,0.5,1.0,7000000.0,7000000.0
Mike Lamb,2007,Astros,124,311,353,90,63,14,2,11,45,40,36,5,45,10.2,12.7,0.8,0.307,3,2,1,5,0,0,-1.1,0.16399999999999998,0.35600000000000004,7.3,0.289,0.366,0.45299999999999996,0.82,1.8,112.0,1.02,2.0,6600000.0,3300000.0
Mike Lowell,2007,Red Sox,154,589,653,191,131,37,2,21,79,120,53,4,71,8.1,10.9,0.75,0.337,3,8,0,19,3,2,6.5,0.177,0.379,26.2,0.324,0.37799999999999995,0.501,0.879,4.5,128.0,1.22,3.0,37500000.0,12500000.0
Milton Bradley,2007,Rangers,61,209,244,64,41,9,1,13,37,37,31,3,41,12.7,16.8,0.76,0.327,3,1,0,5,5,2,-2.2,0.239,0.405,15.2,0.306,0.402,0.545,0.9470000000000001,2.1,151.0,1.61,1.0,5000000.0,5000000.0
