Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Marcus Thames,2010,Yankees,82,212,237,61,42,7,0,12,22,33,19,0,61,8.0,25.7,0.31,0.345,3,3,0,3,0,0,-10.5,0.203,0.36700000000000005,8.6,0.28800000000000003,0.35,0.491,0.841,0.7,126.0,0.25,1.0,1000000.0,1000000.0
Mark Kotsay,2010,White Sox,107,327,359,78,51,17,2,8,30,31,32,3,36,8.9,10.0,0.89,0.247,0,0,0,9,1,3,-10.6,0.138,0.302,-5.6,0.239,0.306,0.376,0.6829999999999999,-1.3,80.0,0.48,1.0,800000.0,800000.0
Matt Diaz,2010,Braves,84,224,244,56,30,17,2,7,27,31,13,3,44,5.3,18.0,0.3,0.282,4,1,2,6,3,1,-2.8,0.188,0.318,-0.5,0.25,0.302,0.43799999999999994,0.7390000000000001,0.3,94.0,0.43,2.0,4250000.0,2125000.0
Matt Treanor,2010,Rangers,82,237,272,50,38,6,1,5,22,27,22,0,43,8.1,15.8,0.51,0.233,5,4,4,4,1,2,3.2,0.09699999999999999,0.271,-10.8,0.21100000000000002,0.287,0.308,0.595,-0.1,57.0,-1.36,1.0,850000.0,850000.0
Melvin Mora,2010,Rockies,113,316,354,90,66,12,5,7,39,45,31,2,53,8.8,15.0,0.58,0.324,5,0,2,9,2,1,-8.9,0.136,0.345,6.9,0.285,0.358,0.42100000000000004,0.779,0.2,99.0,0.35,1.0,2000000.0,2000000.0
Miguel Cairo,2010,Reds,91,200,226,58,42,12,0,4,30,28,17,0,30,7.5,13.3,0.57,0.32,4,3,2,4,4,0,-2.6,0.12,0.33899999999999997,3.3,0.29,0.353,0.41,0.763,0.7,106.0,0.6,2.0,2000000.0,1000000.0
Miguel Olivo,2010,Rockies,112,394,427,106,69,17,6,14,55,58,27,5,117,6.3,27.4,0.23,0.34600000000000003,1,3,2,6,7,4,17.0,0.18,0.32899999999999996,2.7,0.26899999999999996,0.315,0.449,0.765,2.7,88.0,-1.12,2.0,7000000.0,3500000.0
Miguel Tejada,2010,Giants,156,636,681,171,130,26,0,15,71,71,30,3,67,4.4,9.8,0.45,0.28,11,3,1,16,2,0,-1.7,0.11199999999999999,0.306,-7.9,0.26899999999999996,0.312,0.381,0.6920000000000001,0.8,88.0,-0.3,1.0,6500000.0,6500000.0
Nick Punto,2010,Twins,88,252,288,60,47,11,1,1,24,20,28,2,50,9.7,17.4,0.56,0.289,1,3,4,3,6,2,13.9,0.063,0.27899999999999997,-9.7,0.23800000000000002,0.313,0.302,0.615,1.3,68.0,-1.59,1.0,750000.0,750000.0
Orlando Hudson,2010,Twins,126,497,559,133,98,24,5,6,80,37,50,0,87,8.9,15.6,0.57,0.312,4,3,5,14,10,3,10.3,0.105,0.319,-0.9,0.268,0.33799999999999997,0.37200000000000005,0.71,3.0,96.0,-1.44,2.0,11500000.0,5750000.0
Pat Burrell,2010,Giants,120,373,437,94,53,21,0,20,50,64,57,4,105,13.0,24.0,0.54,0.29100000000000004,1,6,0,7,0,2,-0.2,0.217,0.354,11.7,0.252,0.348,0.469,0.8170000000000001,2.5,123.0,2.09,1.0,1000000.0,1000000.0
Paul Konerko,2010,White Sox,149,548,631,171,101,30,1,39,89,111,72,7,110,11.4,17.4,0.65,0.326,5,6,0,9,0,1,-26.0,0.272,0.41700000000000004,48.4,0.312,0.39299999999999996,0.584,0.977,3.5,158.0,3.52,3.0,37500000.0,12500000.0
Ramon Hernandez,2010,Reds,97,313,352,93,67,18,1,7,30,48,29,1,49,8.2,13.9,0.59,0.332,5,2,3,8,0,0,9.1,0.131,0.35100000000000003,8.5,0.297,0.364,0.428,0.792,2.5,114.0,0.87,1.0,3000000.0,3000000.0
Rick Ankiel,2010,Nationals,74,211,240,49,29,13,1,6,31,24,26,2,71,10.8,29.6,0.37,0.319,2,1,0,3,3,1,1.5,0.156,0.314,-1.3,0.23199999999999998,0.321,0.389,0.7090000000000001,0.6,92.0,0.16,1.0,1500000.0,1500000.0
Rod Barajas,2010,Dodgers,99,313,339,75,44,14,0,17,39,47,13,6,54,3.8,15.9,0.24,0.23600000000000002,8,4,1,6,0,0,4.3,0.20800000000000002,0.311,-2.7,0.24,0.284,0.447,0.731,1.0,93.0,-0.31,1.0,3250000.0,3250000.0
Ronny Paulino,2010,Marlins,91,316,344,82,60,18,0,4,31,37,25,4,51,7.3,14.8,0.49,0.295,0,3,0,11,1,0,9.4,0.095,0.293,-7.7,0.259,0.311,0.354,0.665,1.0,76.0,-0.19,1.0,1300000.0,1300000.0
Russell Martin,2010,Dodgers,97,331,387,82,64,13,0,5,45,26,48,7,61,12.4,15.8,0.79,0.287,4,3,1,7,6,2,10.7,0.085,0.306,-4.8,0.248,0.34700000000000003,0.332,0.679,2.0,90.0,1.14,1.0,4000000.0,4000000.0
Tony Gwynn,2010,Padres,117,289,339,59,44,9,3,3,30,20,41,4,50,12.1,14.7,0.82,0.23600000000000002,1,1,7,3,17,4,15.4,0.083,0.27,-13.8,0.204,0.304,0.287,0.591,2.0,69.0,-1.16,1.0,675000.0,675000.0
Ty Wigginton,2010,Orioles,154,581,649,144,92,29,1,22,63,76,50,3,116,7.7,17.9,0.43,0.27,8,9,1,23,0,1,-14.0,0.16699999999999998,0.318,-1.5,0.248,0.312,0.415,0.727,-0.2,93.0,-1.48,2.0,8000000.0,4000000.0
Victor Martinez,2010,Red Sox,127,493,538,149,96,32,1,20,64,79,40,5,52,7.4,9.7,0.77,0.303,0,5,0,17,1,0,4.3,0.191,0.364,18.6,0.302,0.35100000000000003,0.493,0.8440000000000001,3.5,122.0,1.51,4.0,50000000.0,12500000.0
Vladimir Guerrero,2010,Rangers,152,593,643,178,121,27,1,29,83,115,35,5,60,5.4,9.3,0.58,0.292,9,6,0,19,4,5,-14.6,0.196,0.364,21.9,0.3,0.345,0.496,0.841,1.0,119.0,2.01,1.0,8000000.0,8000000.0
Wil Nieves,2010,Nationals,59,158,172,32,21,8,0,3,10,16,8,2,29,4.7,16.9,0.28,0.228,1,1,4,6,0,0,4.9,0.10800000000000001,0.242,-10.9,0.203,0.244,0.31,0.5539999999999999,-0.2,43.0,-1.32,1.0,775000.0,775000.0
Willie Bloomquist,2010,Diamondbacks,83,187,199,50,36,10,1,3,31,17,9,0,28,4.5,14.1,0.32,0.299,0,1,2,4,8,5,-8.8,0.11199999999999999,0.3,-3.4,0.267,0.299,0.38,0.679,-0.7,82.0,-0.04,1.0,900000.0,900000.0
Xavier Nady,2010,Cubs,119,317,347,81,62,13,0,6,33,33,17,0,85,4.9,24.5,0.2,0.326,8,4,1,12,0,0,-7.9,0.098,0.295,-7.1,0.256,0.306,0.353,0.66,-0.7,76.0,-1.24,1.0,1750000.0,1750000.0
Yorvit Torrealba,2010,Padres,95,325,363,88,67,14,0,7,31,37,33,2,67,9.1,18.5,0.49,0.321,3,1,1,12,7,5,10.4,0.10800000000000001,0.32299999999999995,0.5,0.271,0.34299999999999997,0.37799999999999995,0.721,2.4,105.0,0.31,2.0,6250000.0,3125000.0
