Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
A.J. Pierzynski,2013,Rangers,134,503,529,137,95,24,1,17,48,70,11,2,76,2.1,14.4,0.14,0.28800000000000003,9,6,0,14,1,1,6.6,0.153,0.313,-0.4,0.272,0.297,0.425,0.722,1.4,90.0,-0.96,1,7500000,7500000.0
Adam LaRoche,2013,Nationals,152,511,590,121,79,19,3,20,70,62,72,10,131,12.2,22.2,0.55,0.27699999999999997,3,4,0,13,4,1,-13.3,0.166,0.321,3.3,0.237,0.332,0.40299999999999997,0.735,0.6,102.0,0.23,2,24000000,12000000.0
Alex Gonzalez,2013,Brewers,41,113,118,20,16,3,0,1,14,8,3,0,26,2.5,22.0,0.12,0.218,1,1,0,1,0,0,-2.7,0.053,0.19399999999999998,-11.1,0.177,0.203,0.23,0.433,-1.0,11.0,-1.05,1,1450000,1450000.0
Andres Torres,2013,Giants,103,272,300,68,48,17,1,2,33,21,22,1,61,7.3,20.3,0.36,0.31,0,4,2,7,4,3,3.2,0.092,0.285,-6.9,0.25,0.302,0.342,0.644,0.7,85.0,0.08,1,2000000,2000000.0
Angel Pagan,2013,Giants,71,280,305,79,55,16,3,5,44,30,23,0,36,7.5,11.8,0.64,0.307,0,2,0,1,9,4,-3.8,0.132,0.32899999999999996,3.7,0.282,0.33399999999999996,0.414,0.7490000000000001,1.4,116.0,2.16,4,40000000,10000000.0
Brandon Inge,2013,Pirates,50,105,110,19,15,3,0,1,5,7,2,0,32,1.8,29.1,0.06,0.25,1,0,2,2,0,0,2.6,0.057,0.198,-10.0,0.18100000000000002,0.204,0.23800000000000002,0.442,-0.4,20.0,-1.4,1,1250000,1250000.0
Brayan Pena,2013,Tigers,71,229,243,68,53,11,0,4,19,22,6,0,26,2.5,10.7,0.23,0.315,2,4,2,7,0,2,0.6,0.1,0.311,-0.5,0.297,0.315,0.397,0.713,0.1,94.0,-1.13,1,875000,875000.0
Carlos Pena,2013,Astros,89,280,328,58,36,13,1,8,38,25,43,5,92,13.1,28.0,0.47,0.278,4,0,1,5,1,3,-9.2,0.139,0.298,-4.0,0.207,0.321,0.34600000000000003,0.6679999999999999,-0.5,86.0,-0.98,1,2900000,2900000.0
Chris Young,2013,Athletics,107,335,375,67,34,18,3,12,46,40,36,3,93,9.6,24.8,0.39,0.237,2,2,0,7,10,3,-1.5,0.179,0.289,-7.4,0.2,0.28,0.379,0.659,0.6,82.0,0.07,1,2000000,2000000.0
Cody Ransom,2013,Cubs,62,169,193,32,12,10,1,9,21,20,22,0,62,11.4,32.1,0.35,0.235,1,0,1,4,0,0,2.5,0.231,0.311,-0.3,0.18899999999999997,0.28600000000000003,0.42,0.7070000000000001,0.8,97.0,-0.42,1,550000,550000.0
Cody Ross,2013,Diamondbacks,94,317,351,88,62,17,1,8,33,38,25,1,50,7.1,14.2,0.5,0.303,3,5,1,10,3,2,8.9,0.136,0.326,3.4,0.278,0.331,0.413,0.745,1.9,102.0,0.99,3,26000000,8666666.666666666
David Ortiz,2013,Red Sox,137,518,600,160,90,38,2,30,84,103,76,27,88,12.7,14.7,0.86,0.321,1,5,0,21,4,0,-15.5,0.255,0.4,40.4,0.309,0.395,0.564,0.9590000000000001,3.3,151.0,2.24,2,29000000,14500000.0
David Ross,2013,Red Sox,36,102,116,22,13,5,0,4,11,10,11,0,42,9.5,36.2,0.26,0.321,1,0,2,3,1,0,5.8,0.16699999999999998,0.304,-0.9,0.21600000000000003,0.298,0.382,0.6809999999999999,0.8,85.0,-0.49,2,6200000,3100000.0
Delmon Young,2013,Phillies,103,334,361,87,60,16,0,11,30,38,20,0,78,5.5,21.6,0.26,0.306,4,3,0,8,0,0,-15.0,0.147,0.314,0.1,0.26,0.307,0.40700000000000003,0.715,-0.8,98.0,-0.85,1,750000,750000.0
Dioner Navarro,2013,Cubs,89,240,266,72,52,7,0,13,31,34,23,1,36,8.6,13.5,0.64,0.307,2,1,0,4,0,1,2.5,0.192,0.374,12.5,0.3,0.365,0.49200000000000005,0.856,2.1,139.0,1.34,1,1750000,1750000.0
Don Kelly,2013,Tigers,112,216,251,48,35,6,1,6,33,23,27,1,28,10.8,11.2,0.96,0.226,2,4,2,4,2,0,-3.7,0.12,0.292,-4.4,0.222,0.309,0.34299999999999997,0.652,0.1,80.0,0.08,1,900000,900000.0
Eric Chavez,2013,Diamondbacks,80,228,254,64,39,14,2,9,28,44,19,4,45,7.5,17.7,0.42,0.307,1,5,0,7,1,0,-3.7,0.19699999999999998,0.344,6.0,0.281,0.332,0.478,0.81,0.8,114.0,0.57,1,3000000,3000000.0
Geovany Soto,2013,Rangers,54,163,184,40,22,9,0,9,20,22,20,0,60,10.9,32.6,0.33,0.33,0,0,1,2,1,2,4.7,0.221,0.348,4.9,0.245,0.32799999999999996,0.466,0.794,1.1,114.0,0.75,1,2750000,2750000.0
Gerald Laird,2013,Braves,47,121,141,34,25,8,0,1,12,13,14,0,23,9.9,16.3,0.61,0.337,3,1,2,4,1,1,2.8,0.091,0.33299999999999996,2.1,0.281,0.36700000000000005,0.37200000000000005,0.7390000000000001,0.8,112.0,-0.06,2,3000000,1500000.0
Ichiro Suzuki,2013,Yankees,150,520,555,136,111,15,3,7,57,35,26,4,63,4.7,11.4,0.41,0.285,1,2,6,6,20,4,5.5,0.081,0.281,-14.3,0.262,0.297,0.342,0.639,1.3,72.0,0.2,2,13000000,6500000.0
Jack Hannahan,2013,Reds,83,139,162,30,23,5,1,1,12,14,19,1,38,11.7,23.5,0.5,0.287,2,1,0,6,0,0,0.7,0.07200000000000001,0.27699999999999997,-4.6,0.21600000000000003,0.317,0.28800000000000003,0.605,-0.2,70.0,-0.81,2,4000000,2000000.0
James Loney,2013,Rays,158,549,598,164,118,33,0,13,54,75,44,6,77,7.4,12.9,0.57,0.326,0,4,1,16,3,1,-5.0,0.131,0.33899999999999997,11.7,0.299,0.348,0.43,0.778,2.6,117.0,1.3,1,2000000,2000000.0
Jason Giambi,2013,Indians,71,186,216,34,17,8,0,9,21,31,23,0,56,10.6,25.9,0.41,0.20199999999999999,4,3,0,8,0,1,-6.0,0.188,0.29100000000000004,-3.8,0.183,0.282,0.371,0.653,-0.7,81.0,0.81,1,750000,750000.0
Jeff Baker,2013,Rangers,74,154,175,43,24,8,0,11,21,21,18,1,48,10.3,27.4,0.38,0.33299999999999996,2,1,0,5,1,0,-7.6,0.266,0.389,10.4,0.27899999999999997,0.36,0.545,0.905,0.5,143.0,0.19,1,1750000,1750000.0
Jeff Keppinger,2013,White Sox,117,423,451,107,89,13,1,4,38,40,20,1,41,4.4,9.1,0.49,0.26899999999999996,0,5,2,14,0,1,-4.7,0.064,0.266,-17.1,0.253,0.28300000000000003,0.317,0.6,-1.7,62.0,-2.25,3,12000000,4000000.0
Jonny Gomes,2013,Red Sox,116,312,366,77,47,17,0,13,49,52,43,3,89,11.7,24.3,0.48,0.298,6,5,0,6,1,0,-7.2,0.179,0.33799999999999997,6.9,0.247,0.344,0.426,0.7709999999999999,1.1,108.0,1.05,2,10000000,5000000.0
Josh Hamilton,2013,Angels,151,576,636,144,86,32,5,21,73,79,47,4,158,7.4,24.8,0.3,0.303,4,9,0,16,4,0,-9.0,0.182,0.319,2.7,0.25,0.307,0.43200000000000005,0.7390000000000001,1.9,105.0,1.33,5,125000000,25000000.0
Kelly Johnson,2013,Rays,118,366,407,86,56,12,2,16,41,52,35,1,99,8.6,24.3,0.35,0.276,3,3,0,4,7,4,-3.8,0.175,0.314,0.0,0.235,0.305,0.41,0.715,1.2,100.0,0.53,1,2450000,2450000.0
Kelly Shoppach,2013,Mariners,36,109,127,21,11,7,0,3,11,9,12,1,46,9.4,36.2,0.26,0.295,3,1,2,0,0,0,2.3,0.147,0.28,-3.3,0.193,0.28800000000000003,0.33899999999999997,0.627,0.3,77.0,-0.6,1,1500000,1500000.0
Kevin Youkilis,2013,Yankees,28,105,118,23,14,7,0,2,12,8,8,1,31,6.8,26.3,0.26,0.292,5,0,0,4,0,0,-3.6,0.124,0.29,-2.2,0.21899999999999997,0.305,0.34299999999999997,0.648,-0.5,79.0,-0.89,1,12000000,12000000.0
Lance Berkman,2013,Rangers,73,256,294,62,45,10,1,6,27,34,38,3,52,12.9,17.7,0.73,0.28300000000000003,0,0,0,7,0,0,-6.5,0.11699999999999999,0.313,-0.2,0.242,0.34,0.359,0.7,-0.3,90.0,-0.37,1,11000000,11000000.0
Luke Scott,2013,Rays,91,253,291,61,37,13,2,9,27,40,30,1,63,10.3,21.6,0.48,0.281,4,4,0,5,1,1,-8.2,0.174,0.326,2.7,0.24100000000000002,0.326,0.415,0.741,0.4,108.0,1.03,1,2750000,2750000.0
Lyle Overbay,2013,Yankees,142,445,485,107,68,24,1,14,43,59,36,0,111,7.4,22.9,0.32,0.287,0,4,0,16,2,0,-7.2,0.153,0.303,-4.3,0.24,0.295,0.39299999999999996,0.688,0.0,87.0,-0.49,1,1250000,1250000.0
Maicer Izturis,2013,Blue Jays,107,365,399,86,69,12,0,5,33,32,27,0,38,6.8,9.5,0.71,0.249,1,3,3,11,1,5,-14.3,0.07400000000000001,0.26899999999999996,-14.1,0.23600000000000002,0.28800000000000003,0.31,0.597,-2.2,64.0,-1.82,3,10000000,3333333.333333333
Marco Scutaro,2013,Giants,127,488,547,145,117,23,3,2,57,31,45,0,34,8.2,6.2,1.32,0.314,2,3,9,13,2,0,0.6,0.07200000000000001,0.325,4.7,0.297,0.35700000000000004,0.369,0.726,2.7,112.0,1.04,3,20000000,6666666.666666668
Melky Cabrera,2013,Blue Jays,88,344,372,96,76,15,2,3,39,30,23,0,47,6.2,12.6,0.49,0.313,0,3,2,7,2,2,-11.5,0.081,0.303,-3.3,0.27899999999999997,0.322,0.36,0.682,-0.8,87.0,-1.63,2,16000000,8000000.0
Michael Bourn,2013,Indians,130,525,575,138,105,21,6,6,75,50,40,0,132,7.0,23.0,0.3,0.33799999999999997,2,3,5,2,23,12,1.2,0.09699999999999999,0.3,-6.0,0.263,0.316,0.36,0.6759999999999999,1.7,88.0,0.16,4,48000000,12000000.0
Mike Napoli,2013,Red Sox,139,498,578,129,66,38,2,23,79,92,73,3,187,12.6,32.4,0.39,0.36700000000000005,6,1,0,15,1,1,-0.6,0.223,0.36700000000000005,24.1,0.259,0.36,0.48200000000000004,0.8420000000000001,3.9,128.0,1.1,1,5000000,5000000.0
Nate McLouth,2013,Orioles,146,531,593,137,90,31,4,12,76,36,53,1,86,8.9,14.5,0.62,0.28800000000000003,4,1,4,7,30,7,-2.2,0.141,0.32299999999999995,4.1,0.258,0.32899999999999996,0.39899999999999997,0.7290000000000001,2.5,100.0,-0.29,1,2000000,2000000.0
Nate Schierholtz,2013,Cubs,137,462,503,116,60,32,3,21,56,68,29,3,94,5.8,18.7,0.31,0.27,6,5,1,6,6,3,-5.1,0.21899999999999997,0.331,6.8,0.251,0.301,0.47,0.77,1.9,109.0,0.77,1,2250000,2250000.0
Nick Swisher,2013,Indians,145,549,634,135,84,27,2,22,74,63,77,3,138,12.1,21.8,0.56,0.28800000000000003,4,4,0,11,1,0,-9.8,0.177,0.336,11.3,0.24600000000000002,0.341,0.423,0.763,2.1,113.0,0.33,4,56000000,14000000.0
Placido Polanco,2013,Marlins,118,377,416,98,84,13,0,1,33,23,23,1,31,5.5,7.5,0.74,0.278,9,4,3,15,2,0,-0.9,0.042,0.27899999999999997,-11.4,0.26,0.315,0.302,0.617,-0.4,75.0,-2.87,1,2750000,2750000.0
Raul Ibanez,2013,Mariners,124,454,496,110,59,20,2,29,54,65,42,1,128,8.5,25.8,0.33,0.273,0,0,0,8,0,0,-23.6,0.244,0.344,11.7,0.242,0.306,0.48700000000000004,0.7929999999999999,0.2,121.0,0.59,1,2750000,2750000.0
Reed Johnson,2013,Braves,74,123,136,30,21,7,1,1,13,11,6,0,32,4.4,23.5,0.19,0.322,6,0,1,3,0,0,0.1,0.098,0.294,-2.1,0.244,0.311,0.341,0.653,0.2,85.0,-0.29,1,1750000,1750000.0
Robert Andino,2013,Mariners,29,76,85,14,10,4,0,0,5,4,7,0,27,8.2,31.8,0.26,0.28600000000000003,0,0,2,3,0,0,0.6,0.053,0.226,-5.8,0.184,0.253,0.237,0.49,-0.2,40.0,-0.73,1,1600000,1600000.0
Ronny Cedeno,2013,Astros,89,264,288,64,50,8,3,3,24,21,14,1,73,4.9,25.3,0.19,0.32299999999999995,3,1,6,6,5,4,-6.4,0.087,0.273,-9.1,0.242,0.287,0.33,0.617,-0.7,71.0,-0.13,1,1150000,1150000.0
Russell Martin,2013,Pirates,127,438,506,99,63,21,0,15,51,55,58,2,108,11.5,21.3,0.54,0.266,8,1,1,13,9,5,22.7,0.151,0.315,0.6,0.226,0.327,0.377,0.703,4.1,102.0,0.28,2,17000000,8500000.0
Ryan Ludwick,2013,Reds,38,129,140,31,24,5,0,2,7,12,10,0,29,7.1,20.7,0.34,0.293,0,1,0,7,0,0,-4.9,0.085,0.27699999999999997,-4.0,0.24,0.293,0.326,0.618,-0.9,70.0,-0.8,2,15000000,7500000.0
Scott Hairston,2013,Cubs,85,157,174,30,15,5,0,10,18,26,9,0,44,5.2,25.3,0.2,0.185,2,5,1,3,2,0,-6.1,0.223,0.27899999999999997,-4.7,0.191,0.237,0.414,0.6509999999999999,-0.6,73.0,-0.49,2,5000000,2500000.0
Shane Victorino,2013,Red Sox,122,477,532,140,97,26,2,15,82,61,25,0,75,4.7,14.1,0.33,0.321,18,2,10,5,21,3,19.5,0.157,0.353,16.3,0.294,0.35100000000000003,0.451,0.8009999999999999,5.9,119.0,1.95,3,39000000,13000000.0
Stephen Drew,2013,Red Sox,124,442,501,112,62,29,8,13,57,67,54,3,124,10.8,24.8,0.44,0.32,1,4,0,9,6,0,10.9,0.19,0.337,9.3,0.253,0.33299999999999996,0.44299999999999995,0.777,3.4,108.0,0.96,1,9500000,9500000.0
Torii Hunter,2013,Tigers,144,606,652,184,125,37,5,17,90,84,26,0,113,4.0,17.3,0.23,0.344,7,10,3,11,3,2,-10.5,0.162,0.34600000000000003,16.6,0.304,0.33399999999999996,0.465,0.8,2.7,118.0,0.63,2,26000000,13000000.0
Travis Hafner,2013,Yankees,82,262,299,53,32,8,1,12,31,37,32,2,79,10.7,26.4,0.41,0.24,5,0,0,5,2,0,-7.8,0.17600000000000002,0.302,-2.7,0.20199999999999999,0.301,0.37799999999999995,0.679,-0.1,87.0,-0.11,1,2000000,2000000.0
Wil Nieves,2013,Diamondbacks,71,195,206,58,46,11,0,1,16,22,8,0,32,3.9,15.5,0.25,0.345,0,3,0,7,0,0,-1.5,0.07200000000000001,0.303,-1.7,0.297,0.32,0.369,0.69,-0.1,86.0,-0.79,1,800000,800000.0
Zack Greinke,2013,Dodgers,29,58,72,19,16,3,0,0,5,4,7,0,10,9.7,13.9,0.7,0.396,1,0,6,0,2,0,7.1,0.052000000000000005,0.35700000000000004,2.4,0.32799999999999996,0.409,0.379,0.7879999999999999,1.3,132.0,0.4,6,147000000,24500000.0
