Name,Yr,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,Contract Yrs,Total Salary($),Avg Salary($)
Adam Everett,2009,Tigers,118,345,390,82,58,21,0,3,43,44,22,0,61,5.6,15.6,0.36,0.27699999999999997,4,4,15,9,5,2,10.5,0.087,0.27399999999999997,-17.5,0.23800000000000002,0.28800000000000003,0.325,0.613,0.7,58.0,-1.4,1.0,1550000.0,1550000.0
Adam Kennedy,2009,Athletics,129,529,587,153,112,29,1,11,65,63,45,2,86,7.7,14.7,0.52,0.326,4,3,5,8,20,6,-8.7,0.121,0.335,3.0,0.289,0.348,0.41,0.758,1.5,103.0,0.82,1.0,1250000.0,1250000.0
Adam LaRoche,2009,Diamondbacks,150,555,629,154,89,38,2,25,78,83,69,12,142,11.0,22.6,0.49,0.32799999999999996,0,5,0,11,2,2,-12.5,0.21100000000000002,0.359,15.8,0.27699999999999997,0.355,0.488,0.843,2.1,119.0,0.33,1.0,6000000.0,6000000.0
Adrian Beltre,2009,Mariners,111,449,477,119,84,27,0,8,54,44,19,1,74,4.0,15.5,0.26,0.301,7,2,0,19,13,2,15.5,0.114,0.301,-11.0,0.265,0.304,0.379,0.6829999999999999,2.1,81.0,-1.92,1.0,10000000.0,10000000.0
Alex Cora,2009,Mets,82,271,308,68,55,11,1,1,31,18,25,1,28,8.1,9.1,0.89,0.276,3,1,8,2,8,3,-0.7,0.059000000000000004,0.287,-10.6,0.251,0.32,0.31,0.63,0.0,73.0,-0.65,1.0,2000000.0,2000000.0
Alex Gonzalez,2009,Blue Jays,112,391,429,93,63,22,0,8,42,41,20,4,65,4.7,15.2,0.31,0.264,4,4,10,7,2,1,12.5,0.11800000000000001,0.276,-18.8,0.23800000000000002,0.27899999999999997,0.355,0.635,0.3,58.0,-1.23,1.0,2750000.0,2750000.0
Andruw Jones,2009,Rangers,82,281,331,60,25,18,0,17,43,43,45,3,72,13.6,21.8,0.63,0.221,2,3,0,7,5,1,-3.8,0.24600000000000002,0.337,2.3,0.214,0.32299999999999995,0.45899999999999996,0.782,0.6,96.0,-0.44,1.0,500000.0,500000.0
Aubrey Huff,2009,Giants,150,536,597,129,83,30,1,15,59,85,51,7,87,8.5,14.6,0.59,0.26,5,5,0,15,0,6,-18.6,0.14400000000000002,0.303,-12.6,0.24100000000000002,0.31,0.384,0.6940000000000001,-2.1,77.0,-0.32,1.0,3000000.0,3000000.0
Bengie Molina,2009,Giants,132,491,520,130,84,25,1,20,52,80,13,3,68,2.5,13.1,0.19,0.266,5,11,0,14,0,0,2.6,0.177,0.308,-8.7,0.265,0.285,0.442,0.727,0.3,86.0,-0.27,1.0,4500000.0,4500000.0
Bobby Crosby,2009,Athletics,97,238,272,53,35,10,2,6,35,29,24,0,44,8.8,16.2,0.55,0.245,2,4,4,7,2,1,-8.0,0.134,0.29,-8.8,0.223,0.295,0.35700000000000004,0.652,-0.6,73.0,-0.46,1.0,1000000.0,1000000.0
Brad Ausmus,2009,Dodgers,36,95,107,28,23,4,0,1,9,9,5,0,21,4.7,19.6,0.24,0.37,2,0,5,1,1,0,2.3,0.07400000000000001,0.32,-0.8,0.295,0.34299999999999997,0.368,0.7120000000000001,0.5,95.0,-0.36,1.0,1000000.0,1000000.0
Brian Anderson,2009,Royals,86,202,231,49,36,9,0,4,32,18,23,0,54,10.0,23.4,0.43,0.31,3,1,2,6,3,6,-0.4,0.10400000000000001,0.306,-4.3,0.243,0.32799999999999996,0.34700000000000003,0.674,-0.1,78.0,-1.38,1.0,700000.0,700000.0
Brian Schneider,2009,Mets,59,170,194,37,23,11,0,3,11,24,18,1,21,9.3,10.8,0.86,0.228,1,3,2,5,0,0,5.7,0.11800000000000001,0.27899999999999997,-8.0,0.218,0.292,0.335,0.627,0.4,67.0,-0.09,2.0,2750000.0,1375000.0
Chone Figgins,2009,Angels,158,615,729,183,141,30,7,5,114,54,101,0,114,13.9,15.6,0.89,0.35600000000000004,1,4,8,8,42,17,18.5,0.096,0.35700000000000004,16.9,0.298,0.395,0.39299999999999996,0.789,6.5,116.0,2.67,4.0,36000000.0,9000000.0
Coco Crisp,2009,Royals,49,180,215,41,25,8,5,3,30,14,29,1,23,13.5,10.7,1.26,0.245,1,1,4,4,13,2,5.5,0.15,0.319,-1.7,0.228,0.336,0.37799999999999995,0.7140000000000001,1.3,89.0,0.1,1.0,5250000.0,5250000.0
Craig Counsell,2009,Brewers,130,404,459,115,81,22,8,4,61,39,42,0,54,9.2,11.8,0.78,0.317,6,4,3,12,3,4,8.2,0.124,0.34,4.3,0.285,0.35700000000000004,0.408,0.7659999999999999,2.2,106.0,-0.38,1.0,2100000.0,2100000.0
Eric Hinske,2009,Braves,93,190,224,46,26,12,0,8,31,25,27,1,52,12.1,23.2,0.52,0.28800000000000003,5,2,0,2,1,0,-2.7,0.18899999999999997,0.344,2.8,0.242,0.348,0.43200000000000005,0.78,0.7,106.0,-0.01,1.0,1000000.0,1000000.0
Felipe Lopez,2009,Cardinals,151,604,680,187,137,38,3,9,88,57,71,4,100,10.4,14.7,0.71,0.358,2,2,1,5,6,6,2.8,0.11800000000000001,0.359,16.9,0.31,0.38299999999999995,0.42700000000000005,0.81,3.6,115.0,0.27,1.0,1000000.0,1000000.0
Fernando Tatis,2009,Mets,125,340,379,96,63,21,4,8,42,48,22,3,54,5.8,14.2,0.41,0.312,9,4,4,13,4,1,4.2,0.156,0.337,2.6,0.282,0.33899999999999997,0.43799999999999994,0.777,1.7,106.0,-0.47,1.0,850000.0,850000.0
Gabe Gross,2009,Rays,115,282,326,64,41,16,1,6,31,36,42,1,79,12.9,24.2,0.53,0.293,0,1,1,2,6,3,1.2,0.128,0.307,-5.8,0.22699999999999998,0.326,0.355,0.6809999999999999,0.6,86.0,-1.38,1.0,750000.0,750000.0
Garrett Atkins,2009,Rockies,126,354,399,80,58,12,1,9,37,48,41,2,58,10.3,14.5,0.71,0.24600000000000002,2,2,0,8,0,0,-1.7,0.11599999999999999,0.292,-12.2,0.226,0.308,0.342,0.65,-1.0,63.0,-1.09,1.0,4500000.0,4500000.0
Gregg Zaun,2009,Brewers,90,262,296,68,43,17,0,8,34,27,31,0,48,10.5,16.2,0.65,0.29100000000000004,3,0,0,4,0,2,7.8,0.156,0.33799999999999997,2.4,0.26,0.345,0.41600000000000004,0.7609999999999999,1.8,102.0,-1.03,1.0,2150000.0,2150000.0
Henry Blanco,2009,Padres,67,204,232,48,30,12,0,6,21,16,26,2,50,11.2,21.6,0.52,0.282,0,1,1,5,0,0,7.9,0.147,0.31,-3.5,0.235,0.32,0.382,0.703,1.1,94.0,-0.95,1.0,775000.0,775000.0
Hideki Matsui,2009,Yankees,142,456,528,125,75,21,1,28,62,90,64,1,75,12.1,14.2,0.85,0.273,4,2,0,4,0,1,-12.7,0.235,0.38,22.2,0.27399999999999997,0.36700000000000005,0.509,0.8759999999999999,2.4,127.0,1.45,1.0,6500000.0,6500000.0
Jack Cust,2009,Athletics,149,513,612,123,82,16,0,25,88,70,93,5,185,15.2,30.2,0.5,0.319,2,4,0,7,4,1,-20.8,0.177,0.342,6.9,0.24,0.35600000000000004,0.41700000000000004,0.773,0.6,108.0,0.28,1.0,2650000.0,2650000.0
Jamey Carroll,2009,Indians,93,315,358,87,73,10,2,2,53,26,36,0,63,10.1,17.6,0.57,0.33899999999999997,3,1,3,8,4,2,5.1,0.063,0.318,-3.3,0.276,0.355,0.34,0.695,1.2,90.0,-0.49,2.0,3850000.0,1925000.0
Jason Bay,2009,Red Sox,151,531,638,142,74,29,3,36,103,119,94,4,162,14.7,25.4,0.58,0.315,9,4,0,9,13,3,-6.0,0.26899999999999996,0.395,35.1,0.267,0.384,0.537,0.9209999999999999,4.6,135.0,4.48,4.0,66000000.0,16500000.0
Jason Giambi,2009,Rockies,102,293,359,59,32,14,0,13,43,51,57,1,80,15.9,22.3,0.71,0.228,7,2,0,6,0,0,-11.6,0.18100000000000002,0.32799999999999996,-0.3,0.201,0.34299999999999997,0.382,0.725,-0.1,98.0,1.35,1.0,1750000.0,1750000.0
Jason Kendall,2009,Brewers,134,452,526,109,86,19,2,2,48,43,46,6,58,8.7,11.0,0.79,0.27,17,5,6,11,7,2,9.8,0.064,0.29,-17.0,0.24100000000000002,0.331,0.305,0.636,0.8,72.0,-0.88,2.0,6000000.0,3000000.0
Jason LaRue,2009,Cardinals,51,104,112,25,20,3,0,2,10,6,3,0,22,2.7,19.6,0.14,0.28800000000000003,4,0,1,3,1,0,3.7,0.087,0.27699999999999997,-4.7,0.24,0.28800000000000003,0.327,0.615,0.2,66.0,-0.58,1.0,950000.0,950000.0
Jason Marquis,2009,Rockies,38,64,75,11,8,3,0,0,7,8,2,0,14,2.7,18.7,0.14,0.22,0,0,9,0,0,0,8.1,0.047,0.187,-8.8,0.172,0.19699999999999998,0.21899999999999997,0.41600000000000004,0.1,-8.0,-0.63,2.0,15000000.0,7500000.0
Jason Michaels,2009,Astros,102,135,152,32,15,12,1,4,17,16,16,0,38,10.5,25.0,0.42,0.301,1,0,0,2,1,2,-4.1,0.193,0.331,0.2,0.237,0.322,0.43,0.752,0.1,100.0,-0.27,1.0,850000.0,850000.0
Jim Thome,2009,Twins,124,362,434,90,52,15,0,23,55,77,69,3,123,15.9,28.3,0.56,0.306,0,3,0,8,0,0,-10.7,0.23199999999999998,0.368,14.1,0.249,0.366,0.48100000000000004,0.847,0.8,119.0,1.85,1.0,1500000.0,1500000.0
Joel Pineiro,2009,Cardinals,33,66,79,9,7,2,0,0,4,4,4,0,33,5.1,41.8,0.12,0.273,0,0,9,0,1,0,8.6,0.03,0.166,-10.6,0.136,0.18600000000000003,0.16699999999999998,0.35200000000000004,0.1,-9.0,-0.41,2.0,16000000.0,8000000.0
John Buck,2009,Royals,59,186,202,46,22,12,4,8,16,36,13,0,55,6.4,27.2,0.24,0.306,1,1,1,2,1,1,-1.4,0.237,0.335,1.0,0.247,0.299,0.484,0.782,0.4,99.0,-0.29,1.0,2000000.0,2000000.0
John McDonald,2009,Blue Jays,73,151,156,39,28,7,0,4,18,13,1,0,18,0.6,11.5,0.06,0.26899999999999996,2,1,1,1,0,2,0.1,0.126,0.285,-5.7,0.258,0.271,0.384,0.655,-0.1,67.0,-1.13,2.0,3000000.0,1500000.0
Johnny Damon,2009,Yankees,143,550,626,155,92,36,3,24,107,82,71,1,98,11.3,15.7,0.72,0.305,2,1,2,9,12,0,-10.4,0.207,0.37200000000000005,22.5,0.282,0.365,0.489,0.8540000000000001,3.6,122.0,3.79,1.0,8000000.0,8000000.0
Jon Garland,2009,Padres,34,70,75,6,6,0,0,0,3,1,1,0,34,1.3,45.3,0.03,0.16699999999999998,1,0,3,0,0,0,8.1,0.0,0.095,-14.5,0.086,0.111,0.086,0.19699999999999998,-0.5,-63.0,-1.57,1.0,5300000.0,5300000.0
Jonny Gomes,2009,Reds,98,281,314,75,38,17,0,20,39,51,26,2,85,8.3,27.1,0.31,0.309,5,2,0,8,3,1,-9.8,0.27399999999999997,0.373,11.6,0.267,0.33799999999999997,0.541,0.879,1.0,126.0,0.38,1.0,800000.0,800000.0
Juan Castro,2009,Dodgers,57,112,121,31,26,4,0,1,18,9,6,1,25,5.0,20.7,0.24,0.345,0,1,2,1,0,0,-0.6,0.063,0.287,-4.2,0.27699999999999997,0.311,0.33899999999999997,0.65,-0.1,72.0,-0.44,1.0,700000.0,700000.0
Juan Uribe,2009,Giants,122,398,432,115,69,26,4,16,50,55,25,2,82,5.8,19.0,0.3,0.325,1,5,3,7,3,1,5.8,0.20600000000000002,0.35200000000000004,8.2,0.289,0.32899999999999996,0.495,0.8240000000000001,2.8,115.0,0.47,1.0,3250000.0,3250000.0
Kelly Johnson,2009,Braves,106,303,346,68,37,20,3,8,47,29,32,1,54,9.2,15.6,0.59,0.247,3,2,6,4,7,2,0.5,0.165,0.305,-6.8,0.22399999999999998,0.303,0.389,0.6920000000000001,0.5,83.0,-0.52,1.0,2350000.0,2350000.0
Marco Scutaro,2009,Blue Jays,144,574,680,162,114,35,1,12,100,60,90,0,75,13.2,11.0,1.2,0.304,4,7,5,12,14,5,5.7,0.127,0.353,13.8,0.282,0.379,0.409,0.789,4.2,112.0,0.73,2.0,12500000.0,6250000.0
Mark DeRosa,2009,Giants,139,515,576,129,82,23,1,23,78,78,47,1,121,8.2,21.0,0.39,0.282,7,5,2,11,3,2,-1.8,0.183,0.32799999999999996,-0.2,0.25,0.319,0.433,0.752,1.8,98.0,1.51,2.0,12000000.0,6000000.0
