Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Andy Pettitte,2009,Yankees,14,8,32,32,0,194.2,193,20,76,148,101,0,0,0,90,4,0,1,0,834,3,0.92,3.51,6.84,1.95,8.6,42.9,8.9,70.2,4.16,0.295,4.15,1.38,1.4,3.4,1.0,11750000.0,11750000.0
Billy Wagner,2009,Braves,1,1,17,0,0,15.2,8,1,8,26,5,0,0,0,3,1,6,0,0,63,1,0.57,4.6,14.94,3.25,28.6,23.1,6.3,76.9,1.72,0.259,2.33,1.02,0.12,0.3,1.0,7000000.0,7000000.0
Bob Howry,2009,Giants,2,6,63,0,0,63.2,50,5,23,46,26,0,3,0,24,2,10,6,0,268,4,0.71,3.25,6.5,2.0,8.6,32.6,5.1,72.1,3.39,0.23399999999999999,3.85,1.15,-0.83,0.5,1.0,2250000.0,2250000.0
Brad Penny,2009,Cardinals,11,9,30,30,1,173.1,191,22,51,109,102,0,0,0,94,5,0,0,0,751,6,1.14,2.65,5.66,2.14,7.7,43.7,9.9,67.1,4.88,0.3,4.46,1.4,-0.25,1.8,1.0,7500000.0,7500000.0
Brandon Lyon,2009,Tigers,6,5,65,0,0,78.2,56,7,31,57,25,3,3,0,25,2,15,9,0,314,3,0.8,3.55,6.52,1.84,8.3,47.2,9.1,80.8,2.86,0.226,4.06,1.11,0.82,0.6,3.0,15000000.0,5000000.0
Brendan Donnelly,2009,Marlins,3,0,30,0,0,25.1,22,1,9,25,8,2,0,1,5,1,9,1,0,104,1,0.36,3.2,8.88,2.78,15.4,39.4,3.7,78.4,1.78,0.309,2.82,1.22,1.08,0.5,1.0,1500000.0,1500000.0
Brett Myers,2009,Phillies,4,3,18,10,0,70.2,74,18,23,50,38,0,0,0,38,4,3,1,0,304,1,2.29,2.93,6.37,2.17,8.9,47.1,23.4,83.1,4.84,0.268,6.14,1.37,0.12,-0.5,1.0,5100000.0,5100000.0
Carl Pavano,2009,Twins,14,12,33,33,1,199.1,235,26,39,147,119,0,0,0,113,6,0,1,1,854,5,1.17,1.76,6.64,3.77,12.7,43.4,10.7,66.1,5.1,0.32899999999999996,4.0,1.37,0.25,3.3,1.0,7000000.0,7000000.0
Chan Ho Park,2009,Phillies,3,3,45,7,0,83.1,84,5,33,73,43,0,1,0,41,5,13,3,0,362,2,0.54,3.56,7.88,2.21,11.1,43.9,6.3,68.7,4.43,0.321,3.49,1.4,0.56,1.5,1.0,1200000.0,1200000.0
Chien-Ming Wang,2009,Yankees,1,6,12,9,0,42.0,66,7,19,29,46,0,0,0,45,2,0,1,0,206,3,1.5,4.07,6.21,1.53,4.9,53.3,17.1,53.1,9.64,0.396,5.38,2.02,-1.92,0.1,1.0,2000000.0,2000000.0
Claudio Vargas,2009,Brewers,1,0,36,0,0,41.1,25,3,15,30,8,0,2,0,8,2,11,1,0,159,0,0.65,3.27,6.53,2.0,9.4,39.6,6.3,90.0,1.74,0.20199999999999999,3.82,0.97,1.59,0.3,1.0,900000.0,900000.0
Clay Condrey,2009,Phillies,6,2,45,0,0,42.0,37,4,14,25,17,1,1,0,14,1,7,3,0,174,0,0.86,3.0,5.36,1.79,6.3,55.3,12.5,75.4,3.0,0.254,4.22,1.21,0.18,0.1,1.0,900000.0,900000.0
Danys Baez,2009,Orioles,4,6,59,0,0,71.2,59,8,22,40,36,0,2,1,32,5,15,3,0,295,2,1.0,2.76,5.02,1.82,6.1,60.9,13.8,66.8,4.02,0.23199999999999998,4.56,1.13,-0.55,0.1,2.0,5250000.0,2625000.0
Darren Oliver,2009,Angels,5,1,63,1,0,73.0,61,5,22,65,22,0,1,0,22,5,20,8,0,293,7,0.62,2.71,8.01,2.95,14.7,44.3,6.3,81.5,2.71,0.28600000000000003,3.32,1.14,1.96,1.2,1.0,3500000.0,3500000.0
Doug Davis,2009,Diamondbacks,9,14,34,34,0,203.1,203,25,103,146,101,0,0,1,93,4,0,1,0,889,12,1.11,4.56,6.46,1.42,4.8,43.1,11.7,76.0,4.12,0.29100000000000004,4.84,1.5,0.84,1.4,1.0,5250000.0,5250000.0
Erik Bedard,2009,Mariners,5,3,15,15,0,83.0,65,8,34,90,29,0,0,0,26,4,0,0,0,348,2,0.87,3.69,9.76,2.65,16.1,42.3,9.3,80.6,2.82,0.26899999999999996,3.55,1.19,1.47,1.7,1.0,1500000.0,1500000.0
Fernando Rodney,2009,Tigers,2,5,73,0,0,75.2,70,8,41,61,38,37,1,0,37,2,0,4,0,330,5,0.95,4.88,7.26,1.49,6.1,57.9,11.8,73.7,4.4,0.284,4.56,1.47,2.8,0.1,2.0,11000000.0,5500000.0
J.J. Putz,2009,Mets,1,4,29,0,0,29.1,29,1,19,19,18,2,2,0,17,0,10,4,0,135,1,0.31,5.83,5.83,1.0,0.0,46.8,3.1,64.4,5.22,0.292,4.19,1.64,-0.4,0.1,1.0,3000000.0,3000000.0
Jason Marquis,2009,Rockies,15,13,33,33,2,216.0,218,15,80,115,104,0,0,1,97,4,0,6,1,921,6,0.62,3.33,4.79,1.44,3.8,55.6,7.8,70.5,4.04,0.287,4.1,1.38,2.5,3.2,2.0,15000000.0,7500000.0
Javier Lopez,2009,Red Sox,0,2,14,0,0,11.2,20,1,9,5,13,0,0,0,12,2,0,0,0,64,1,0.77,6.94,3.86,0.56,-6.3,48.9,8.3,60.8,9.26,0.40399999999999997,6.18,2.49,-0.7,-0.2,1.0,775000.0,775000.0
Joel Pineiro,2009,Cardinals,15,12,32,32,3,214.0,218,11,27,105,94,0,0,0,83,8,0,1,2,865,4,0.46,1.14,4.42,3.89,9.0,60.5,6.5,66.9,3.49,0.29,3.27,1.14,0.49,4.6,2.0,16000000.0,8000000.0
John Grabow,2009,Cubs,3,0,75,0,0,72.1,62,5,40,57,28,0,2,0,27,3,23,3,0,314,1,0.62,4.98,7.09,1.43,5.4,43.3,5.7,78.6,3.36,0.273,4.2,1.41,2.03,0.2,2.0,7500000.0,3750000.0
John Lackey,2009,Angels,11,8,27,27,1,176.1,177,17,47,139,84,0,0,0,75,9,0,1,1,748,6,0.87,2.4,7.09,2.96,12.3,44.9,9.1,71.2,3.83,0.299,3.73,1.27,1.57,3.3,5.0,82500000.0,16500000.0
Jon Garland,2009,Padres,11,13,33,33,1,204.0,225,23,61,109,106,0,0,0,91,6,0,7,0,882,6,1.01,2.69,4.81,1.79,5.4,45.7,9.5,71.6,4.01,0.29600000000000004,4.48,1.4,-0.47,2.1,1.0,5300000.0,5300000.0
Jose Contreras,2009,Phillies,6,13,28,23,0,131.2,141,13,53,106,86,0,1,0,72,6,1,4,0,589,8,0.89,3.62,7.25,2.0,9.0,47.4,8.9,62.7,4.92,0.311,4.11,1.47,-1.34,2.1,1.0,1500000.0,1500000.0
Jose Valverde,2009,Astros,4,2,52,0,0,54.0,40,5,21,56,15,25,4,0,14,2,1,1,0,219,1,0.83,3.5,9.33,2.67,16.0,40.6,7.8,85.7,2.33,0.259,3.5,1.13,1.71,0.8,2.0,14000000.0,7000000.0
Kevin Gregg,2009,Cubs,5,6,72,0,0,68.2,60,13,30,71,38,23,7,0,36,3,1,2,0,298,7,1.7,3.93,9.31,2.37,13.8,38.0,15.3,73.5,4.72,0.26,4.93,1.31,-0.93,-0.3,1.0,2750000.0,2750000.0
LaTroy Hawkins,2009,Astros,1,4,65,0,0,63.1,60,7,16,45,16,11,4,0,15,2,19,2,0,259,2,0.99,2.27,6.39,2.81,11.2,44.8,11.9,90.9,2.13,0.28,3.97,1.2,0.43,0.4,2.0,7500000.0,3750000.0
Mark Hendrickson,2009,Orioles,6,5,53,11,0,105.0,116,16,33,61,59,1,2,1,51,2,2,4,0,457,2,1.37,2.83,5.23,1.85,6.1,44.5,12.7,71.5,4.37,0.29,4.92,1.42,-0.12,0.4,1.0,1400000.0,1400000.0
Matt Capps,2009,Pirates,4,8,57,0,0,54.1,73,10,17,46,36,27,5,0,35,3,1,3,0,251,0,1.66,2.82,7.62,2.71,11.6,40.7,13.5,72.2,5.8,0.36,4.9,1.66,-2.8,-0.3,1.0,3500000.0,3500000.0
Octavio Dotel,2009,White Sox,3,3,62,0,0,62.1,54,7,36,75,26,0,3,1,23,0,16,1,0,268,4,1.01,5.2,10.83,2.08,14.6,29.6,9.0,79.8,3.32,0.313,3.88,1.44,0.9,0.7,1.0,3500000.0,3500000.0
