Name,Yr,index,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Fultz,2006,188,Phillies,3,1,66,1,0,71.1,80,7,28,62,39,0,2,0,36,2,9,8,0,317,5,0.88,3.53,7.82,2.21,10.7,38.2,8.1,70.9,4.54,0.335,3.95,1.51,-0.19,0.8,1.0,1650000.0,1650000.0
Adam Eaton,2006,256,Rangers,7,4,13,13,0,65.0,78,11,24,43,38,0,0,0,37,4,0,0,0,291,0,1.52,3.32,5.95,1.79,6.5,37.3,13.3,75.1,5.12,0.321,5.32,1.57,-0.56,0.4,3.0,24500000.0,8166666.666666668
Alan Embree,2006,143,Padres,4,3,73,0,0,52.1,50,4,15,53,21,0,0,0,19,0,16,2,0,221,0,0.69,2.58,9.11,3.53,17.2,43.0,7.3,74.1,3.27,0.309,2.97,1.24,0.53,1.1,2.0,5500000.0,2750000.0
Andy Pettitte,2006,39,Astros,14,13,36,35,2,214.1,238,27,70,178,114,0,0,1,100,2,0,9,1,929,2,1.13,2.94,7.47,2.54,11.6,49.7,14.4,72.0,4.2,0.324,4.13,1.44,-0.07,3.4,1.0,16000000.0,16000000.0
Barry Zito,2006,75,Athletics,16,10,34,34,0,221.0,211,27,99,151,99,0,0,2,94,13,0,5,0,945,4,1.1,4.03,6.15,1.53,5.5,38.3,9.0,78.5,3.83,0.281,4.89,1.4,2.27,2.2,7.0,126000000.0,18000000.0
Chad Bradford,2006,106,Mets,4,2,70,0,0,62.0,59,1,13,45,22,2,1,0,20,0,10,4,0,252,0,0.15,1.89,6.53,3.46,12.7,63.3,2.6,70.8,2.9,0.301,2.53,1.16,1.07,1.5,3.0,10500000.0,3500000.0
Chan Ho Park,2006,182,Padres,7,7,24,21,1,136.2,146,20,44,96,81,0,0,0,73,10,0,7,1,606,5,1.32,2.9,6.32,2.18,8.6,43.8,11.9,69.2,4.81,0.289,4.83,1.39,-0.72,0.8,1.0,600000.0,600000.0
Chris Reitsma,2006,620,Braves,1,2,27,0,0,28.0,46,7,8,13,27,8,4,0,27,3,3,3,0,142,0,2.25,2.57,4.18,1.63,3.5,49.6,20.6,63.6,8.68,0.35100000000000003,6.65,1.93,-0.85,-0.7,1.0,2050000.0,2050000.0
Danys Baez,2006,171,Orioles,5,6,57,0,0,59.2,60,3,17,39,35,9,8,0,30,7,12,3,0,257,3,0.45,2.56,5.88,2.29,8.6,39.7,3.8,61.4,4.53,0.298,3.7,1.29,-1.16,0.9,3.0,19000000.0,6333333.333333332
Darren Oliver,2006,442,Mets,4,1,45,0,0,81.0,70,13,21,60,33,0,0,0,31,3,3,2,0,333,1,1.44,2.33,6.67,2.86,11.7,48.6,15.1,80.5,3.44,0.242,4.64,1.12,0.81,0.0,1.0,1750000.0,1750000.0
