Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Cook,2012,Red Sox,4,11,18,18,1,94.0,117,15,21,20,68,0,0,0,59,1,0,1,1,411,2,1.44,2.01,1.91,0.95,-0.2,58.6,17.9,60.2,5.65,0.28800000000000003,5.45,1.47,-1.99,-0.4,1,1500000,1500000.0
Aaron Harang,2012,Dodgers,10,10,31,31,0,179.2,167,14,85,131,85,0,0,0,72,4,0,10,0,786,4,0.7,4.26,6.56,1.54,5.9,38.6,6.3,72.3,3.61,0.27699999999999997,4.14,1.4,-0.33,2.0,2,12000000,6000000.0
C.J. Wilson,2012,Angels,13,10,34,34,0,202.1,181,19,91,173,102,0,0,1,86,6,0,2,0,865,4,0.85,4.05,7.7,1.9,9.5,50.3,10.8,70.0,3.83,0.281,4.04,1.34,0.2,2.2,5,77500000,15500000.0
Chien-Ming Wang,2012,Nationals,2,3,10,5,0,32.1,50,5,15,15,24,0,0,0,24,3,0,0,0,158,5,1.39,4.18,4.18,1.0,0.0,52.9,14.3,72.1,6.68,0.375,5.85,2.01,-1.07,-0.4,1,4000000,4000000.0
Chris Capuano,2012,Dodgers,12,12,33,33,0,198.1,188,25,54,162,91,0,0,0,82,2,0,4,0,817,6,1.13,2.45,7.35,3.0,13.2,40.3,11.1,73.2,3.72,0.284,3.95,1.22,0.06,2.7,2,10000000,5000000.0
Chris Young,2012,Mets,4,9,20,20,0,115.0,119,16,36,80,58,0,0,0,53,2,0,5,0,493,3,1.25,2.82,6.26,2.22,8.9,22.3,7.7,73.6,4.15,0.287,4.5,1.35,-1.51,1.2,1,900000,900000.0
Dan Wheeler,2012,Indians,0,0,13,0,0,12.1,17,3,7,2,12,0,0,0,12,0,1,0,0,61,2,2.19,5.11,1.46,0.29,-8.2,44.2,13.6,60.6,8.76,0.28600000000000003,7.64,1.95,-0.28,-0.4,1,900000,900000.0
Edwin Jackson,2012,Nationals,10,11,31,31,1,189.2,173,23,58,168,90,0,0,0,85,2,0,5,0,790,3,1.09,2.75,7.97,2.9,13.9,47.3,11.7,71.2,4.03,0.278,3.85,1.22,0.49,2.1,1,11000000,11000000.0
Frank Francisco,2012,Mets,1,3,48,0,0,42.1,47,5,21,47,27,23,3,1,26,0,1,1,0,197,2,1.06,4.46,9.99,2.24,13.2,32.8,10.0,67.2,5.53,0.33899999999999997,3.9,1.61,-0.32,0.2,2,12000000,6000000.0
Freddy Garcia,2012,Yankees,7,6,30,17,0,107.1,112,18,35,89,64,0,0,1,62,3,0,2,0,461,10,1.51,2.93,7.46,2.54,11.7,40.2,15.8,68.9,5.2,0.297,4.68,1.37,-1.19,0.8,1,4000000,4000000.0
Guillermo Mota,2012,Giants,0,1,26,0,0,20.2,24,3,8,24,13,0,1,0,12,2,10,0,0,91,0,1.31,3.48,10.45,3.0,17.6,35.7,15.0,70.5,5.23,0.389,4.11,1.55,-0.49,0.0,1,1000000,1000000.0
Heath Bell,2012,Marlins,4,5,73,0,0,63.2,70,5,29,59,38,19,8,0,36,2,13,3,0,286,2,0.71,4.1,8.34,2.03,10.5,46.9,8.8,67.0,5.09,0.34,3.72,1.55,-3.02,0.3,3,27000000,9000000.0
Jamey Wright,2012,Dodgers,5,3,66,0,0,67.2,72,2,30,54,35,0,0,0,28,4,6,7,0,306,2,0.27,3.99,7.18,1.8,7.8,67.3,8.0,68.8,3.72,0.324,3.39,1.51,0.17,0.5,1,900000,900000.0
Jared Burton,2012,Twins,3,2,64,0,0,62.0,41,5,16,55,21,5,4,0,15,5,18,1,0,245,0,0.73,2.32,7.98,3.44,15.9,48.5,8.6,74.6,2.18,0.22,3.38,0.92,2.41,0.8,1,750000,750000.0
Jason Isringhausen,2012,Angels,3,2,50,0,0,45.2,44,7,19,31,22,0,5,0,21,0,4,3,0,198,3,1.38,3.74,6.11,1.63,6.1,44.5,13.7,77.1,4.14,0.262,4.98,1.38,-1.12,-0.3,1,650000,650000.0
Jon Rauch,2012,Mets,3,7,73,0,0,57.2,45,7,12,42,28,4,4,0,23,1,16,2,0,233,1,1.09,1.87,6.55,3.5,12.9,36.6,8.9,62.2,3.59,0.222,3.89,0.99,-0.7,0.4,1,3500000,3500000.0
Jonathan Broxton,2012,Royals,4,5,60,0,0,58.0,56,2,17,45,18,27,6,0,16,3,10,0,0,238,0,0.31,2.64,6.98,2.65,11.8,53.8,4.9,79.2,2.48,0.316,3.03,1.26,1.47,1.1,1,4000000,4000000.0
Jonathan Papelbon,2012,Phillies,5,6,70,0,0,70.0,56,8,18,92,22,38,4,0,19,4,0,1,0,284,0,1.03,2.31,11.83,5.11,26.1,41.5,12.1,83.8,2.44,0.29600000000000004,2.89,1.06,1.06,1.4,4,50000000,12500000.0
Kerry Wood,2012,Cubs,0,2,10,0,0,8.2,8,1,11,6,8,0,2,0,8,0,3,0,0,42,1,1.04,11.42,6.23,0.55,-11.9,41.7,10.0,62.5,8.31,0.292,7.02,2.19,-0.46,-0.3,1,3000000,3000000.0
LaTroy Hawkins,2012,Angels,2,3,48,0,0,42.0,45,5,13,23,20,1,3,0,17,0,6,1,0,178,0,1.07,2.79,4.93,1.77,5.6,56.8,13.9,74.5,3.64,0.292,4.48,1.38,-0.32,-0.2,1,3000000,3000000.0
Luis Ayala,2012,Orioles,5,5,66,0,0,75.0,81,7,14,51,27,1,2,0,22,4,11,3,0,320,2,0.84,1.68,6.12,3.64,11.6,49.0,9.0,80.7,2.64,0.303,3.67,1.27,1.12,0.9,1,925000,925000.0
