Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Harang,2010,Reds,6,7,22,20,0,111.2,139,16,38,82,71,0,0,0,66,4,0,0,0,504,9,1.29,3.06,6.61,2.16,8.7,36.8,10.4,69.4,5.32,0.33799999999999997,4.6,1.59,-1.16,0.8,1.0,4000000.0,4000000.0
Aaron Heilman,2010,Diamondbacks,5,8,70,0,0,72.0,73,9,26,55,37,6,8,0,36,5,12,4,0,316,8,1.13,3.25,6.88,2.12,9.2,35.6,9.1,73.3,4.5,0.29,4.47,1.38,-1.4,0.0,1.0,2000000.0,2000000.0
Alfredo Aceves,2010,Yankees,3,0,10,0,0,12.0,10,1,4,2,5,1,0,0,4,1,1,1,0,53,0,0.75,3.0,1.5,0.5,-3.8,50.0,7.1,73.5,3.0,0.2,5.08,1.17,0.46,-0.1,1.0,650000.0,650000.0
Arthur Rhodes,2010,Reds,4,4,70,0,0,55.0,38,4,18,50,14,0,2,0,14,1,26,0,0,217,1,0.65,2.95,8.18,2.78,14.8,36.1,6.5,83.7,2.29,0.23600000000000002,3.24,1.02,1.55,0.9,1.0,3900000.0,3900000.0
Bobby Jenks,2010,White Sox,1,3,55,0,0,52.2,54,3,18,61,28,27,4,0,26,1,0,1,0,231,2,0.51,3.08,10.42,3.39,18.6,58.3,10.0,65.4,4.44,0.345,2.59,1.37,-0.3,1.4,2.0,12000000.0,6000000.0
Brad Penny,2010,Cardinals,3,4,9,9,0,55.2,63,4,9,35,25,0,0,0,20,3,0,1,0,232,1,0.65,1.46,5.66,3.89,11.2,52.8,7.5,72.1,3.23,0.326,3.4,1.29,0.19,1.0,1.0,3000000.0,3000000.0
Brian Fuentes,2010,Athletics,4,1,48,0,0,48.0,31,5,20,47,17,24,4,1,15,2,3,1,0,196,3,0.94,3.75,8.81,2.35,13.8,22.8,6.9,78.3,2.81,0.213,3.85,1.06,2.48,0.2,2.0,10500000.0,5250000.0
Bruce Chen,2010,Royals,12,7,33,23,1,140.1,136,17,57,98,68,1,0,0,65,3,0,4,1,608,3,1.09,3.66,6.29,1.72,6.7,33.9,8.1,74.3,4.17,0.275,4.54,1.38,0.17,1.1,1.0,2000000.0,2000000.0
Carl Pavano,2010,Twins,17,11,32,32,7,221.0,227,24,37,117,95,0,0,0,92,6,0,2,2,906,4,0.98,1.51,4.76,3.16,8.8,51.2,10.6,74.0,3.75,0.281,4.02,1.19,0.74,2.8,2.0,16500000.0,8250000.0
Chad Qualls,2010,Padres,3,4,70,0,0,59.0,85,7,21,49,56,12,7,0,48,2,11,4,0,281,4,1.07,3.2,7.47,2.33,10.0,55.0,12.3,53.0,7.32,0.386,4.13,1.8,-2.95,0.0,1.0,1500000.0,1500000.0
Chris Capuano,2010,Brewers,4,4,24,9,0,66.0,65,9,21,54,29,0,0,0,29,1,1,1,0,278,5,1.23,2.86,7.36,2.57,11.9,43.1,11.4,78.0,3.95,0.29,4.22,1.3,-0.08,0.6,1.0,1500000.0,1500000.0
Chris Young,2010,Padres,2,0,4,4,0,20.0,10,1,11,15,2,0,0,0,2,0,0,0,0,82,1,0.45,4.95,6.75,1.36,4.9,29.1,3.3,96.9,0.9,0.16399999999999998,3.88,1.05,0.73,0.3,1.0,1100000.0,1100000.0
