Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
A.J. Burnett,2014,Phillies,8,18,34,34,1,213.2,205,20,96,190,122,0,0,0,109,16,0,2,0,935,9,0.84,4.04,8.0,1.98,10.1,50.9,11.3,67.5,4.59,0.302,4.14,1.41,-2.69,1.6,1,16000000,16000000.0
Aaron Harang,2014,Braves,12,12,33,33,0,204.1,215,15,71,161,88,0,0,0,81,1,0,4,0,876,9,0.66,3.13,7.09,2.27,10.3,39.4,6.4,74.8,3.57,0.318,3.57,1.4,0.4,2.5,1,1000000,1000000.0
Alfredo Aceves,2014,Yankees,1,2,10,0,0,19.1,23,6,4,16,14,0,0,1,14,1,1,0,0,85,0,2.79,1.86,7.45,4.0,14.1,23.4,16.7,71.4,6.52,0.293,6.29,1.4,-0.26,-0.3,1,1200000,1200000.0
Bartolo Colon,2014,Mets,15,13,31,31,0,202.1,218,22,30,151,97,0,0,0,92,5,0,3,0,846,2,0.98,1.33,6.72,5.03,14.3,39.3,8.8,70.2,4.09,0.307,3.57,1.23,-1.42,2.9,2,20000000,10000000.0
Boone Logan,2014,Rockies,2,3,35,0,0,25.0,31,6,11,32,20,0,4,0,19,1,7,1,0,116,3,2.16,3.96,11.52,2.91,18.1,50.0,35.3,66.5,6.84,0.379,5.13,1.68,-1.73,-0.4,3,16500000,5500000.0
Brian Wilson,2014,Dodgers,2,4,61,0,0,48.1,49,5,29,54,26,1,4,0,25,4,22,3,0,223,1,0.93,5.4,10.06,1.86,11.2,38.1,9.8,74.7,4.66,0.336,4.29,1.61,-0.9,-0.2,2,19000000,9500000.0
Bronson Arroyo,2014,Diamondbacks,7,4,14,14,1,86.0,92,10,19,47,40,0,0,0,39,3,0,1,0,357,2,1.05,1.99,4.92,2.47,7.8,53.6,13.3,74.0,4.08,0.295,4.32,1.29,0.79,0.5,2,23500000,11750000.0
Bruce Chen,2014,Royals,2,4,13,7,0,48.1,69,7,16,36,40,0,0,0,40,1,0,1,0,223,0,1.3,2.98,6.7,2.25,9.0,31.5,9.3,60.4,7.45,0.38,4.58,1.76,-1.38,0.0,1,4250000,4250000.0
Carlos Marmol,2014,Marlins,0,3,15,0,0,13.1,16,3,10,14,12,0,1,0,12,1,1,2,0,66,2,2.03,6.75,9.45,1.4,6.1,44.7,21.4,65.8,8.1,0.342,6.43,1.95,-1.04,-0.5,1,1250000,1250000.0
Chad Qualls,2014,Astros,1,5,58,0,0,51.1,54,5,5,43,22,19,6,0,19,2,2,2,0,213,1,0.88,0.88,7.54,8.6,17.8,57.2,12.5,72.2,3.33,0.31,3.13,1.15,-0.38,0.5,2,6000000,3000000.0
Chris Capuano,2014,Red Sox,3,4,40,12,0,97.1,101,10,34,84,51,0,1,1,47,4,4,3,0,429,8,0.92,3.14,7.77,2.47,11.7,39.5,9.7,70.4,4.35,0.306,3.91,1.39,-0.13,0.8,1,2250000,2250000.0
Colby Lewis,2014,Rangers,10,14,29,29,2,170.1,211,25,48,133,107,0,0,1,98,8,0,5,1,762,3,1.32,2.54,7.03,2.77,11.2,33.0,10.1,69.0,5.18,0.33899999999999997,4.46,1.52,-1.75,1.0,1,2000000,2000000.0
Daisuke Matsuzaka,2014,Mets,3,3,34,9,0,83.1,62,6,50,78,38,1,1,0,36,6,3,5,0,359,6,0.65,5.4,8.42,1.56,7.8,40.7,7.1,73.0,3.89,0.256,4.21,1.34,-0.42,0.2,1,1500000,1500000.0
Dan Haren,2014,Dodgers,13,11,32,32,0,186.0,183,27,36,145,101,0,0,1,83,3,0,7,0,776,8,1.31,1.74,7.02,4.03,14.1,41.5,11.9,65.7,4.02,0.276,4.09,1.18,-1.84,1.4,1,10000000,10000000.0
Dylan Axelrod,2014,Reds,2,1,5,4,0,18.1,14,5,4,20,6,0,0,0,6,0,0,1,0,72,0,2.45,1.96,9.82,5.0,22.2,31.9,27.8,100.0,2.95,0.209,5.15,0.98,0.34,0.0,1,500000,500000.0
Edinson Volquez,2014,Pirates,13,7,32,31,1,192.2,166,17,71,140,75,0,0,0,65,14,0,6,0,809,15,0.79,3.32,6.54,1.97,8.5,50.4,9.1,77.5,3.04,0.263,4.15,1.23,0.67,0.9,1,5000000,5000000.0
Edward Mujica,2014,Red Sox,2,4,64,0,0,60.0,69,6,14,43,28,8,1,0,26,0,3,2,0,253,1,0.9,2.1,6.45,3.07,11.5,43.0,8.7,73.7,3.9,0.332,3.7,1.38,0.57,0.2,2,9500000,4750000.0
Eric O'Flaherty,2014,Athletics,1,0,21,0,0,20.0,15,3,4,15,5,1,1,0,5,2,3,0,0,80,3,1.35,1.8,6.75,3.75,13.8,54.4,18.8,95.2,2.25,0.214,4.48,0.95,-0.08,-0.1,2,7000000,3500000.0
