Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Alfredo Simon,2016,Reds,2,7,15,11,0,58.2,89,15,31,39,64,0,0,0,61,8,0,2,0,298,3,2.3,4.76,5.98,1.26,2.7,49.5,22.4,59.8,9.36,0.361,7.14,2.05,-2.72,-1.1,1,2000000,2000000.0
Antonio Bastardo,2016,Mets,3,0,69,0,0,67.2,60,11,32,74,37,0,2,4,34,4,15,3,0,297,6,1.46,4.26,9.84,2.31,14.1,30.4,12.5,73.2,4.52,0.278,4.67,1.36,0.85,-0.1,2,12000000,6000000.0
Bartolo Colon,2016,Mets,15,8,34,33,0,191.2,200,24,32,128,81,0,0,0,73,3,0,2,0,791,0,1.13,1.5,6.01,4.0,12.1,43.2,11.5,76.5,3.43,0.29100000000000004,3.99,1.21,1.12,2.8,1,7250000,7250000.0
Blaine Boyer,2016,Brewers,2,4,61,0,0,66.0,80,4,17,26,30,1,2,0,29,1,5,3,0,282,0,0.55,2.32,3.55,1.53,3.2,48.9,5.9,73.6,3.95,0.325,3.96,1.47,-0.34,0.4,1,950000,950000.0
Blake Wood,2016,Reds,6,5,70,0,0,76.2,72,9,38,81,38,1,5,0,34,2,15,3,0,330,8,1.06,4.46,9.51,2.13,13.0,53.1,15.8,74.5,3.99,0.315,4.12,1.43,0.16,0.3,1,600000,600000.0
Bud Norris,2016,Braves,6,10,35,19,0,113.0,116,14,49,102,67,0,0,0,64,3,1,4,0,495,7,1.12,3.9,8.12,2.08,10.7,47.6,13.6,68.1,5.1,0.312,4.33,1.46,-1.3,0.7,1,2500000,2500000.0
Carlos Villanueva,2016,Padres,2,2,51,0,0,74.0,89,17,14,61,50,1,1,0,49,3,4,4,0,321,2,2.07,1.7,7.42,4.36,14.6,42.1,21.0,68.1,5.96,0.319,5.17,1.39,-1.01,-0.7,1,1500000,1500000.0
Chad Qualls,2016,Rockies,2,0,44,0,0,32.2,43,5,9,22,22,0,1,0,19,0,4,1,0,152,1,1.38,2.48,6.06,2.44,8.6,55.0,16.7,66.7,5.23,0.32799999999999996,4.62,1.59,0.07,0.0,2,6000000,3000000.0
Chien-Ming Wang,2016,Royals,6,0,38,0,0,53.1,60,6,18,30,27,0,0,0,25,2,0,0,0,231,1,1.01,3.04,5.06,1.67,5.2,49.4,12.5,74.0,4.22,0.309,4.61,1.46,0.72,-0.1,1,1000000,1000000.0
Chris Capuano,2016,Brewers,1,1,16,0,0,24.0,23,7,15,27,11,0,1,0,11,1,1,2,0,106,1,2.63,5.63,10.13,1.8,11.3,44.4,25.9,95.9,4.13,0.28600000000000003,6.69,1.58,-0.34,-0.5,1,1500000,1500000.0
Chris Narveson,2016,Marlins,1,0,6,0,0,8.1,10,3,2,6,8,0,1,0,8,1,0,1,0,38,1,3.24,2.16,6.48,3.0,10.5,34.5,21.4,56.8,8.64,0.26899999999999996,7.47,1.44,-0.44,-0.4,1,1200000,1200000.0
