Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
A.J. Burnett,2008,Blue Jays,18,10,35,34,1,221.1,211,19,86,231,109,0,0,2,100,9,0,2,0,957,11,0.77,3.5,9.39,2.69,15.2,48.5,9.7,70.5,4.07,0.314,3.45,1.34,1.03,5.1,5.0,82500000.0,16500000.0
Alan Embree,2008,Athletics,2,5,70,0,0,61.2,59,8,30,57,36,0,5,0,34,2,18,5,0,270,2,1.17,4.38,8.32,1.9,10.0,44.6,10.4,68.9,4.96,0.295,4.53,1.44,-0.85,0.0,1.0,2250000.0,2250000.0
Andy Pettitte,2008,Yankees,14,14,33,33,0,204.0,233,19,55,158,112,0,0,1,103,7,0,4,0,881,6,0.84,2.43,6.97,2.87,11.7,51.5,10.3,68.2,4.54,0.33299999999999996,3.71,1.41,-1.12,3.8,1.0,5500000.0,5500000.0
Arthur Rhodes,2008,Reds,4,1,61,0,0,35.1,28,0,16,40,9,2,1,0,8,0,24,4,0,146,1,0.0,4.08,10.19,2.5,16.4,26.7,0.0,79.6,2.04,0.311,2.23,1.25,1.66,1.2,2.0,4000000.0,2000000.0
Bartolo Colon,2008,Red Sox,4,2,7,7,0,39.0,44,5,10,27,23,0,0,0,17,2,0,0,0,173,0,1.15,2.31,6.23,2.7,9.8,40.0,9.8,67.4,3.92,0.302,4.34,1.38,-0.18,0.5,1.0,1000000.0,1000000.0
Bob Howry,2008,Cubs,7,5,72,0,0,70.2,90,13,13,59,44,1,4,0,42,2,15,5,0,311,0,1.66,1.66,7.51,4.54,14.8,34.9,11.8,70.3,5.35,0.344,4.49,1.46,-0.69,0.2,1.0,2750000.0,2750000.0
Brad Penny,2008,Dodgers,6,9,19,17,0,94.2,112,13,42,51,68,0,0,1,66,3,0,0,0,426,1,1.24,3.99,4.85,1.21,2.1,48.4,13.4,64.1,6.27,0.312,5.27,1.63,-2.42,0.1,1.0,5000000.0,5000000.0
Braden Looper,2008,Cardinals,12,14,33,33,1,199.0,216,25,45,108,101,0,0,1,92,11,0,1,1,842,3,1.13,2.04,4.88,2.4,7.5,48.4,11.7,72.2,4.16,0.292,4.52,1.31,-0.18,1.7,1.0,5500000.0,5500000.0
Brandon Lyon,2008,Diamondbacks,3,5,61,0,0,59.1,75,7,13,44,34,26,5,0,31,0,3,1,0,265,1,1.06,1.97,6.67,3.38,11.7,39.8,8.9,69.1,4.7,0.33799999999999997,3.84,1.48,-0.46,0.7,1.0,4250000.0,4250000.0
Brian Fuentes,2008,Rockies,1,5,67,0,0,62.2,47,3,22,82,22,30,4,0,19,1,6,1,0,256,1,0.43,3.16,11.78,3.73,23.4,32.6,4.5,73.0,2.73,0.297,2.24,1.1,2.43,2.4,2.0,17500000.0,8750000.0
Brian Shouse,2008,Brewers,5,1,69,0,0,51.1,46,5,14,33,19,2,3,0,16,0,15,4,0,212,1,0.88,2.45,5.79,2.36,9.0,61.9,16.1,77.4,2.81,0.256,3.93,1.17,0.15,0.4,1.0,1550000.0,1550000.0
CC Sabathia,2008,Yankees,17,10,35,35,10,253.0,223,19,59,251,85,0,0,2,76,7,0,1,5,1023,2,0.68,2.1,8.93,4.25,18.8,46.6,8.8,77.7,2.7,0.297,2.91,1.11,4.76,7.3,7.0,161000000.0,23000000.0
Carl Pavano,2008,Yankees,4,2,7,7,0,34.1,41,5,10,15,23,0,0,1,22,4,0,0,0,154,0,1.31,2.62,3.93,1.5,3.3,40.5,9.6,66.7,5.77,0.3,5.37,1.49,-0.3,0.0,1.0,1500000.0,1500000.0
Chan Ho Park,2008,Dodgers,4,4,54,5,0,95.1,97,12,36,79,43,2,3,1,36,4,5,7,0,412,2,1.13,3.4,7.46,2.19,10.4,50.9,14.0,78.2,3.4,0.302,4.37,1.4,0.51,0.3,1.0,2500000.0,2500000.0
Damaso Marte,2008,Yankees,5,3,72,0,0,65.0,52,5,26,71,29,5,2,0,29,2,25,2,0,272,1,0.69,3.6,9.83,2.73,16.5,32.9,6.7,69.9,4.02,0.28,3.24,1.2,2.69,1.2,3.0,12000000.0,4000000.0
Daniel Cabrera,2008,Orioles,8,10,30,30,2,180.0,199,24,90,95,109,0,0,2,105,18,0,5,0,821,15,1.2,4.5,4.75,1.06,0.6,48.0,12.2,72.4,5.25,0.295,5.61,1.61,-1.62,0.2,1.0,2600000.0,2600000.0
Darren Oliver,2008,Angels,7,1,54,0,0,72.0,67,5,16,48,24,0,2,0,23,4,12,2,0,291,3,0.62,2.0,6.0,3.0,11.0,47.2,6.2,78.8,2.87,0.284,3.53,1.15,1.46,0.9,1.0,3655000.0,3655000.0
David Weathers,2008,Reds,4,6,72,0,0,69.1,76,6,30,46,27,0,4,1,25,3,19,8,0,311,1,0.78,3.89,5.97,1.53,5.1,43.9,8.2,81.5,3.25,0.31,4.36,1.53,-0.5,0.3,1.0,3900000.0,3900000.0
Dennys Reyes,2008,Twins,3,0,75,0,0,46.1,40,4,15,39,12,0,3,0,12,2,17,2,0,188,5,0.78,2.91,7.58,2.6,12.8,59.7,13.3,87.6,2.33,0.281,3.67,1.19,0.07,0.4,2.0,3000000.0,1500000.0
Derek Lowe,2008,Dodgers,14,11,34,34,1,211.0,194,14,45,147,84,0,0,0,76,1,0,7,0,851,2,0.6,1.92,6.27,3.27,12.0,60.3,9.5,70.8,3.24,0.28,3.26,1.13,1.57,4.8,4.0,60000000.0,15000000.0
Doug Brocail,2008,Astros,7,5,72,0,0,68.2,63,8,21,64,30,2,3,1,30,3,22,5,0,286,1,1.05,2.75,8.39,3.05,15.0,41.0,9.9,75.2,3.93,0.289,3.83,1.22,0.31,0.7,1.0,2750000.0,2750000.0
Francisco Rodriguez,2008,Angels,2,3,76,0,0,68.1,54,4,34,77,21,62,7,0,17,2,0,4,0,288,6,0.53,4.48,10.14,2.26,14.9,42.4,6.2,81.8,2.24,0.292,3.22,1.29,3.27,1.5,3.0,37000000.0,12333333.333333336
Guillermo Mota,2008,Brewers,5,6,58,0,0,57.0,52,7,28,50,28,1,3,1,26,0,11,0,0,244,4,1.11,4.42,7.89,1.79,9.0,44.8,12.7,74.1,4.11,0.28300000000000003,4.45,1.4,-0.4,0.1,1.0,2350000.0,2350000.0
Horacio Ramirez,2008,Royals,1,4,32,0,0,37.1,45,1,9,13,20,0,0,0,18,2,2,1,0,168,2,0.24,2.17,3.13,1.44,2.4,53.2,2.9,65.9,4.34,0.308,3.67,1.45,-0.51,0.4,1.0,1800000.0,1800000.0
Jamie Moyer,2008,Phillies,16,7,33,33,0,196.1,199,20,62,123,85,0,0,0,81,11,0,4,0,841,3,0.92,2.84,5.64,1.98,7.3,43.9,9.0,76.6,3.71,0.28600000000000003,4.32,1.33,0.9,2.8,2.0,13000000.0,6500000.0
Jeremy Affeldt,2008,Reds,1,1,74,0,0,78.1,78,9,25,80,36,0,1,0,29,3,5,0,0,335,6,1.03,2.87,9.19,3.2,16.4,54.4,15.0,75.0,3.33,0.317,3.66,1.31,-0.12,0.6,2.0,8000000.0,4000000.0
Joe Beimel,2008,Dodgers,5,1,71,0,0,49.0,50,0,21,32,11,0,0,1,11,3,12,4,0,214,1,0.0,3.86,5.88,1.52,5.1,47.4,0.0,85.1,2.02,0.316,3.3,1.45,1.06,0.6,1.0,2000000.0,2000000.0
Joe Nelson,2008,Marlins,3,1,59,0,0,54.0,42,5,22,60,16,1,4,0,12,2,11,4,0,230,3,0.83,3.67,10.0,2.73,16.5,39.7,9.4,84.8,2.0,0.262,3.45,1.19,0.15,0.9,1.0,1300000.0,1300000.0
John Bale,2008,Royals,0,3,13,3,0,26.2,29,1,6,14,13,0,0,0,13,0,2,0,0,110,1,0.34,2.03,4.73,2.33,7.3,50.6,4.2,65.5,4.39,0.315,3.24,1.31,0.03,0.5,1.0,1200000.0,1200000.0
Jon Garland,2008,Angels,14,8,32,32,1,196.2,237,23,59,90,116,0,0,0,107,8,0,4,0,864,4,1.05,2.7,4.12,1.53,3.6,49.9,11.9,69.2,4.9,0.313,4.76,1.51,-1.49,1.3,1.0,7250000.0,7250000.0
Jorge Julio,2008,Brewers,3,0,27,0,0,30.0,27,3,19,34,12,0,1,0,12,1,0,2,0,132,6,0.9,5.7,10.2,1.79,11.4,46.2,10.7,81.8,3.6,0.32,4.17,1.53,-0.33,0.1,1.0,950000.0,950000.0
Juan Cruz,2008,Diamondbacks,4,0,57,0,0,51.2,34,5,31,71,17,0,2,0,15,3,8,0,0,215,1,0.87,5.4,12.37,2.29,18.6,26.9,8.1,83.6,2.61,0.276,3.62,1.26,0.72,0.5,2.0,6000000.0,3000000.0
Kerry Wood,2008,Cubs,5,4,65,0,0,66.1,54,3,18,84,24,34,6,0,24,7,0,4,0,276,1,0.41,2.44,11.4,4.67,23.9,38.8,4.6,73.5,3.26,0.311,2.32,1.09,0.94,2.1,2.0,20500000.0,10250000.0
Kyle Farnsworth,2008,Royals,2,3,61,0,0,60.1,70,15,22,61,32,1,3,1,30,1,14,4,0,261,1,2.24,3.28,9.1,2.77,14.9,35.1,19.0,84.7,4.48,0.34,5.49,1.52,0.03,-0.7,2.0,9250000.0,4625000.0
Lance Cormier,2008,Orioles,3,3,45,1,0,71.2,78,4,34,46,36,1,2,1,32,1,0,3,0,319,2,0.5,4.27,5.78,1.35,3.8,56.8,7.7,71.7,4.02,0.316,4.04,1.56,0.23,0.5,1.0,675000.0,675000.0
Luis Ayala,2008,Twins,2,10,81,0,0,75.2,86,9,24,50,53,9,6,0,48,4,19,4,0,335,1,1.07,2.85,5.95,2.08,7.8,45.6,11.1,60.2,5.71,0.31,4.47,1.45,-2.98,0.1,1.0,1300000.0,1300000.0
Mark Hendrickson,2008,Marlins,7,8,36,19,0,133.2,148,17,48,81,87,0,0,0,81,5,3,7,0,590,4,1.14,3.23,5.45,1.69,5.6,44.3,10.9,64.3,5.45,0.298,4.76,1.47,-1.42,0.8,1.0,1500000.0,1500000.0
Mike Hampton,2008,Braves,3,4,13,13,0,78.0,83,10,28,38,45,0,0,0,42,1,0,6,0,331,0,1.15,3.23,4.38,1.36,3.0,52.7,15.2,68.4,4.85,0.287,4.94,1.42,-0.57,0.4,1.0,2000000.0,2000000.0
Mike Lincoln,2008,Reds,2,5,64,0,0,70.1,66,10,24,57,37,0,1,0,35,3,10,1,0,297,3,1.28,3.07,7.29,2.38,11.1,52.4,15.9,70.9,4.48,0.276,4.51,1.28,1.05,0.1,2.0,4000000.0,2000000.0
Oliver Perez,2008,Mets,10,7,34,34,0,194.0,167,24,105,180,100,0,0,1,91,11,0,4,0,847,9,1.11,4.87,8.35,1.71,8.9,32.0,9.8,73.4,4.22,0.271,4.68,1.4,0.38,1.7,3.0,36000000.0,12000000.0
Randy Wolf,2008,Dodgers,12,12,33,33,1,190.1,191,21,71,162,100,0,0,0,91,12,0,4,1,823,3,0.99,3.36,7.66,2.28,11.1,38.8,9.7,71.1,4.3,0.305,4.17,1.38,-0.09,2.6,1.0,5000000.0,5000000.0
Russ Springer,2008,Cardinals,2,1,70,0,0,50.1,39,4,18,45,14,0,2,0,13,1,15,0,0,205,2,0.72,3.22,8.05,2.5,13.2,30.4,5.9,84.0,2.32,0.255,3.51,1.13,0.63,0.7,1.0,3300000.0,3300000.0
Ryan Dempster,2008,Cubs,17,6,33,33,1,206.2,174,14,76,187,75,0,0,0,68,7,0,1,0,856,5,0.61,3.31,8.14,2.46,13.0,48.1,7.7,76.7,2.96,0.28,3.41,1.21,3.7,4.7,4.0,52000000.0,13000000.0
Scott Proctor,2008,Dodgers,2,0,41,0,0,38.2,41,7,24,46,30,0,1,0,26,0,2,1,0,184,6,1.63,5.59,10.71,1.92,12.0,37.5,15.2,63.4,6.05,0.318,4.97,1.68,-0.51,-0.1,1.0,750000.0,750000.0
Takashi Saito,2008,Dodgers,4,4,45,0,0,47.0,40,1,16,60,14,18,4,0,13,2,0,3,0,197,1,0.19,3.06,11.49,3.75,22.3,46.6,2.3,77.7,2.49,0.331,2.0,1.19,0.86,1.7,1.0,1500000.0,1500000.0
Tim Redding,2008,Nationals,10,11,33,33,1,182.0,195,27,65,120,110,0,0,0,100,7,0,5,0,791,10,1.34,3.21,5.93,1.85,7.0,39.8,11.3,68.5,4.95,0.294,4.93,1.43,-1.04,1.2,1.0,2250000.0,2250000.0
Tom Gordon,2008,Phillies,5,4,34,0,0,29.2,31,3,17,26,19,2,1,0,17,0,14,1,0,139,4,0.91,5.16,7.89,1.53,6.5,40.0,7.3,66.2,5.16,0.301,4.41,1.62,0.33,0.1,1.0,500000.0,500000.0
Trever Miller,2008,Rays,2,0,68,0,0,43.1,39,2,20,44,21,2,1,0,20,4,11,1,0,187,1,0.42,4.15,9.14,2.2,12.8,31.6,3.9,69.8,4.15,0.316,3.36,1.36,0.64,0.6,1.0,500000.0,500000.0
