Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Jim Johnson,2015,Braves,2,6,72,0,0,66.2,77,5,20,50,36,10,7,0,33,5,25,2,0,291,3,0.68,2.7,6.75,2.5,10.3,61.5,11.4,69.5,4.46,0.341,3.73,1.46,0.28,0.2,1,1600000,1600000.0
Joba Chamberlain,2015,Tigers,0,2,36,0,0,27.2,38,6,9,23,20,0,2,0,15,1,8,0,0,128,2,1.95,2.93,7.48,2.56,10.9,41.9,20.7,70.7,4.88,0.36,5.38,1.7,-1.26,-0.4,1,1000000,1000000.0
Joe Beimel,2015,Mariners,2,1,53,0,0,47.1,49,8,16,22,25,1,2,0,21,1,6,3,0,196,1,1.52,3.04,4.18,1.38,3.1,42.4,12.7,74.8,3.99,0.275,5.48,1.37,-0.37,-0.8,1,1500000,1500000.0
Joe Thatcher,2015,Astros,1,3,43,0,0,22.2,23,1,12,26,8,0,0,0,8,0,6,0,0,100,0,0.4,4.76,10.32,2.17,14.0,45.0,5.0,80.4,3.18,0.361,3.0,1.54,-0.84,0.3,1,1000000,1000000.0
John Axford,2015,Rockies,4,5,60,0,0,55.2,56,4,32,62,27,25,6,0,26,0,2,4,0,250,1,0.65,5.17,10.02,1.94,12.0,56.1,9.5,74.0,4.2,0.342,3.57,1.58,0.01,0.6,1,2600000,2600000.0
Jon Lester,2015,Cubs,11,12,32,32,1,205.0,183,16,47,207,83,0,0,0,76,7,0,0,0,828,8,0.7,2.06,9.09,4.4,19.3,48.9,9.9,71.8,3.34,0.303,2.92,1.12,2.31,5.0,6,155000000,25833333.33333333
Kevin Correia,2015,Phillies,0,3,5,5,0,23.1,37,4,8,14,23,0,0,0,17,0,0,0,0,114,0,1.54,3.09,5.4,1.75,5.3,41.9,19.0,55.8,6.56,0.375,5.19,1.93,-0.77,0.0,1,6500000,6500000.0
Kevin Gregg,2015,Reds,0,2,11,0,0,10.2,13,3,5,14,12,0,1,0,12,0,2,0,0,51,1,2.53,4.22,11.81,2.8,17.7,35.5,25.0,43.5,10.13,0.345,5.57,1.69,-0.93,-0.2,1,1500000,1500000.0
Kris Medlen,2015,Royals,6,2,15,8,0,58.1,56,6,18,40,30,0,0,0,26,2,0,0,0,243,3,0.93,2.78,6.17,2.22,9.1,49.7,10.0,68.1,4.01,0.282,4.13,1.27,0.02,0.5,2,8500000,4250000.0
Kyle Kendrick,2015,Rockies,7,13,27,27,0,142.1,172,33,45,80,102,0,0,0,100,7,0,2,0,629,4,2.09,2.85,5.06,1.78,5.6,38.8,17.3,68.6,6.32,0.3,6.12,1.52,-2.84,-1.1,1,5500000,5500000.0
Luke Gregerson,2015,Astros,7,3,64,0,0,61.0,48,5,10,59,24,31,5,0,21,2,0,2,0,239,1,0.74,1.48,8.7,5.9,20.5,60.4,13.2,67.9,3.1,0.264,2.86,0.95,1.21,1.2,3,18500000,6166666.666666668
Luke Hochevar,2015,Royals,1,1,49,0,0,50.2,49,7,16,49,23,1,1,0,21,1,6,0,0,214,3,1.24,2.84,8.7,3.06,15.4,37.2,10.3,76.5,3.73,0.298,4.0,1.28,0.8,0.1,2,10000000,5000000.0
Matt Albers,2015,White Sox,2,0,30,0,0,37.1,31,3,9,28,6,0,0,0,5,1,6,2,0,149,0,0.72,2.17,6.75,3.11,12.8,58.6,9.7,95.1,1.21,0.259,3.48,1.07,1.24,0.4,1,1500000,1500000.0
Matt Belisle,2015,Cardinals,1,1,34,0,0,33.2,34,1,15,25,10,0,1,0,10,3,7,2,0,149,0,0.27,4.01,6.68,1.67,6.7,52.4,3.4,83.0,2.67,0.314,3.64,1.46,0.01,0.1,1,3500000,3500000.0
Max Scherzer,2015,Nationals,14,12,33,33,4,228.2,176,27,34,276,74,0,0,1,71,5,0,2,3,899,10,1.06,1.34,10.86,8.12,26.9,35.8,10.5,79.6,2.79,0.268,2.77,0.92,3.22,6.4,7,210000000,30000000.0
Neal Cotts,2015,Brewers,1,0,68,0,0,63.1,58,12,22,58,26,0,0,0,24,4,5,2,0,269,2,1.71,3.13,8.24,2.64,13.4,37.2,15.8,86.3,3.41,0.266,5.0,1.26,0.2,-0.4,1,3000000,3000000.0
Pat Neshek,2015,Astros,3,6,66,0,0,54.2,49,8,12,51,25,1,3,0,22,2,28,1,0,223,1,1.32,1.98,8.4,4.25,17.5,32.0,11.4,73.4,3.62,0.273,3.94,1.12,-0.81,0.2,2,12500000,6250000.0
Phil Coke,2015,Cubs,0,0,18,0,0,12.2,15,2,5,12,8,0,0,0,8,0,3,2,0,56,0,1.42,3.55,8.53,2.4,12.5,59.0,22.2,69.8,5.68,0.35100000000000003,4.48,1.58,-0.07,0.0,1,2250000,2250000.0
Rafael Betancourt,2015,Rockies,2,4,45,0,0,39.1,43,4,12,40,29,1,3,0,27,0,8,4,0,175,0,0.92,2.75,9.15,3.33,16.0,22.3,6.5,52.6,6.18,0.32799999999999996,3.34,1.4,-1.0,0.5,1,1000000,1000000.0
Roberto Hernandez,2015,Astros,3,5,20,11,0,84.2,90,9,26,42,48,0,0,0,41,1,0,2,0,357,1,0.96,2.76,4.46,1.62,4.5,51.9,11.0,66.1,4.36,0.29,4.48,1.37,-0.91,0.3,1,2600000,2600000.0
Ryan Vogelsong,2015,Giants,9,11,33,22,0,135.0,140,17,58,108,76,0,1,0,70,3,0,2,0,598,1,1.13,3.87,7.2,1.86,8.4,44.7,11.2,70.5,4.67,0.299,4.53,1.47,-1.36,0.1,1,4000000,4000000.0
Scott Baker,2015,Dodgers,0,1,2,2,0,11.0,11,4,3,8,7,0,0,0,7,0,0,0,0,45,1,3.27,2.45,6.55,2.67,11.1,38.2,25.0,83.3,5.73,0.233,7.23,1.27,-0.37,-0.3,1,1500000,1500000.0
Sergio Romo,2015,Giants,0,5,70,0,0,57.1,51,3,10,71,20,2,2,0,19,1,34,2,0,230,4,0.47,1.57,11.15,7.1,26.5,44.8,6.5,72.7,2.98,0.331,1.91,1.06,0.41,1.8,2,15000000,7500000.0
Shaun Marcum,2015,Indians,3,2,7,6,0,35.0,32,9,11,30,21,0,0,0,21,1,0,3,0,142,2,2.31,2.83,7.71,2.73,13.4,33.0,20.0,73.3,5.4,0.253,5.79,1.23,-0.42,-0.2,1,1000000,1000000.0
Tim Stauffer,2015,Twins,1,0,18,0,0,20.2,32,6,9,14,18,0,1,0,16,1,1,2,0,100,2,2.61,3.92,6.1,1.56,5.0,53.3,28.6,71.4,6.97,0.371,7.01,1.98,-0.64,-0.5,1,2200000,2200000.0
Tom Gorzelanny,2015,Tigers,2,2,48,0,0,39.1,45,4,23,36,28,0,0,0,26,2,2,2,0,181,1,0.92,5.26,8.24,1.57,7.2,39.3,8.5,65.2,5.95,0.353,4.53,1.73,0.23,-0.1,1,1000000,1000000.0
Zach Duke,2015,White Sox,3,6,71,0,0,60.2,47,9,32,66,26,1,2,0,23,3,26,4,0,255,0,1.34,4.75,9.79,2.06,13.3,58.3,24.3,80.7,3.41,0.262,4.62,1.3,0.67,-0.4,3,15000000,5000000.0
