Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Harang,2011,Padres,14,7,28,28,0,170.2,175,20,58,124,73,0,0,0,69,3,0,4,0,719,3,1.05,3.06,6.54,2.14,9.2,40.6,9.4,78.4,3.64,0.302,4.17,1.37,0.9,1.2,2.0,12000000.0,6000000.0
Bartolo Colon,2011,Yankees,8,10,29,26,1,164.1,172,21,40,135,85,0,0,0,73,3,0,3,1,694,0,1.15,2.19,7.39,3.38,13.7,44.2,11.4,70.0,4.0,0.305,3.83,1.29,0.39,2.7,1.0,900000.0,900000.0
Brad Lidge,2011,Phillies,0,2,25,0,0,19.1,16,0,13,23,3,1,0,0,3,1,8,3,0,86,2,0.0,6.05,10.71,1.77,11.6,57.4,0.0,90.0,1.4,0.327,2.82,1.5,0.37,0.3,1.0,1000000.0,1000000.0
Bruce Chen,2011,Royals,12,8,25,25,1,155.0,152,18,50,97,71,0,0,0,65,7,0,2,0,654,2,1.05,2.9,5.63,1.94,7.2,34.6,8.1,75.1,3.77,0.278,4.39,1.3,1.03,1.5,2.0,9000000.0,4500000.0
C.J. Wilson,2011,Rangers,16,7,34,34,3,223.1,191,16,74,206,89,0,0,0,73,10,0,0,1,915,6,0.64,2.98,8.3,2.78,14.4,49.3,8.2,73.6,2.94,0.287,3.24,1.19,2.35,4.9,5.0,77500000.0,15500000.0
Chad Qualls,2011,Padres,6,8,77,0,0,74.1,73,7,20,43,30,0,5,0,29,0,22,5,0,306,4,0.85,2.42,5.21,2.15,7.5,56.6,11.3,75.7,3.51,0.28,3.9,1.25,-0.63,-0.1,1.0,1150000.0,1150000.0
Chien-Ming Wang,2011,Nationals,4,3,11,11,0,62.1,67,8,13,25,35,0,0,0,28,1,0,0,0,264,2,1.16,1.88,3.61,1.92,4.6,53.4,12.7,65.9,4.04,0.272,4.57,1.28,-0.24,0.2,1.0,4000000.0,4000000.0
Chris Capuano,2011,Mets,11,12,33,31,1,186.0,198,27,53,168,99,0,0,0,94,5,1,5,1,802,4,1.31,2.56,8.13,3.17,14.3,42.7,12.0,72.0,4.55,0.311,4.04,1.35,-2.25,1.9,2.0,10000000.0,5000000.0
Clay Hensley,2011,Marlins,6,7,37,9,0,67.2,62,9,30,46,41,0,2,0,39,4,8,1,0,297,0,1.2,3.99,6.12,1.53,5.4,45.5,10.7,66.0,5.19,0.255,4.9,1.36,-0.9,-0.1,1.0,750000.0,750000.0
Darren Oliver,2011,Rangers,5,5,61,0,0,51.0,47,3,11,44,17,2,4,1,13,1,16,1,0,215,0,0.53,1.94,7.76,4.0,15.4,37.9,6.0,76.6,2.29,0.282,2.77,1.14,-0.46,1.2,1.0,4000000.0,4000000.0
Dontrelle Willis,2011,Reds,1,6,13,13,0,75.2,78,6,37,57,42,0,0,0,42,2,0,2,0,334,8,0.71,4.4,6.78,1.54,6.0,54.5,9.8,69.1,5.0,0.31,4.1,1.52,-0.99,0.8,1.0,850000.0,850000.0
Erik Bedard,2011,Pirates,5,9,24,24,0,129.1,118,14,48,125,63,0,0,0,52,1,0,0,0,541,5,0.97,3.34,8.7,2.6,14.2,42.0,10.2,70.6,3.62,0.295,3.64,1.28,-0.45,2.0,1.0,4500000.0,4500000.0
Fernando Rodney,2011,Angels,3,5,39,0,0,32.0,26,1,28,26,18,3,4,0,16,3,10,0,0,150,2,0.28,7.88,7.31,0.93,-1.3,58.4,5.0,70.1,4.5,0.272,4.71,1.69,-1.85,-0.4,1.0,2000000.0,2000000.0
Francisco Cordero,2011,Reds,5,3,68,0,0,69.2,49,6,22,42,20,37,6,1,19,3,0,0,0,274,4,0.78,2.84,5.43,1.91,7.3,50.0,8.7,82.3,2.45,0.214,4.02,1.02,1.87,0.1,1.0,4500000.0,4500000.0
Frank Francisco,2011,Blue Jays,1,4,54,0,0,50.2,49,7,18,53,21,17,4,0,20,0,2,2,0,218,2,1.24,3.2,9.41,2.94,16.1,38.6,12.7,80.4,3.55,0.3,3.8,1.32,0.22,0.4,2.0,12000000.0,6000000.0
Freddy Garcia,2011,Yankees,12,8,26,25,0,146.2,152,16,45,96,63,0,0,0,59,3,0,5,0,626,4,0.98,2.76,5.89,2.13,8.2,36.4,8.2,77.1,3.62,0.292,4.12,1.34,0.86,2.1,1.0,4000000.0,4000000.0
