Name,Yr,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP,Contract Yrs,Total Salary($),Avg Salary($)
Aubrey Huff,2006,Orioles,131,454.0,517.0,121.0,73.0,25.0,2.0,21.0,57.0,66.0,50.0,6.0,64.0,9.7,12.4,0.78,0.267,7.0,6.0,0.0,11.0,0.0,0.0,-12.0,0.203,0.34600000000000003,6.4,0.267,0.344,0.469,0.813,1.1,107.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20000000.0,6666666.666666668
Barry Bonds,2006,Giants,130,367.0,493.0,99.0,50.0,23.0,0.0,26.0,74.0,77.0,115.0,38.0,51.0,23.3,10.3,2.25,0.251,10.0,1.0,0.0,9.0,3.0,0.0,-10.2,0.275,0.409,32.7,0.27,0.454,0.545,0.999,3.2,146.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15800000.0,15800000.0
Barry Zito,2006,Athletics,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.27,16.0,10.0,34.0,0.0,221.0,211.0,27.0,99.0,151.0,99.0,0.0,0.0,2.0,94.0,13.0,0.0,5.0,0.0,945.0,4.0,1.1,4.03,6.15,1.53,5.5,38.3,9.0,78.5,3.83,0.281,4.89,1.4,7.0,126000000.0,18000000.0
Bengie Molina,2006,Blue Jays,117,433.0,458.0,123.0,83.0,20.0,1.0,19.0,44.0,57.0,19.0,1.0,47.0,4.1,10.3,0.4,0.282,4.0,2.0,0.0,15.0,1.0,1.0,2.5,0.182,0.336,1.6,0.284,0.319,0.467,0.785,0.9,99.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16000000.0,5333333.333333333
Carlos Lee,2006,Astros,161,624.0,695.0,187.0,112.0,37.0,1.0,37.0,102.0,116.0,58.0,6.0,65.0,8.3,9.4,0.89,0.281,2.0,11.0,0.0,22.0,19.0,2.0,-22.3,0.24,0.375,25.8,0.3,0.355,0.54,0.895,1.9,123.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100000000.0,16666666.666666664
Chad Bradford,2006,Mets,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.07,4.0,2.0,0.0,0.0,62.0,59.0,1.0,13.0,45.0,22.0,2.0,1.0,0.0,20.0,0.0,10.0,4.0,0.0,252.0,0.0,0.15,1.89,6.53,3.46,12.7,63.3,2.6,70.8,2.9,0.301,2.53,1.16,3.0,10500000.0,3500000.0
Chan Ho Park,2006,Padres,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.72,7.0,7.0,21.0,1.0,136.2,146.0,20.0,44.0,96.0,81.0,0.0,0.0,0.0,73.0,10.0,0.0,7.0,1.0,606.0,5.0,1.32,2.9,6.32,2.18,8.6,43.8,11.9,69.2,4.81,0.289,4.83,1.39,1.0,600000.0,600000.0
Chris Gomez,2006,Orioles,55,132.0,142.0,45.0,36.0,7.0,0.0,2.0,14.0,17.0,7.0,1.0,11.0,4.9,7.7,0.64,0.361,3.0,0.0,0.0,7.0,1.0,2.0,-0.3,0.098,0.363,3.8,0.341,0.387,0.439,0.8270000000000001,0.5,117.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850000.0,850000.0
Chris Reitsma,2006,Braves,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,-0.85,1.0,2.0,0.0,0.0,28.0,46.0,7.0,8.0,13.0,27.0,8.0,4.0,0.0,27.0,3.0,3.0,3.0,0.0,142.0,0.0,2.25,2.57,4.18,1.63,3.5,49.6,20.6,63.6,8.68,0.35100000000000003,6.65,1.93,1.0,2050000.0,2050000.0
Chris Woodward,2006,Mets,83,222.0,253.0,48.0,34.0,10.0,1.0,3.0,25.0,25.0,23.0,2.0,55.0,9.1,21.7,0.42,0.269,1.0,3.0,4.0,2.0,1.0,1.0,-0.6,0.095,0.266,-14.1,0.21600000000000005,0.289,0.311,0.6,-0.6,56.0,-1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850000.0,850000.0
