"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Manny Ramirez","- - -","7.20","-9.90","17.10","62.39","6.30","1.05","2.89","3","5.86","1.01","210"
"Lance Berkman","Astros","6.91","-9.52","16.43","59.84","6.17","1.01","3.68","2","4.99","1.84","548"
"Albert Pujols","Cardinals","6.49","-8.81","15.31","73.13","7.56","1.02","1.97","4","6.57","-0.17","1177"
"Mark Teixeira","- - -","6.14","-10.71","16.85","58.85","6.03","1.08","","0","5.50","0.22","1281"
"Jason Bay","- - -","5.57","-9.98","15.55","40.32","4.05","1.00","2.26","1","4.57","0.99","1717"
"Carlos Beltran","Mets","5.12","-11.45","16.57","39.26","3.99","1.07","2.99","2","3.62","1.17","589"
"Hanley Ramirez","Marlins","4.84","-10.82","15.66","38.01","3.83","1.00","7.15","1","4.24","0.58","8001"
"Joe Mauer","Twins","4.81","-9.16","13.97","43.04","4.36","1.01","2.61","7","3.43","1.31","1857"
"Matt Holliday","Rockies","4.58","-9.87","14.45","42.94","3.96","1.02","","0","3.58","0.92","1873"
"Carlos Pena","Rays","4.27","-10.23","14.51","32.42","3.24","1.11","1.52","2","2.97","0.88","934"
"David Wright","Mets","4.20","-11.45","15.65","41.20","4.23","0.99","","0","5.27","-1.01","3787"
"Justin Morneau","Twins","3.92","-12.97","16.89","45.36","4.56","1.10","","0","2.96","0.59","1737"
"Pat Burrell","Phillies","3.87","-10.71","14.58","15.38","1.55","1.02","1.14","3","2.69","1.10","949"
"Carlos Quentin","White Sox","3.86","-8.95","12.81","43.70","4.26","0.97","","0","3.75","0.22","6274"
"Grady Sizemore","Indians","3.76","-10.86","14.62","47.59","4.84","0.94","","0","3.40","0.59","2197"
"Adrian Gonzalez","Padres","3.74","-12.66","16.40","32.15","3.33","1.12","2.02","2","3.12","0.23","1908"
"Chipper Jones","Braves","3.69","-7.33","11.02","48.65","4.93","0.99","0.98","10","4.49","-0.75","97"
"Nate McLouth","Pirates","3.61","-11.42","15.03","42.06","4.25","1.05","3.81","1","2.37","1.07","3190"
"Josh Hamilton","Rangers","3.60","-10.70","14.30","44.08","4.27","0.94","1.24","1","3.88","-0.04","1875"
"Ryan Braun","Brewers","3.59","-11.02","14.62","23.20","2.37","0.97","1.78","2","2.86","0.83","3410"
"Miguel Cabrera","Tigers","3.54","-11.82","15.36","28.63","2.79","1.02","1.50","1","2.97","0.51","1744"
"Andre Ethier","Dodgers","3.31","-9.13","12.44","29.20","3.04","1.01","2.22","8","2.70","0.57","6265"
"Xavier Nady","- - -","3.24","-10.06","13.30","20.09","2.03","1.01","2.10","7","2.04","1.15","1658"
"Dustin Pedroia","Red Sox","3.19","-10.78","13.97","23.79","2.31","0.94","2.99","2","1.91","1.48","8370"
"Aramis Ramirez","Cubs","3.07","-11.09","14.16","31.03","2.93","1.02","4.36","1","2.75","0.24","1002"
"Raul Ibanez","Mariners","2.97","-11.81","14.78","31.15","3.29","1.04","","0","1.81","1.06","607"
"Prince Fielder","Brewers","2.95","-11.37","14.32","26.97","2.74","1.02","","0","2.68","0.21","4613"
"Russell Martin","Dodgers","2.84","-10.90","13.74","16.62","1.78","1.03","1.58","7","1.09","1.66","4616"
"Bobby Abreu","Yankees","2.81","-10.88","13.69","35.84","3.55","0.97","1.22","4","2.02","0.88","945"
"Curtis Granderson","Tigers","2.75","-9.45","12.21","22.46","2.27","0.96","0.52","3","2.34","0.52","4747"
"Milton Bradley","Rangers","2.70","-7.54","10.23","37.49","3.60","0.97","2.13","9","4.10","-1.31","369"
"Dan Uggla","Marlins","2.69","-10.36","13.05","24.26","2.47","1.01","0.97","2","2.28","0.39","3442"
"Adam Dunn","- - -","2.66","-11.06","13.72","27.94","2.83","1.00","3.53","2","2.90","-0.25","319"
"Brian Giles","Padres","2.59","-11.23","13.82","22.75","2.46","1.09","3.13","4","2.28","0.10","990"
"Troy Glaus","Cardinals","2.58","-10.76","13.34","22.77","2.34","1.01","0.92","3","1.83","0.72","15"
"Ryan Ludwick","Cardinals","2.56","-10.92","13.47","41.97","4.27","1.03","1.30","13","4.98","-2.50","1260"
"Carlos Delgado","Mets","2.41","-11.81","14.22","31.15","3.19","1.04","1.81","3","3.10","-0.77","1297"
"Kevin Youkilis","Red Sox","2.39","-10.27","12.66","44.24","4.25","1.00","","0","2.84","-0.46","1935"
"Stephen Drew","Diamondbacks","2.37","-10.65","13.02","7.00","0.62","0.96","2.18","2","0.43","2.05","4251"
"David DeJesus","Royals","2.29","-9.74","12.03","25.51","2.46","0.99","","0","1.14","1.18","1825"
"Ryan Howard","Phillies","2.29","-12.84","15.12","37.54","3.78","1.08","1.31","4","2.86","-0.74","2154"
"Jack Cust","Athletics","2.28","-9.90","12.18","27.45","2.80","1.03","1.59","5","2.80","-0.58","1564"
"Kelly Johnson","Braves","2.28","-9.81","12.09","19.11","1.95","0.98","1.55","12","1.03","1.28","2234"
"Vladimir Guerrero","Angels","2.17","-11.08","13.24","17.23","1.76","1.05","","0","1.89","0.18","778"
"Brian Roberts","Orioles","2.13","-12.08","14.21","23.88","2.33","1.02","1.66","3","1.82","0.28","166"
"Jason Giambi","Yankees","2.11","-10.55","12.66","19.27","1.95","1.12","1.60","7","2.80","-0.91","818"
"Nick Markakis","Orioles","2.04","-11.78","13.81","35.40","3.51","1.01","1.90","2","2.95","-0.93","5930"
"Aubrey Huff","Orioles","1.94","-11.88","13.83","36.78","3.58","1.06","1.83","2","3.21","-1.38","1213"
"Ian Kinsler","Rangers","1.94","-9.33","11.27","26.98","2.64","0.95","1.12","1","2.36","-0.33","6195"
"Johnny Damon","Yankees","1.91","-9.71","11.62","34.62","3.36","0.94","1.04","7","1.94","0.09","185"
"Joey Votto","Reds","1.88","-9.43","11.32","30.88","2.99","0.97","0.95","9","2.06","-0.12","4314"
"Brad Hawpe","Rockies","1.72","-10.02","11.74","26.23","2.46","1.07","1.85","6","1.82","-0.21","1885"
"Randy Winn","Giants","1.68","-11.00","12.68","15.55","1.58","1.03","1.40","5","1.57","0.07","1235"
"J.J. Hardy","Brewers","1.68","-10.64","12.31","10.77","1.07","1.01","2.31","1","2.03","-0.37","3797"
"Mark DeRosa","Cubs","1.66","-9.69","11.36","27.61","2.66","0.99","1.30","4","1.70","-0.02","1392"
"Derrek Lee","Cubs","1.65","-12.35","14.01","12.54","1.24","1.01","5.52","1","1.25","0.40","525"
"Rickie Weeks Jr.","Brewers","1.57","-9.51","11.08","2.11","0.23","1.02","1.10","9","0.34","1.19","1849"
