"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Chipper Jones","Braves","128","439","534","160","113","24","1","22","82","75","90","16","61","1","4","0","13","4","0",".364","97"
"Albert Pujols","Cardinals","148","524","641","187","106","44","0","37","100","116","104","34","54","5","8","0","16","7","3",".357","1177"
"Manny Ramirez","- - -","153","552","654","183","109","36","1","37","102","121","87","24","124","11","4","0","17","3","0",".332","210"
"Joe Mauer","Twins","146","536","633","176","132","31","4","9","98","85","84","8","50","1","11","1","21","1","1",".328","1857"
"Dustin Pedroia","Red Sox","157","653","726","213","140","54","2","17","118","83","50","1","52","7","9","7","17","20","1",".326","8370"
"Milton Bradley","Rangers","126","414","510","133","78","32","1","22","78","77","80","13","112","9","6","0","10","5","3",".321","369"
"Matt Holliday","Rockies","139","539","623","173","108","38","2","25","107","88","74","6","104","8","2","0","9","28","2",".321","1873"
"Ian Kinsler","Rangers","121","518","583","165","102","41","4","18","102","71","45","1","67","6","7","7","12","26","2",".319","6195"
"Magglio Ordonez","Tigers","146","561","623","178","123","32","2","21","72","103","53","2","76","3","6","0","27","1","5",".317","248"
"Cristian Guzman","Nationals","138","579","612","183","134","35","5","9","77","55","23","1","57","5","4","1","10","6","5",".316","728"
"Lance Berkman","Astros","159","554","665","173","94","46","4","29","114","106","99","18","108","7","5","0","13","18","4",".312","548"
"Kevin Youkilis","Red Sox","145","538","621","168","92","43","4","29","91","115","62","7","108","12","9","0","11","3","5",".312","1935"
"Ichiro Suzuki","Mariners","162","686","749","213","180","20","7","6","103","42","51","12","65","5","4","3","8","43","4",".310","1101"
"Mark Teixeira","- - -","157","574","685","177","103","41","0","33","102","121","97","13","93","7","7","0","17","2","0",".308","1281"
"David DeJesus","Royals","135","518","577","159","115","25","7","12","70","73","46","3","71","5","4","4","10","11","8",".307","1825"
"Placido Polanco","Tigers","141","580","629","178","133","34","3","8","90","58","35","2","43","6","4","4","14","7","1",".307","1176"
"Ryan Theriot","Cubs","149","580","661","178","154","19","4","1","85","38","73","1","58","3","1","4","19","22","13",".307","3811"
"Randy Winn","Giants","155","598","667","183","133","38","2","10","84","64","59","6","88","0","9","1","6","25","2",".306","1235"
"Brian Giles","Padres","147","559","653","171","115","40","4","12","81","63","87","2","52","2","5","0","18","2","2",".306","990"
"Nick Markakis","Orioles","157","595","697","182","113","48","1","20","106","87","99","7","113","2","1","0","10","10","7",".306","5930"
"Andre Ethier","Dodgers","141","525","596","160","97","38","5","20","90","77","59","0","88","4","7","1","6","6","3",".305","6265"
"Xavier Nady","- - -","148","555","607","169","106","37","1","25","76","97","39","2","103","9","4","0","14","2","1",".305","1658"
"Josh Hamilton","Rangers","156","624","704","190","118","35","5","32","98","130","64","9","126","7","9","0","8","9","1",".304","1875"
"Aubrey Huff","Orioles","154","598","661","182","100","48","2","32","96","108","53","7","89","3","7","0","9","4","0",".304","1213"
"Vladimir Guerrero","Angels","143","541","600","164","103","31","3","27","85","91","51","16","77","4","4","0","27","5","3",".303","778"
