"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Johnny Damon","Yankees","143","555","623","168","119","27","5","17","95","71","64","0","82","1","1","2","6","29","8",".303","185"
"Alex Rodriguez","Yankees","138","510","594","154","86","33","0","35","104","103","65","9","117","14","5","0","16","18","3",".302","1274"
"David Wright","Mets","160","626","736","189","112","42","2","33","115","124","94","5","118","4","11","0","15","15","5",".302","3787"
"Skip Schumaker","Cardinals","153","540","594","163","128","22","5","8","87","46","47","2","60","2","1","4","19","8","2",".302","3704"
"Brian McCann","Braves","145","509","573","153","87","42","1","23","68","87","57","4","64","4","3","0","17","5","0",".301","4810"
"Hanley Ramirez","Marlins","153","589","693","177","106","34","4","33","125","67","92","9","122","8","4","0","5","35","12",".301","8001"
"Derek Jeter","Yankees","150","596","668","179","140","25","3","11","88","69","52","0","85","9","4","7","24","11","5",".300","826"
"Justin Morneau","Twins","163","623","712","187","113","47","4","23","97","129","76","16","85","3","10","0","20","0","1",".300","1737"
"Conor Jackson","Diamondbacks","144","540","612","162","113","31","6","12","87","75","59","3","61","9","3","1","14","10","2",".300","5997"
"Ryan Ludwick","Cardinals","152","538","617","161","81","40","3","37","104","113","62","3","146","8","8","1","8","4","4",".299","1260"
"Jose Lopez","Mariners","159","644","687","191","132","41","1","17","80","89","27","5","67","1","9","6","14","6","3",".297","3114"
"Joey Votto","Reds","151","526","589","156","97","32","3","24","69","84","59","9","102","2","2","0","7","7","5",".297","4314"
"Jose Reyes","Mets","159","688","763","204","132","37","19","16","113","68","66","8","82","1","3","5","9","56","15",".297","1736"
"Brian Roberts","Orioles","155","611","704","181","113","51","8","9","107","57","82","3","104","2","6","3","8","40","10",".296","166"
"Bobby Abreu","Yankees","156","609","684","180","117","39","4","20","100","100","73","2","109","1","1","0","14","22","11",".296","945"
"Shane Victorino","Phillies","146","570","627","167","115","30","8","14","102","58","45","2","69","7","0","5","8","36","11",".293","1677"
"Raul Ibanez","Mariners","162","635","707","186","117","43","3","23","85","110","64","11","110","3","5","0","13","2","4",".293","607"
"Garret Anderson","Angels","145","557","593","163","118","27","3","15","66","84","29","6","77","1","6","0","11","7","4",".293","2"
"Bengie Molina","Giants","145","530","569","155","106","33","0","16","46","95","19","5","38","9","11","0","23","0","0",".292","24"
"Miguel Cabrera","Tigers","160","616","684","180","105","36","2","37","85","127","56","6","126","3","9","0","16","1","0",".292","1744"
"Chase Utley","Phillies","159","607","707","177","99","41","4","33","113","104","64","14","104","27","8","1","9","14","2",".292","1679"
"Jermaine Dye","White Sox","154","590","645","172","95","41","2","34","96","96","44","3","104","6","5","0","18","3","2",".292","911"
"Alex Rios","Blue Jays","155","635","687","185","115","47","8","15","91","79","44","2","112","2","5","0","20","32","8",".291","2090"
"Stephen Drew","Diamondbacks","152","611","663","178","102","44","11","21","91","67","41","6","109","1","7","3","5","3","3",".291","4251"
"Derrek Lee","Cubs","155","623","698","181","117","41","3","20","93","90","71","3","119","0","4","0","27","8","2",".291","525"
"Delmon Young","Twins","152","575","623","167","125","28","4","10","80","69","35","7","105","7","5","1","19","14","5",".290","2140"
"Matt Kemp","Dodgers","155","606","657","176","115","38","5","18","93","76","46","6","153","1","3","1","11","35","11",".290","5631"
"Alexei Ramirez","White Sox","136","480","509","139","94","22","2","21","65","77","18","3","61","3","4","4","14","13","9",".290","5133"
"James Loney","Dodgers","161","595","651","172","118","35","6","13","66","90","45","6","85","3","7","1","25","7","4",".289","4556"
"Aramis Ramirez","Cubs","149","554","645","160","88","44","1","27","97","111","74","7","94","11","6","0","13","2","2",".289","1002"
"Yunel Escobar","Braves","136","514","587","148","112","24","2","10","71","60","59","4","62","5","2","7","24","2","5",".288","4191"
"Carlos Quentin","White Sox","130","480","569","138","75","26","1","36","96","100","66","0","80","20","3","0","16","7","3",".288","6274"
"Kelly Johnson","Braves","150","547","614","157","100","39","6","12","86","69","52","2","113","2","4","9","3","11","6",".287","2234"
"Garrett Atkins","Rockies","155","611","664","175","119","32","3","21","86","99","40","0","100","3","10","0","20","1","1",".286","1790"
"Jason Bay","- - -","155","577","670","165","95","35","4","31","111","101","81","4","137","4","8","0","7","10","0",".286","1717"
"Geovany Soto","Cubs","141","494","563","141","81","35","2","23","66","86","62","6","121","2","5","0","11","0","1",".285","3707"
"Mark DeRosa","Cubs","149","505","593","144","90","30","3","21","103","87","69","0","106","9","8","2","9","6","0",".285","1392"
"Ryan Braun","Brewers","151","611","663","174","91","39","7","37","92","106","42","4","129","6","4","0","13","14","4",".285","3410"
"Melvin Mora","Orioles","135","513","570","146","92","29","2","23","77","104","37","3","70","11","6","3","14","3","7",".285","157"
"Carlos Beltran","Mets","161","606","706","172","100","40","5","27","116","112","92","13","96","1","6","1","11","25","3",".284","589"
"Michael Young","Rangers","155","645","708","183","133","36","2","12","102","82","55","0","109","2","6","0","19","10","0",".284","1286"
"Miguel Tejada","Astros","158","632","666","179","125","38","3","13","92","66","24","4","72","6","3","1","32","7","7",".283","941"
"J.J. Hardy","Brewers","146","569","629","161","102","31","4","24","78","74","52","3","98","1","2","5","18","2","1",".283","3797"
"Brad Hawpe","Rockies","138","488","569","138","86","24","3","25","69","85","76","6","134","3","2","0","7","2","2",".283","1885"
"Felipe Lopez","- - -","143","481","532","136","100","28","2","6","64","46","43","2","82","3","3","2","13","8","8",".283","1311"
"Fred Lewis","Giants","133","468","521","132","87","25","11","9","81","40","51","3","124","0","2","0","5","21","7",".282","4693"
"Orlando Cabrera","White Sox","161","661","730","186","144","33","1","8","93","57","56","1","71","1","9","3","16","19","6",".281","766"
"A.J. Pierzynski","White Sox","134","534","570","150","105","31","1","13","66","60","19","5","71","8","6","3","14","1","0",".281","746"
"Alfonso Soriano","Cubs","109","453","503","127","71","27","0","29","76","75","43","11","103","3","4","0","9","19","3",".280","847"
"Russell Martin","Dodgers","155","553","650","155","117","25","0","13","87","69","90","8","83","5","2","0","16","18","6",".280","4616"
"Curtis Granderson","Tigers","141","553","629","155","94","26","13","22","112","66","71","1","111","3","1","1","7","12","4",".280","4747"
"Jacoby Ellsbury","Red Sox","145","554","609","155","117","22","7","9","98","47","41","2","80","7","3","4","10","50","11",".280","4727"
"Kurt Suzuki","Athletics","148","530","588","148","115","25","1","7","54","42","44","2","69","11","1","2","20","2","3",".279","8259"
"Adrian Gonzalez","Padres","162","616","700","172","103","32","1","36","103","119","74","18","142","7","3","0","24","0","0",".279","1908"
"Yuniesky Betancourt","Mariners","153","559","590","156","110","36","3","7","66","51","17","0","42","2","6","6","23","4","4",".279","8585"
"Torii Hunter","Angels","146","551","608","153","93","37","2","21","85","78","50","6","108","6","1","0","15","19","5",".278","731"
"Jorge Cantu","Marlins","155","628","685","174","104","41","0","29","92","95","40","6","111","10","7","0","15","6","2",".277","2521"
"Jimmy Rollins","Phillies","137","556","625","154","96","38","9","11","76","59","58","7","55","5","3","3","11","47","3",".277","971"
"Nate McLouth","Pirates","152","597","685","165","89","46","4","26","113","94","65","11","93","12","6","5","5","23","3",".276","3190"
"Jhonny Peralta","Indians","154","605","664","167","98","42","4","23","104","89","48","2","126","4","5","2","26","3","1",".276","1738"
"Chone Figgins","Angels","116","453","520","125","109","14","1","1","72","22","62","3","80","3","0","2","7","34","13",".276","1580"
"Prince Fielder","Brewers","159","588","694","162","96","30","2","34","86","102","84","19","134","12","10","0","12","3","2",".276","4613"
"Akinori Iwamura","Rays","152","627","707","172","127","30","9","6","91","48","70","3","131","4","3","3","2","8","6",".274","7781"
"Casey Blake","- - -","152","536","601","147","89","36","1","21","71","81","49","11","120","11","4","1","12","3","0",".274","719"
"Melvin Upton Jr.","Rays","145","531","640","145","97","37","2","9","85","67","97","4","134","2","7","3","13","44","16",".273","5015"
"Ryan Garko","Indians","141","495","563","135","99","21","1","14","61","90","45","1","86","15","8","0","10","0","0",".273","6319"
"Casey Kotchman","- - -","143","525","573","143","100","28","1","14","65","74","36","5","39","9","3","0","18","2","1",".272","1930"
"Evan Longoria","Rays","122","448","508","122","62","31","2","27","67","85","46","4","122","6","8","0","8","7","0",".272","9368"
"Jason Kubel","Twins","141","463","517","126","79","22","5","20","74","78","47","2","91","0","7","0","12","0","1",".272","2161"
"Aaron Rowand","Giants","152","549","611","149","99","37","0","13","57","70","44","7","126","14","4","0","21","2","4",".271","254"
"Robinson Cano","Yankees","159","597","634","162","110","35","3","14","70","72","26","3","65","5","5","1","18","2","4",".271","3269"
"Carlos Delgado","Mets","159","598","686","162","91","32","1","38","96","115","72","19","124","8","8","0","16","1","1",".271","1297"
"Freddy Sanchez","Pirates","145","569","608","154","117","26","2","9","75","52","21","1","63","4","6","8","13","0","1",".271","1624"
"Adam Jones","Orioles","132","477","514","129","92","21","7","9","61","57","23","0","108","7","5","2","12","10","3",".270","6368"
"Edgar Renteria","Tigers","138","503","547","136","102","22","2","10","69","55","37","1","64","0","5","2","19","6","3",".270","1178"
"Adam LaRoche","Pirates","136","492","554","133","73","32","3","25","66","85","54","7","122","2","6","0","9","1","1",".270","1904"
"Troy Glaus","Cardinals","151","544","637","147","86","33","1","27","69","99","87","3","104","3","3","0","14","0","1",".270","15"
"Lyle Overbay","Blue Jays","158","544","630","147","98","32","2","15","74","69","74","3","116","3","5","1","24","1","2",".270","1617"
"Hunter Pence","Astros","157","595","642","160","97","34","4","25","78","83","40","2","124","4","3","0","14","11","10",".269","8252"
"Grady Sizemore","Indians","157","634","745","170","93","39","5","33","101","90","98","14","130","11","2","0","5","38","5",".268","2197"
"Corey Hart","Brewers","157","612","657","164","93","45","6","20","76","91","27","2","109","5","9","4","17","23","7",".268","1945"
"Lastings Milledge","Nationals","138","523","587","140","100","24","2","14","65","61","38","1","96","14","7","5","19","24","9",".268","6441"
"Marco Scutaro","Blue Jays","145","517","592","138","107","23","1","7","76","60","57","0","65","5","7","6","8","7","2",".267","1555"
"Adrian Beltre","Mariners","143","556","612","148","93","29","1","25","74","77","50","10","90","2","4","0","11","8","2",".266","639"
"Jose Guillen","Royals","153","598","633","158","95","42","1","20","66","97","23","3","106","9","3","0","23","2","1",".264","57"
"Brandon Phillips","Reds","141","559","609","146","94","24","7","21","80","78","39","6","93","5","6","0","13","23","10",".261","791"
"Cody Ross","Marlins","145","461","506","120","64","29","5","22","59","73","33","2","116","7","5","0","5","6","1",".260","1760"
"Dan Uggla","Marlins","146","531","619","138","68","37","1","32","97","92","77","6","171","8","3","0","10","5","5",".260","3442"
"Alex Gordon","Royals","134","493","571","128","76","35","1","16","72","59","66","5","120","6","5","1","8","9","2",".260","5209"
"Kevin Kouzmanoff","Padres","154","624","668","162","104","31","4","23","71","84","23","3","139","15","6","0","14","0","0",".260","5995"
"Carlos Gomez","Twins","153","577","614","149","111","24","7","7","79","59","25","0","142","7","2","3","7","33","11",".258","4881"
"Kosuke Fukudome","Cubs","150","501","590","129","91","25","3","10","79","58","81","9","104","1","5","2","7","12","4",".257","3263"
"Ramon Hernandez","Orioles","133","463","507","119","81","22","1","15","49","65","32","3","62","5","6","1","9","0","0",".257","918"
"Luke Scott","Orioles","148","475","536","122","68","29","2","23","67","65","53","10","102","5","3","0","7","2","2",".257","3469"
"Mark Teahen","Royals","149","572","623","146","96","31","4","15","66","59","46","4","131","3","2","0","6","4","3",".255","4511"
"Gregor Blanco","Braves","144","430","519","108","89","14","4","1","52","38","74","2","99","6","3","6","3","13","5",".251","3123"
"Edwin Encarnacion","Reds","146","506","582","127","71","29","1","26","75","68","61","1","102","10","5","0","13","1","0",".251","2151"
"Ryan Howard","Phillies","162","610","700","153","75","26","4","48","105","146","81","17","199","3","6","0","11","1","1",".251","2154"
"Willy Taveras","Rockies","133","479","538","120","102","15","2","1","64","26","36","0","79","5","3","15","4","68","7",".251","1876"
"Pat Burrell","Phillies","157","536","645","134","65","33","3","33","74","86","102","8","136","1","6","0","10","0","0",".250","949"
"Jeremy Hermida","Marlins","142","502","559","125","83","22","3","17","74","61","48","5","138","7","1","1","12","6","1",".249","7208"
"Ken Griffey Jr.","- - -","143","490","575","122","73","30","1","18","67","71","78","14","89","3","4","0","13","0","1",".249","327"
"Chris Young","Diamondbacks","160","625","699","155","84","42","7","22","85","85","62","2","165","1","5","6","10","14","5",".248","3882"
"Mike Jacobs","Marlins","141","477","519","118","57","27","2","32","67","93","36","10","119","1","5","0","7","1","0",".247","2231"
"Carlos Pena","Rays","139","490","607","121","64","24","2","31","76","102","96","7","166","12","9","0","6","1","1",".247","934"
"Jason Giambi","Yankees","145","458","565","113","61","19","1","32","68","96","76","5","111","22","9","0","6","2","1",".247","818"
"Jason Kendall","Brewers","151","516","587","127","93","30","2","2","46","49","50","7","45","13","2","6","5","8","3",".246","993"
"Jim Thome","White Sox","149","503","602","123","61","28","0","34","93","90","91","9","147","4","4","0","18","1","0",".245","409"
"Mike Cameron","Brewers","120","444","508","108","56","25","2","25","69","70","54","1","142","6","3","1","4","17","5",".243","1070"
"Paul Konerko","White Sox","122","438","514","105","63","19","1","22","59","62","65","4","80","7","4","0","17","2","0",".240","242"
"Mark Reynolds","Diamondbacks","152","539","613","129","70","28","3","28","87","97","64","0","204","3","6","1","10","11","2",".239","7619"
"Jeff Francoeur","Braves","155","599","653","143","96","33","3","11","70","71","39","5","111","10","4","0","18","0","1",".239","4792"
"Bobby Crosby","Athletics","145","556","605","132","85","39","1","7","66","61","47","0","96","0","2","0","18","7","3",".237","1818"
"Adam Dunn","- - -","158","517","651","122","59","23","0","40","79","100","122","13","164","7","5","0","7","2","1",".236","319"
"Rickie Weeks Jr.","Brewers","129","475","560","111","68","22","7","14","89","46","66","0","115","14","4","1","5","19","5",".234","1849"
"Kevin Millar","Orioles","145","531","610","124","79","25","0","20","73","72","71","3","93","2","6","0","8","0","1",".234","529"
"Mark Ellis","Athletics","117","442","507","103","68","20","3","12","55","41","53","2","65","5","2","5","11","14","2",".233","1443"
"Jack Cust","Athletics","148","481","598","111","59","19","0","33","77","77","111","3","197","2","4","0","7","0","0",".231","1564"
"Michael Bourn","Astros","138","467","514","107","88","10","4","5","57","29","37","0","111","2","1","7","3","41","10",".229","6387"
"Daric Barton","Athletics","140","446","523","101","70","17","5","9","59","47","65","5","99","3","3","6","6","2","1",".226","5928"
"Nick Swisher","White Sox","153","497","588","109","63","21","1","24","86","69","82","6","135","4","4","1","14","3","3",".219","4599"
"Jack Hannahan","Athletics","143","436","501","95","59","27","0","9","48","47","55","4","131","2","5","3","5","2","0",".218","3692"
