"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Johan Santana","Mets","16","7","2.53","34","34","3","2","0","0","0","234.1","964","206","74","66","23","63","5","4","9","2","206","755"
"Cliff Lee","Indians","22","3","2.54","31","31","4","2","0","0","0","223.1","891","214","68","63","12","34","1","5","4","0","170","1636"
"Tim Lincecum","Giants","18","5","2.62","34","33","2","1","0","0","0","227.0","928","182","72","66","11","84","1","6","17","2","265","5705"
"CC Sabathia","- - -","17","10","2.70","35","35","10","5","0","0","0","253.0","1023","223","85","76","19","59","1","7","2","2","251","404"
"Roy Halladay","Blue Jays","20","11","2.78","34","33","9","2","0","1","0","246.0","987","220","88","76","18","39","3","12","4","0","206","1303"
"Jake Peavy","Padres","10","11","2.85","27","27","1","0","0","0","0","173.2","709","146","57","55","17","59","1","5","6","0","166","1051"
"Daisuke Matsuzaka","Red Sox","18","3","2.90","29","29","0","0","0","0","0","167.2","716","128","58","54","12","94","1","7","5","0","154","7775"
"Ryan Dempster","Cubs","17","6","2.96","33","33","1","0","0","0","0","206.2","856","174","75","68","14","76","1","7","5","0","187","517"
"Ben Sheets","Brewers","13","9","3.09","31","31","5","3","0","0","0","198.1","812","181","74","68","17","47","2","1","8","0","158","710"
"Cole Hamels","Phillies","14","10","3.09","33","33","2","2","0","0","0","227.1","914","193","89","78","28","53","7","1","0","0","196","4972"
"Chad Billingsley","Dodgers","16","10","3.14","35","32","1","1","0","1","0","200.2","859","188","76","70","14","80","6","8","10","0","201","5842"
"Jon Lester","Red Sox","16","6","3.21","33","33","2","2","0","0","0","210.1","874","202","78","75","14","66","1","10","3","1","152","4930"
"Edinson Volquez","Reds","17","6","3.21","33","32","0","0","0","0","0","196.0","838","167","82","70","14","93","5","14","10","1","206","3990"
"Derek Lowe","Dodgers","14","11","3.24","34","34","1","0","0","0","0","211.0","851","194","84","76","14","45","7","1","2","0","147","199"
"Brandon Webb","Diamondbacks","22","7","3.30","34","34","3","1","0","0","0","226.2","944","206","95","83","13","65","5","12","8","1","183","1692"
"John Danks","White Sox","12","9","3.32","33","33","0","0","0","0","0","195.0","804","182","74","72","15","57","1","4","7","0","159","6329"
"Dan Haren","Diamondbacks","16","8","3.33","33","33","1","1","0","0","0","216.0","881","204","86","80","19","40","4","6","11","0","206","1757"
