"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Tim Lincecum","Giants","10.51","3.33","3.15","0.44","28.6 %","9.1 %","19.5 %",".217","1.17",".304","77.9 %","61","62","72","2.62","2.62","0.00","3.12","3.17","5705"
"Cliff Lee","Indians","6.85","1.37","5.00","0.48","19.1 %","3.8 %","15.3 %",".251","1.11",".301","78.3 %","59","67","82","2.54","2.83","-0.29","3.52","3.60","1636"
"CC Sabathia","- - -","8.93","2.10","4.25","0.68","24.5 %","5.8 %","18.8 %",".233","1.11",".297","77.7 %","63","68","71","2.70","2.91","-0.20","3.06","3.15","404"
"Dan Haren","Diamondbacks","8.58","1.67","5.15","0.79","23.4 %","4.5 %","18.8 %",".244","1.13",".303","73.4 %","74","68","73","3.33","3.01","0.33","3.16","3.20","1757"
"Roy Halladay","Blue Jays","7.54","1.43","5.28","0.66","20.9 %","4.0 %","16.9 %",".235","1.05",".284","74.5 %","64","70","72","2.78","3.03","-0.25","3.11","3.12","1303"
"Josh Beckett","Red Sox","8.88","1.76","5.06","0.93","23.7 %","4.7 %","19.0 %",".254","1.19",".315","71.3 %","89","77","74","4.03","3.24","0.79","3.19","3.21","510"
"Derek Lowe","Dodgers","6.27","1.92","3.27","0.60","17.3 %","5.3 %","12.0 %",".241","1.13",".280","70.8 %","77","76","77","3.24","3.26","-0.01","3.32","3.37","199"
"Brandon Webb","Diamondbacks","7.27","2.58","2.82","0.52","19.4 %","6.9 %","12.5 %",".238","1.20",".288","71.0 %","73","74","77","3.30","3.28","0.01","3.33","3.22","1692"
"Ervin Santana","Angels","8.79","1.93","4.55","0.95","23.9 %","5.2 %","18.6 %",".235","1.12",".289","74.3 %","81","77","81","3.49","3.30","0.20","3.48","3.32","3200"
"Mike Mussina","Yankees","6.74","1.39","4.84","0.76","18.3 %","3.8 %","14.5 %",".274","1.22",".321","73.3 %","78","77","79","3.37","3.32","0.05","3.43","3.54","837"
"Chad Billingsley","Dodgers","9.01","3.59","2.51","0.63","23.4 %","9.3 %","14.1 %",".244","1.34",".313","78.0 %","75","78","83","3.14","3.35","-0.21","3.58","3.66","5842"
"Ben Sheets","Brewers","7.17","2.13","3.36","0.77","19.5 %","5.8 %","13.7 %",".237","1.15",".278","75.5 %","73","78","90","3.09","3.38","-0.29","3.88","3.88","710"
"Ryan Dempster","Cubs","8.14","3.31","2.46","0.61","21.9 %","8.9 %","13.0 %",".225","1.21",".280","76.7 %","66","78","85","2.96","3.41","-0.45","3.69","3.80","517"
"John Danks","White Sox","7.34","2.63","2.79","0.69","19.8 %","7.1 %","12.7 %",".245","1.23",".293","76.1 %","74","76","88","3.32","3.44","-0.12","3.82","3.92","6329"
"A.J. Burnett","Blue Jays","9.39","3.50","2.69","0.77","24.1 %","9.0 %","15.2 %",".245","1.34",".314","70.5 %","94","79","81","4.07","3.45","0.62","3.49","3.56","512"
"Johan Santana","Mets","7.91","2.42","3.27","0.88","21.4 %","6.5 %","14.8 %",".230","1.15",".274","82.6 %","61","82","83","2.53","3.51","-0.97","3.61","3.69","755"
"Zack Greinke","Royals","8.14","2.49","3.27","0.93","21.5 %","6.6 %","14.9 %",".255","1.28",".308","75.2 %","78","83","86","3.47","3.56","-0.09","3.71","3.69","1943"
"Hiroki Kuroda","Dodgers","5.69","2.06","2.76","0.64","15.0 %","5.4 %","9.5 %",".249","1.22",".281","68.5 %","89","84","90","3.73","3.59","0.14","3.89","4.03","3283"
"Jair Jurrjens","Braves","6.64","3.35","1.99","0.53","17.1 %","8.6 %","8.5 %",".254","1.37",".301","71.0 %","87","84","91","3.68","3.59","0.09","3.92","4.15","5556"
"Edinson Volquez","Reds","9.46","4.27","2.22","0.64","24.6 %","11.1 %","13.5 %",".228","1.33",".299","75.5 %","73","81","89","3.21","3.60","-0.38","3.84","3.84","3990"
"Jake Peavy","Padres","8.60","3.06","2.81","0.88","23.4 %","8.3 %","15.1 %",".226","1.18",".279","82.2 %","72","86","84","2.85","3.60","-0.75","3.65","3.68","1051"
"Gil Meche","Royals","7.83","3.12","2.51","0.81","20.7 %","8.2 %","12.4 %",".251","1.32",".303","71.5 %","90","84","91","3.98","3.61","0.37","3.94","4.01","1089"
"Jon Lester","Red Sox","6.50","2.82","2.30","0.60","17.4 %","7.6 %","9.8 %",".253","1.27",".297","77.4 %","71","86","93","3.21","3.64","-0.43","4.02","4.15","4930"
"Andy Pettitte","Yankees","6.97","2.43","2.87","0.84","17.9 %","6.2 %","11.7 %",".284","1.41",".333","68.2 %","105","86","85","4.54","3.71","0.84","3.68","3.80","840"
"Cole Hamels","Phillies","7.76","2.10","3.70","1.11","21.4 %","5.8 %","15.7 %",".224","1.08",".259","76.0 %","71","85","83","3.09","3.72","-0.63","3.58","3.63","4972"
"Javier Vazquez","White Sox","8.64","2.64","3.28","1.08","22.5 %","6.9 %","15.6 %",".260","1.32",".316","68.3 %","103","82","88","4.67","3.74","0.93","3.79","3.66","801"
"Aaron Cook","Rockies","4.09","2.04","2.00","0.55","10.8 %","5.4 %","5.4 %",".283","1.34",".308","68.9 %","85","83","93","3.96","3.76","0.20","4.02","4.23","1571"
"Randy Johnson","Diamondbacks","8.46","2.15","3.93","1.17","22.2 %","5.7 %","16.6 %",".253","1.24",".301","70.9 %","87","85","85","3.91","3.76","0.15","3.66","3.54","60"
"Ricky Nolasco","Marlins","7.88","1.78","4.43","1.19","21.4 %","4.8 %","16.6 %",".234","1.10",".271","75.7 %","81","89","85","3.52","3.77","-0.25","3.68","3.56","3830"
"Scott Baker","Twins","7.36","2.19","3.36","1.04","20.1 %","6.0 %","14.1 %",".245","1.18",".284","78.7 %","80","90","94","3.45","3.79","-0.34","4.08","3.96","6176"
"Roy Oswalt","Astros","7.12","2.03","3.51","0.99","19.1 %","5.5 %","13.7 %",".247","1.18",".285","74.6 %","84","87","81","3.54","3.80","-0.27","3.51","3.60","571"
"Felix Hernandez","Mariners","7.85","3.59","2.19","0.76","20.4 %","9.3 %","11.1 %",".257","1.39",".314","76.7 %","83","90","89","3.45","3.80","-0.35","3.83","3.93","4772"
"James Shields","Rays","6.70","1.67","4.00","1.00","18.2 %","4.6 %","13.7 %",".252","1.15",".287","73.3 %","84","89","90","3.56","3.82","-0.26","3.87","3.80","7059"
"Ubaldo Jimenez","Rockies","7.79","4.67","1.67","0.50","19.8 %","11.9 %","8.0 %",".241","1.43",".299","70.8 %","86","85","96","3.99","3.83","0.16","4.16","4.31","3374"
"Kyle Lohse","Cardinals","5.36","2.21","2.43","0.81","14.2 %","5.8 %","8.3 %",".268","1.30",".297","73.6 %","90","92","95","3.78","3.89","-0.11","4.11","4.35","739"
"Jered Weaver","Angels","7.74","2.75","2.81","1.02","20.4 %","7.3 %","13.2 %",".253","1.28",".298","70.7 %","100","91","98","4.33","3.90","0.43","4.23","4.05","4235"
"Matt Cain","Giants","7.69","3.76","2.04","0.79","19.9 %","9.8 %","10.2 %",".247","1.36",".297","75.3 %","87","92","103","3.76","3.91","-0.15","4.45","4.37","4732"
"Andy Sonnanstine","Rays","5.77","1.72","3.35","0.98","15.1 %","4.5 %","10.6 %",".273","1.29",".302","66.3 %","103","91","99","4.38","3.91","0.46","4.29","4.27","7667"
"Mark Buehrle","White Sox","5.76","2.14","2.69","0.91","15.3 %","5.7 %","9.6 %",".279","1.34",".312","71.8 %","84","87","92","3.79","3.94","-0.15","3.98","4.12","225"
"Mike Pelfrey","Mets","4.93","2.87","1.72","0.54","12.9 %","7.5 %","5.4 %",".270","1.36",".302","74.3 %","89","93","103","3.72","3.96","-0.24","4.45","4.60","5203"
"Kevin Millwood","Rangers","6.67","2.61","2.55","0.96","16.3 %","6.4 %","9.9 %",".309","1.59",".355","68.5 %","113","91","96","5.07","4.02","1.05","4.15","4.27","106"
"Daisuke Matsuzaka","Red Sox","8.27","5.05","1.64","0.64","21.5 %","13.1 %","8.4 %",".208","1.32",".258","80.6 %","64","96","107","2.90","4.03","-1.13","4.64","4.57","7775"
"Greg Maddux","- - -","4.55","1.39","3.27","0.97","12.2 %","3.7 %","8.5 %",".266","1.21",".282","64.1 %","106","97","92","4.22","4.09","0.14","3.98","4.23","104"
"Dana Eveland","Athletics","6.32","4.13","1.53","0.54","16.0 %","10.5 %","5.6 %",".265","1.48",".312","72.5 %","103","96","104","4.34","4.09","0.25","4.51","4.64","5508"
"Matt Garza","Rays","6.24","2.88","2.17","0.93","16.6 %","7.6 %","8.9 %",".240","1.24",".270","72.9 %","87","96","102","3.70","4.14","-0.44","4.42","4.43","3340"
"Paul Maholm","Pirates","6.06","2.75","2.21","0.92","16.3 %","7.4 %","8.9 %",".257","1.28",".290","75.5 %","87","97","91","3.71","4.15","-0.45","3.94","4.06","8678"
"Manny Parra","Brewers","7.97","4.07","1.96","0.98","19.8 %","10.1 %","9.7 %",".273","1.54",".327","71.7 %","104","96","88","4.39","4.16","0.23","3.81","4.05","4279"
"Randy Wolf","- - -","7.66","3.36","2.28","0.99","19.7 %","8.6 %","11.1 %",".258","1.38",".305","71.1 %","107","98","98","4.30","4.17","0.13","4.24","4.17","976"
"Justin Verlander","Tigers","7.30","3.90","1.87","0.81","18.5 %","9.9 %","8.6 %",".250","1.40",".296","65.4 %","110","96","109","4.84","4.18","0.65","4.70","4.49","8700"
"Carlos Zambrano","Cubs","6.20","3.43","1.81","0.86","16.3 %","9.1 %","7.3 %",".240","1.29",".270","73.4 %","87","96","102","3.91","4.23","-0.32","4.40","4.52","305"
"Jesse Litsch","Blue Jays","5.06","1.99","2.54","1.02","13.5 %","5.3 %","8.2 %",".259","1.23",".278","74.1 %","82","98","97","3.58","4.29","-0.71","4.21","4.32","3688"
"Jamie Moyer","Phillies","5.64","2.84","1.98","0.92","14.6 %","7.4 %","7.3 %",".259","1.33",".286","76.6 %","85","99","104","3.71","4.32","-0.61","4.48","4.56","1091"
"Joe Saunders","Angels","4.68","2.41","1.94","0.95","12.8 %","6.6 %","6.2 %",".250","1.21",".266","75.7 %","79","102","106","3.41","4.36","-0.96","4.60","4.71","4366"
"Nick Blackburn","Twins","4.47","1.82","2.46","1.07","11.7 %","4.7 %","6.9 %",".288","1.36",".305","70.7 %","94","104","102","4.05","4.40","-0.35","4.42","4.60","4270"
"Zach Duke","Pirates","4.23","2.29","1.85","0.92","10.5 %","5.7 %","4.8 %",".297","1.50",".315","67.2 %","113","103","105","4.82","4.40","0.41","4.52","4.73","3840"
"Ted Lilly","Cubs","8.09","2.81","2.88","1.41","21.4 %","7.4 %","13.9 %",".237","1.23",".270","76.0 %","91","100","94","4.09","4.41","-0.32","4.08","3.92","833"
"Bronson Arroyo","Reds","7.34","3.06","2.40","1.31","18.7 %","7.8 %","10.9 %",".275","1.44",".314","70.1 %","108","101","94","4.77","4.50","0.27","4.07","4.15","978"
"Todd Wellemeyer","Cardinals","6.29","2.91","2.16","1.17","16.6 %","7.7 %","8.9 %",".241","1.25",".264","76.9 %","89","107","103","3.71","4.51","-0.80","4.44","4.45","1709"
"Joe Blanton","- - -","5.05","3.01","1.68","1.00","13.0 %","7.7 %","5.3 %",".269","1.40",".290","68.4 %","110","105","107","4.69","4.52","0.17","4.64","4.81","4849"
"Brett Myers","Phillies","7.72","3.08","2.51","1.37","20.0 %","8.0 %","12.0 %",".264","1.38",".303","72.6 %","105","103","88","4.55","4.52","0.03","3.82","3.91","962"
"Braden Looper","Cardinals","4.88","2.04","2.40","1.13","12.8 %","5.3 %","7.5 %",".275","1.31",".292","72.2 %","100","107","100","4.16","4.52","-0.36","4.30","4.41","526"
"John Lackey","Angels","7.16","2.20","3.25","1.43","19.3 %","5.9 %","13.3 %",".258","1.23",".288","80.2 %","87","106","88","3.75","4.53","-0.78","3.82","3.81","1507"
"Jeremy Guthrie","Orioles","5.66","2.74","2.07","1.13","15.1 %","7.3 %","7.8 %",".241","1.23",".259","76.7 %","82","101","104","3.63","4.53","-0.90","4.48","4.54","2072"
"Ian Snell","Pirates","7.39","4.87","1.52","0.99","17.6 %","11.6 %","6.0 %",".298","1.76",".351","69.3 %","128","107","109","5.42","4.57","0.85","4.72","4.82","2227"
"Jason Marquis","Cubs","4.90","3.77","1.30","0.81","12.3 %","9.5 %","2.9 %",".261","1.45",".283","71.2 %","100","105","113","4.53","4.61","-0.08","4.86","5.03","105"
"Oliver Perez","Mets","8.35","4.87","1.71","1.11","21.3 %","12.4 %","8.9 %",".228","1.40",".271","73.4 %","101","109","110","4.22","4.68","-0.46","4.74","4.57","1514"
"Barry Zito","Giants","6.00","5.10","1.18","0.80","14.7 %","12.5 %","2.2 %",".261","1.60",".295","65.7 %","120","112","122","5.15","4.72","0.43","5.29","5.36","944"
"Jon Garland","Angels","4.12","2.70","1.53","1.05","10.4 %","6.8 %","3.6 %",".297","1.51",".313","69.2 %","113","111","105","4.90","4.76","0.14","4.54","4.76","232"
"Gavin Floyd","White Sox","6.32","3.05","2.07","1.31","16.5 %","8.0 %","8.5 %",".238","1.26",".256","71.4 %","85","105","104","3.84","4.77","-0.93","4.50","4.48","3886"
"Aaron Harang","Reds","7.47","2.44","3.06","1.71","19.3 %","6.3 %","13.0 %",".277","1.38",".307","73.6 %","109","107","95","4.78","4.79","0.00","4.12","4.04","1451"
"John Lannan","Nationals","5.79","3.56","1.63","1.14","15.0 %","9.2 %","5.8 %",".246","1.34",".266","74.0 %","91","110","98","3.91","4.79","-0.88","4.24","4.43","7080"
"Greg Smith","Athletics","5.25","4.11","1.28","0.99","13.9 %","10.9 %","3.0 %",".238","1.35",".256","72.7 %","99","113","121","4.16","4.82","-0.66","5.23","5.33","3455"
