Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Roy Oswalt,Astros,17,10,32,32,3,208.2,199,23,47,165,89,0,0,0,82,10,0,2,2,862,1,0.99,2.03,7.12,3.51,13.7 %,50.3 %,12.7 %,74.6 %,3.54,0.285,3.8,1.18,1.5,3.7
Matt Cain,Giants,8,14,34,34,1,217.2,206,19,91,186,95,0,0,2,91,7,0,9,1,933,7,0.79,3.76,7.69,2.04,10.2 %,33.2 %,6.9 %,75.3 %,3.76,0.297,3.91,1.36,1.53,3.7
Jake Peavy,Padres,10,11,27,27,1,173.2,146,17,59,166,57,0,0,0,55,5,0,1,0,709,6,0.88,3.06,8.6,2.81,15.1 %,40.6 %,9.7 %,82.2 %,2.85,0.27899999999999997,3.6,1.18,1.95,3.6
Andy Sonnanstine,Rays,13,9,32,32,1,193.1,212,21,37,124,105,0,0,0,94,5,0,2,1,819,6,0.98,1.72,5.77,3.35,10.6 %,42.1 %,8.0 %,66.3 %,4.38,0.302,3.91,1.29,-1.02,3.6
Hiroki Kuroda,Dodgers,9,10,31,31,2,183.1,181,13,42,116,85,0,0,0,76,7,0,8,2,776,5,0.64,2.06,5.69,2.76,9.5 %,51.3 %,7.6 %,68.5 %,3.73,0.281,3.59,1.22,0.54,3.6
Scott Baker,Twins,11,4,28,28,0,172.1,161,20,42,141,66,0,0,0,66,3,0,2,0,703,6,1.04,2.19,7.36,3.36,14.1 %,32.9 %,8.5 %,78.7 %,3.45,0.284,3.79,1.18,2.67,3.3
Felix Hernandez,Mariners,9,11,31,31,2,200.2,198,17,80,175,85,0,0,1,77,8,0,7,0,857,8,0.76,3.59,7.85,2.19,11.1 %,52.1 %,9.9 %,76.7 %,3.45,0.314,3.8,1.39,1.17,3.3
Jered Weaver,Angels,11,10,30,30,0,176.2,173,20,54,152,88,0,0,0,85,6,0,4,0,745,3,1.02,2.75,7.74,2.81,13.2 %,32.6 %,8.3 %,70.7 %,4.33,0.298,3.9,1.28,0.59,3.2
Kyle Lohse,Cardinals,15,6,33,33,0,200.0,211,18,49,119,88,0,0,0,84,3,0,3,0,839,5,0.81,2.21,5.36,2.43,8.3 %,45.8 %,8.6 %,73.6 %,3.78,0.297,3.89,1.3,1.04,3.2
Mike Pelfrey,Mets,13,11,32,32,2,200.2,209,12,64,110,86,0,0,0,83,13,0,1,0,851,2,0.54,2.87,4.93,1.72,5.4 %,49.6 %,6.3 %,74.3 %,3.72,0.302,3.96,1.36,1.4,3.1
Matt Garza,Rays,11,9,30,30,3,184.2,170,19,59,128,83,0,0,2,76,6,0,2,2,772,3,0.93,2.88,6.24,2.17,8.9 %,41.7 %,8.4 %,72.9 %,3.7,0.27,4.14,1.24,0.64,3.1
Justin Verlander,Tigers,11,17,33,33,1,201.0,195,18,87,163,119,0,0,3,108,14,0,8,0,880,6,0.81,3.9,7.3,1.87,8.6 %,39.9 %,7.0 %,65.4 %,4.84,0.29600000000000004,4.18,1.4,-0.68,3.0
Kevin Millwood,Rangers,9,10,29,29,3,168.2,220,18,49,125,104,0,0,1,95,6,0,3,0,767,2,0.96,2.61,6.67,2.55,9.9 %,40.7 %,9.2 %,68.5 %,5.07,0.355,4.02,1.59,-0.51,2.9
Bronson Arroyo,Reds,15,11,34,34,1,200.0,219,29,68,163,116,0,0,0,106,6,0,2,0,871,6,1.31,3.06,7.34,2.4,10.9 %,41.5 %,13.1 %,70.1 %,4.77,0.314,4.5,1.44,-0.07,2.8
Ted Lilly,Cubs,17,9,34,34,0,204.2,187,32,64,184,96,0,0,4,93,7,0,2,0,861,4,1.41,2.81,8.09,2.88,13.9 %,33.6 %,12.1 %,76.0 %,4.09,0.27,4.41,1.23,1.66,2.8
Carlos Zambrano,Cubs,14,6,30,30,1,188.2,172,18,72,130,85,0,0,0,82,6,0,1,1,796,4,0.86,3.43,6.2,1.81,7.3 %,47.2 %,9.0 %,73.4 %,3.91,0.27,4.23,1.29,0.7,2.8
Jamie Moyer,Phillies,16,7,33,33,0,196.1,199,20,62,123,85,0,0,0,81,11,0,4,0,841,3,0.92,2.84,5.64,1.98,7.3 %,43.9 %,9.0 %,76.6 %,3.71,0.28600000000000003,4.32,1.33,0.9,2.8
Randy Wolf,Astros,12,12,33,33,1,190.1,191,21,71,162,100,0,0,0,91,12,0,4,1,823,3,0.99,3.36,7.66,2.28,11.1 %,38.8 %,9.7 %,71.1 %,4.3,0.305,4.17,1.38,-0.09,2.6
Paul Maholm,Pirates,9,9,31,31,1,206.1,201,21,63,139,89,0,0,1,85,9,0,2,0,853,2,0.92,2.75,6.06,2.21,8.9 %,53.6 %,12.1 %,75.5 %,3.71,0.29,4.15,1.28,1.38,2.6
Daisuke Matsuzaka,Red Sox,18,3,29,29,0,167.2,128,12,94,154,58,0,0,0,54,7,0,1,0,716,5,0.64,5.05,8.27,1.64,8.4 %,38.6 %,6.1 %,80.6 %,2.9,0.258,4.03,1.32,3.13,2.6
Greg Maddux,Dodgers,8,13,33,33,0,194.0,204,21,30,98,105,0,0,2,91,6,0,5,0,804,2,0.97,1.39,4.55,3.27,8.5 %,49.3 %,10.9 %,64.1 %,4.22,0.282,4.09,1.21,-0.74,2.4
Jeremy Guthrie,Orioles,10,12,30,30,1,190.2,176,24,58,120,82,0,0,0,77,7,0,2,0,796,3,1.13,2.74,5.66,2.07,7.8 %,43.8 %,10.5 %,76.7 %,3.63,0.259,4.53,1.23,1.77,2.3
Manny Parra,Brewers,10,8,32,29,0,166.0,181,18,75,147,91,0,0,2,81,2,0,1,0,741,17,0.98,4.07,7.97,1.96,9.7 %,51.6 %,13.5 %,71.7 %,4.39,0.327,4.16,1.54,-0.51,2.3
Joe Saunders,Angels,17,7,31,31,1,198.0,187,21,53,103,82,0,0,0,75,6,0,2,0,807,3,0.95,2.41,4.68,1.94,6.2 %,46.6 %,8.7 %,75.7 %,3.41,0.266,4.36,1.21,3.13,2.3
Dana Eveland,Athletics,9,9,29,29,1,168.0,172,10,77,118,82,0,0,1,81,12,0,2,0,737,6,0.54,4.13,6.32,1.53,5.6 %,48.7 %,6.6 %,72.5 %,4.34,0.312,4.09,1.48,0.45,2.2
Gavin Floyd,White Sox,17,8,33,33,1,206.1,190,30,70,145,107,0,0,0,88,9,0,6,0,878,9,1.31,3.05,6.32,2.07,8.5 %,41.1 %,11.8 %,71.4 %,3.84,0.256,4.77,1.26,0.37,2.2
Jesse Litsch,Blue Jays,13,9,29,28,2,176.0,178,20,39,99,79,0,0,0,70,8,0,2,2,735,4,1.02,1.99,5.06,2.54,8.2 %,48.4 %,10.7 %,74.1 %,3.58,0.278,4.29,1.23,0.65,2.2
Brett Myers,Phillies,10,13,30,30,2,190.0,197,29,65,163,103,0,0,0,96,6,0,6,1,817,2,1.37,3.08,7.72,2.51,12.0 %,47.1 %,15.7 %,72.6 %,4.55,0.303,4.52,1.38,-1.36,2.1
Zach Duke,Pirates,5,14,31,31,1,185.0,230,19,47,87,111,0,0,2,99,7,0,1,1,829,2,0.92,2.29,4.23,1.85,4.8 %,48.2 %,9.3 %,67.2 %,4.82,0.315,4.4,1.5,-1.93,2.0
Todd Wellemeyer,Cardinals,13,9,32,32,0,191.2,178,25,62,134,84,0,0,1,79,7,0,1,0,807,7,1.17,2.91,6.29,2.16,8.9 %,39.3 %,10.6 %,76.9 %,3.71,0.264,4.51,1.25,1.37,2.0
Nick Blackburn,Twins,11,11,33,33,0,193.1,224,23,39,96,102,0,0,0,87,7,0,4,0,823,2,1.07,1.82,4.47,2.46,6.9 %,44.9 %,10.0 %,70.7 %,4.05,0.305,4.4,1.36,0.17,2.0
Aaron Harang,Reds,6,17,30,29,1,184.1,205,35,50,153,104,0,0,0,98,2,0,5,1,793,2,1.71,2.44,7.47,3.06,13.0 %,34.1 %,13.9 %,73.6 %,4.78,0.307,4.79,1.38,-0.17,1.9
Joe Blanton,Phillies,9,12,33,33,0,197.2,211,22,66,111,110,0,0,0,103,4,0,3,0,855,2,1.0,3.01,5.05,1.68,5.3 %,44.3 %,9.4 %,68.4 %,4.69,0.29,4.52,1.4,-1.44,1.9
Braden Looper,Cardinals,12,14,33,33,1,199.0,216,25,45,108,101,0,0,1,92,11,0,1,1,842,3,1.13,2.04,4.88,2.4,7.5 %,48.4 %,11.7 %,72.2 %,4.16,0.292,4.52,1.31,-0.18,1.7
Oliver Perez,Mets,10,7,34,34,0,194.0,167,24,105,180,100,0,0,1,91,11,0,4,0,847,9,1.11,4.87,8.35,1.71,8.9 %,32.0 %,9.8 %,73.4 %,4.22,0.271,4.68,1.4,0.38,1.7
Jason Marquis,Cubs,11,9,29,28,0,167.0,172,15,70,91,87,0,0,1,84,8,1,6,0,738,8,0.81,3.77,4.9,1.3,2.9 %,47.6 %,8.3 %,71.2 %,4.53,0.28300000000000003,4.61,1.45,-0.34,1.7
Johnny Cueto,Reds,9,14,31,31,0,174.0,178,29,68,158,101,0,0,1,93,14,0,1,0,769,6,1.5,3.52,8.17,2.32,11.7 %,38.6 %,13.9 %,72.5 %,4.81,0.298,4.9,1.41,-1.23,1.5
Ian Snell,Pirates,7,12,31,31,0,164.1,201,18,89,135,107,0,0,1,99,2,0,0,0,766,8,0.99,4.87,7.39,1.52,6.0 %,37.9 %,9.2 %,69.3 %,5.42,0.35100000000000003,4.57,1.76,-3.04,1.5
Greg Smith,Athletics,7,16,32,32,2,190.1,169,21,87,111,92,0,0,1,88,3,0,5,0,800,5,0.99,4.11,5.25,1.28,3.0 %,34.2 %,7.9 %,72.7 %,4.16,0.256,4.82,1.35,0.55,1.4
John Lannan,Nationals,9,15,31,31,0,182.0,172,23,72,117,89,0,0,2,79,7,0,1,0,779,6,1.14,3.56,5.79,1.63,5.8 %,54.2 %,15.2 %,74.0 %,3.91,0.266,4.79,1.34,0.35,1.4
John Lackey,Angels,12,5,24,24,3,163.1,161,26,40,130,71,0,0,0,68,10,0,1,0,675,5,1.43,2.2,7.16,3.25,13.3 %,45.1 %,15.4 %,80.2 %,3.75,0.28800000000000003,4.53,1.23,1.66,1.3
Barry Zito,Giants,10,17,32,32,0,180.0,186,16,102,120,115,0,0,0,103,4,0,10,0,818,3,0.8,5.1,6.0,1.18,2.2 %,36.4 %,6.8 %,65.7 %,5.15,0.295,4.72,1.6,-2.46,1.3
Edwin Jackson,Rays,14,11,32,31,0,183.1,199,23,77,108,91,0,1,1,90,2,0,1,0,792,7,1.13,3.78,5.3,1.4,3.9 %,39.1 %,9.6 %,76.1 %,4.42,0.302,4.88,1.51,-0.38,1.3
Dave Bush,Brewers,9,10,31,29,0,185.0,163,29,48,109,92,0,0,1,86,10,0,3,0,763,2,1.41,2.34,5.3,2.27,8.0 %,41.1 %,12.0 %,71.5 %,4.18,0.23600000000000002,4.93,1.14,-0.68,1.3
Jon Garland,Angels,14,8,32,32,1,196.2,237,23,59,90,116,0,0,0,107,8,0,4,0,864,4,1.05,2.7,4.12,1.53,3.6 %,49.9 %,11.9 %,69.2 %,4.9,0.313,4.76,1.51,-1.49,1.3
Armando Galarraga,Tigers,13,7,30,28,0,178.2,152,28,61,126,83,0,1,0,74,6,0,2,0,746,6,1.41,3.07,6.35,2.07,8.7 %,43.5 %,13.0 %,75.6 %,3.73,0.23600000000000002,4.88,1.19,1.22,1.2
Tim Redding,Nationals,10,11,33,33,1,182.0,195,27,65,120,110,0,0,0,100,7,0,5,0,791,10,1.34,3.21,5.93,1.85,7.0 %,39.8 %,11.3 %,68.5 %,4.95,0.294,4.93,1.43,-1.04,1.2
Tim Wakefield,Red Sox,10,11,30,30,1,181.0,154,25,60,117,89,0,0,0,83,13,0,0,0,754,12,1.24,2.98,5.82,1.95,7.6 %,35.5 %,9.1 %,71.9 %,4.13,0.239,4.84,1.18,0.79,1.1
Vicente Padilla,Rangers,14,8,29,29,1,171.0,185,26,65,127,100,0,0,3,90,15,0,4,1,757,12,1.37,3.42,6.68,1.95,8.2 %,42.7 %,12.5 %,72.2 %,4.74,0.303,5.03,1.46,-1.01,1.1
Scott Olsen,Marlins,8,11,33,33,0,201.2,195,30,69,113,106,0,0,0,94,3,0,13,0,855,5,1.34,3.08,5.04,1.64,5.2 %,37.4 %,10.9 %,71.6 %,4.2,0.258,5.02,1.31,-0.13,1.0
Brian Bannister,Royals,9,16,32,32,1,182.2,215,29,58,113,127,0,0,1,117,7,0,1,0,811,7,1.43,2.86,5.57,1.95,6.8 %,37.5 %,11.5 %,63.9 %,5.76,0.308,5.03,1.49,-2.85,1.0
Nate Robertson,Tigers,7,11,32,28,0,168.2,218,26,62,108,124,0,0,0,119,2,0,7,0,761,5,1.39,3.31,5.76,1.74,6.0 %,44.5 %,12.6 %,64.3 %,6.35,0.341,4.99,1.66,-2.0,0.9
Livan Hernandez,Rockies,13,11,31,31,2,180.0,257,25,43,67,129,0,0,1,121,2,0,4,0,811,3,1.25,2.15,3.35,1.56,3.0 %,44.5 %,10.7 %,64.8 %,6.05,0.344,4.94,1.67,-2.7,0.9
Kenny Rogers,Tigers,9,13,30,30,0,173.2,212,22,71,82,118,0,0,1,110,9,0,3,0,782,4,1.14,3.68,4.25,1.15,1.4 %,41.5 %,9.6 %,66.6 %,5.7,0.318,5.22,1.63,-1.86,0.7
Paul Byrd,Red Sox,11,12,30,30,1,180.0,204,31,34,82,96,0,0,0,92,7,0,0,0,761,0,1.55,1.7,4.1,2.41,6.3 %,35.8 %,12.0 %,73.9 %,4.6,0.285,5.14,1.32,0.64,0.6
Daniel Cabrera,Orioles,8,10,30,30,2,180.0,199,24,90,95,109,0,0,2,105,18,0,5,0,821,15,1.2,4.5,4.75,1.06,0.6 %,48.0 %,12.2 %,72.4 %,5.25,0.295,5.61,1.61,-1.62,0.2
Jeff Suppan,Brewers,10,10,31,31,0,177.2,207,30,67,90,110,0,0,1,98,4,0,7,0,780,3,1.52,3.39,4.56,1.34,3.0 %,44.4 %,15.7 %,71.2 %,4.96,0.301,5.51,1.54,-1.12,0.0
Brandon Backe,Astros,9,14,31,31,0,166.2,202,36,77,127,114,0,0,0,112,4,0,2,0,756,2,1.94,4.16,6.86,1.65,6.6 %,37.9 %,16.1 %,72.7 %,6.05,0.324,5.87,1.67,-2.8,-0.4
