Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
CC Sabathia,Brewers,17,10,35,35,10,253.0,223,19,59,251,85,0,0,2,76,7,0,1,5,1023,2,0.68,2.1,8.93,4.25,18.8 %,46.6 %,8.8 %,77.7 %,2.7,0.297,2.91,1.11,4.76,7.3
Tim Lincecum,Giants,18,5,34,33,2,227.0,182,11,84,265,72,0,0,2,66,6,0,1,1,928,17,0.44,3.33,10.51,3.15,19.5 %,43.9 %,5.6 %,77.9 %,2.62,0.304,2.62,1.17,5.12,7.1
Roy Halladay,Blue Jays,20,11,34,33,9,246.0,220,18,39,206,88,0,0,0,76,12,1,3,2,987,4,0.66,1.43,7.54,5.28,16.9 %,53.7 %,9.4 %,74.5 %,2.78,0.284,3.03,1.05,4.29,6.8
Cliff Lee,Indians,22,3,31,31,4,223.1,214,12,34,170,68,0,0,0,63,5,0,1,2,891,4,0.48,1.37,6.85,5.0,15.3 %,45.9 %,5.1 %,78.3 %,2.54,0.301,2.83,1.11,5.82,6.7
Dan Haren,Diamondbacks,16,8,33,33,1,216.0,204,19,40,206,86,0,0,0,80,6,0,4,1,881,11,0.79,1.67,8.58,5.15,18.8 %,44.2 %,8.9 %,73.4 %,3.33,0.303,3.01,1.13,2.71,6.2
Ervin Santana,Angels,16,7,32,32,2,219.0,198,23,47,214,89,0,0,1,85,8,0,2,1,897,5,0.95,1.93,8.79,4.55,18.6 %,38.8 %,8.9 %,74.3 %,3.49,0.289,3.3,1.12,3.42,5.5
Brandon Webb,Diamondbacks,22,7,34,34,3,226.2,206,13,65,183,95,0,0,1,83,12,0,5,1,944,8,0.52,2.58,7.27,2.82,12.5 %,64.4 %,9.6 %,71.0 %,3.3,0.28800000000000003,3.28,1.2,3.84,5.5
Johan Santana,Mets,16,7,34,34,3,234.1,206,23,63,206,74,0,0,2,66,4,0,5,2,964,9,0.88,2.42,7.91,3.27,14.8 %,41.2 %,9.4 %,82.6 %,2.53,0.27399999999999997,3.51,1.15,3.97,5.3
A.J. Burnett,Blue Jays,18,10,35,34,1,221.1,211,19,86,231,109,0,0,2,100,9,0,2,0,957,11,0.77,3.5,9.39,2.69,15.2 %,48.5 %,9.7 %,70.5 %,4.07,0.314,3.45,1.34,1.03,5.1
Derek Lowe,Dodgers,14,11,34,34,1,211.0,194,14,45,147,84,0,0,0,76,1,0,7,0,851,2,0.6,1.92,6.27,3.27,12.0 %,60.3 %,9.5 %,70.8 %,3.24,0.28,3.26,1.13,1.57,4.8
John Danks,White Sox,12,9,33,33,0,195.0,182,15,57,159,74,0,0,0,72,4,0,1,0,804,7,0.69,2.63,7.34,2.79,12.7 %,42.8 %,7.4 %,76.1 %,3.32,0.293,3.44,1.23,3.0,4.8
Cole Hamels,Phillies,14,10,33,33,2,227.1,193,28,53,196,89,0,0,0,78,1,0,7,2,914,0,1.11,2.1,7.76,3.7,15.7 %,39.5 %,11.2 %,76.0 %,3.09,0.259,3.72,1.08,2.59,4.8
Ben Sheets,Brewers,13,9,31,31,5,198.1,181,17,47,158,74,0,0,0,68,1,0,2,3,812,8,0.77,2.13,7.17,3.36,13.7 %,40.6 %,7.0 %,75.5 %,3.09,0.278,3.38,1.15,2.44,4.7
Javier Vazquez,White Sox,12,16,33,33,1,208.1,214,25,61,200,113,0,0,0,108,6,0,2,0,890,2,1.08,2.64,8.64,3.28,15.6 %,38.2 %,9.8 %,68.3 %,4.67,0.316,3.74,1.32,0.19,4.7
Ryan Dempster,Cubs,17,6,33,33,1,206.2,174,14,76,187,75,0,0,0,68,7,0,1,0,856,5,0.61,3.31,8.14,2.46,13.0 %,48.1 %,7.7 %,76.7 %,2.96,0.28,3.41,1.21,3.7,4.7
Mike Mussina,Yankees,20,9,34,34,0,200.1,214,17,31,150,85,0,0,0,75,8,0,3,0,819,4,0.76,1.39,6.74,4.84,14.5 %,48.5 %,9.2 %,73.3 %,3.37,0.321,3.32,1.22,1.92,4.6
Aaron Cook,Rockies,16,9,32,32,2,211.1,236,13,48,96,102,0,0,0,93,4,0,2,1,886,6,0.55,2.04,4.09,2.0,5.4 %,55.9 %,7.6 %,68.9 %,3.96,0.308,3.76,1.34,2.0,4.4
Chad Billingsley,Dodgers,16,10,35,32,1,200.2,188,14,80,201,76,0,0,0,70,8,1,6,1,859,10,0.63,3.59,9.01,2.51,14.1 %,49.0 %,8.1 %,78.0 %,3.14,0.313,3.35,1.34,2.08,4.4
Edinson Volquez,Reds,17,6,33,32,0,196.0,167,14,93,206,82,0,0,1,70,14,0,5,0,838,10,0.64,4.27,9.46,2.22,13.5 %,46.3 %,8.0 %,75.5 %,3.21,0.299,3.6,1.33,2.29,4.2
Gil Meche,Royals,14,11,34,34,0,210.1,204,19,73,183,98,0,0,0,93,0,0,2,0,886,5,0.81,3.12,7.83,2.51,12.4 %,39.2 %,7.9 %,71.5 %,3.98,0.303,3.61,1.32,1.22,4.2
Zack Greinke,Royals,13,10,32,32,1,202.1,202,21,56,183,87,0,0,1,78,4,0,1,0,851,8,0.93,2.49,8.14,3.27,14.9 %,42.7 %,9.1 %,75.2 %,3.47,0.308,3.56,1.28,1.97,4.2
Mark Buehrle,White Sox,15,12,34,34,1,218.2,240,22,52,140,106,0,0,0,92,5,0,4,0,918,4,0.91,2.14,5.76,2.69,9.6 %,49.6 %,9.9 %,71.8 %,3.79,0.312,3.94,1.34,1.73,4.2
Josh Beckett,Red Sox,12,10,27,27,1,174.1,173,18,34,172,80,0,0,0,78,9,0,1,0,725,5,0.93,1.76,8.88,5.06,19.0 %,40.8 %,10.5 %,71.3 %,4.03,0.315,3.24,1.19,1.44,4.1
Jon Lester,Red Sox,16,6,33,33,2,210.1,202,14,66,152,78,0,0,1,75,10,0,1,2,874,3,0.6,2.82,6.5,2.3,9.8 %,47.5 %,7.0 %,77.4 %,3.21,0.297,3.64,1.27,3.11,4.1
Ricky Nolasco,Marlins,15,8,34,32,1,212.1,192,28,42,186,88,0,0,3,83,6,0,6,1,868,1,1.19,1.78,7.88,4.43,16.6 %,38.7 %,10.7 %,75.7 %,3.52,0.271,3.77,1.1,1.53,4.0
Ubaldo Jimenez,Rockies,12,12,34,34,1,198.2,182,11,103,172,97,0,0,0,88,10,0,4,0,868,16,0.5,4.67,7.79,1.67,8.0 %,54.4 %,6.9 %,70.8 %,3.99,0.299,3.83,1.43,0.56,3.8
Jair Jurrjens,Braves,13,10,31,31,0,188.1,188,11,70,139,87,0,0,0,77,4,0,9,0,813,3,0.53,3.35,6.64,1.99,8.5 %,51.7 %,7.1 %,71.0 %,3.68,0.301,3.59,1.37,0.34,3.8
Andy Pettitte,Yankees,14,14,33,33,0,204.0,233,19,55,158,112,0,0,1,103,7,0,4,0,881,6,0.84,2.43,6.97,2.87,11.7 %,51.5 %,10.3 %,68.2 %,4.54,0.33299999999999996,3.71,1.41,-1.12,3.8
James Shields,Rays,14,8,33,33,3,215.0,208,24,40,160,94,0,0,0,85,12,0,0,2,877,6,1.0,1.67,6.7,4.0,13.7 %,46.3 %,9.8 %,73.3 %,3.56,0.287,3.82,1.15,0.84,3.8
Randy Johnson,Diamondbacks,11,10,30,30,2,184.0,184,24,44,173,92,0,0,1,80,6,0,6,0,778,2,1.17,2.15,8.46,3.93,16.6 %,40.2 %,10.8 %,70.9 %,3.91,0.301,3.76,1.24,0.88,3.7
