Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
David DeJesus,Royals,135,518,577,159,115,25,7,12,70,73,46,3,71,8.0,12.3,0.65,0.335,5,4,4,10,11,8,-4.7,0.145,0.358,14.2,0.307,0.366,0.452,0.818,2.5,116,2.29
Miguel Tejada,Astros,158,632,666,179,125,38,3,13,92,66,24,4,72,3.6,10.8,0.33,0.302,6,3,1,32,7,7,16.9,0.131,0.317,-6.2,0.28300000000000003,0.314,0.415,0.7290000000000001,2.5,90,-1.59
Derrek Lee,Cubs,155,623,698,181,117,41,3,20,93,90,71,3,119,10.2,17.0,0.6,0.33,0,4,0,27,8,2,-5.9,0.172,0.36,18.0,0.29100000000000004,0.361,0.462,0.823,2.4,111,1.65
Carlos Delgado,Mets,159,598,686,162,91,32,1,38,96,115,72,19,124,10.5,18.1,0.58,0.27899999999999997,8,8,0,16,1,1,-15.7,0.247,0.366,21.1,0.271,0.353,0.518,0.871,2.4,123,2.41
Jason Kendall,Brewers,151,516,587,127,93,30,2,2,46,49,50,7,45,8.5,7.7,1.11,0.265,13,2,6,5,8,3,21.7,0.078,0.293,-16.9,0.24600000000000002,0.327,0.324,0.6509999999999999,2.4,74,-1.62
Jason Giambi,Yankees,145,458,565,113,61,19,1,32,68,96,76,5,111,13.5,19.6,0.68,0.25,22,9,0,6,2,1,-15.1,0.255,0.37799999999999995,23.0,0.247,0.373,0.502,0.8759999999999999,2.4,131,2.11
Pat Burrell,Phillies,157,536,645,134,65,33,3,33,74,86,102,8,136,15.8,21.1,0.75,0.271,1,6,0,10,0,0,-15.2,0.257,0.375,24.7,0.25,0.36700000000000005,0.507,0.875,2.4,125,3.87
Michael Young,Rangers,155,645,708,183,133,36,2,12,102,82,55,0,109,7.8,15.4,0.5,0.32299999999999995,2,6,0,19,10,0,1.9,0.11800000000000001,0.32799999999999996,0.0,0.284,0.33899999999999997,0.402,0.741,2.3,95,-0.04
Torii Hunter,Angels,146,551,608,153,93,37,2,21,85,78,50,6,108,8.2,17.8,0.46,0.312,6,1,0,15,19,5,-9.2,0.18899999999999997,0.35100000000000003,11.3,0.278,0.344,0.466,0.81,2.3,114,0.93
Fred Lewis,Giants,133,468,521,132,87,25,11,9,81,40,51,3,124,9.8,23.8,0.41,0.365,0,2,0,5,21,7,-3.7,0.158,0.34600000000000003,7.5,0.282,0.35100000000000003,0.44,0.7909999999999999,2.3,107,1.51
