"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Randy Wolf","- - -","-0.09","-15.05","14.95","-5.52","-0.46","1.04","","0.87","0.98","32","-0.47","0.38","0","0","976"
"Scott Olsen","Marlins","-0.13","-15.25","15.12","1.14","0.19","0.99","","0.86","1.20","33","0.07","-0.20","0","0","4529"
"Aaron Harang","Reds","-0.17","-14.37","14.20","-5.65","-0.61","0.99","","0.92","0.77","29","-1.56","1.39","1","0","1451"
"Braden Looper","Cardinals","-0.18","-13.90","13.72","0.04","-0.06","0.91","","0.87","1.04","32","-0.30","0.11","0","0","526"
"Jason Marquis","Cubs","-0.34","-12.56","12.21","2.69","0.26","0.97","","0.88","1.30","29","0.16","-0.51","0","1","105"
"Edwin Jackson","Rays","-0.38","-14.74","14.36","0.05","0.04","1.00","","0.91","1.11","32","-1.59","1.21","0","1","1841"
"Kevin Millwood","Rangers","-0.51","-14.57","14.07","-11.98","-1.24","1.07","","0.88","1.13","26","-1.16","0.69","0","0","106"
"Manny Parra","Brewers","-0.51","-13.50","12.99","-7.28","-0.74","1.04","","0.81","1.16","32","-1.10","0.61","0","0","4279"
"Justin Verlander","Tigers","-0.68","-14.77","14.09","-4.96","-0.53","0.94","","0.87","0.79","32","0.52","-1.24","0","0","8700"
"Dave Bush","Brewers","-0.68","-12.48","11.80","4.95","0.57","0.86","0.39","0.84","0.74","31","0.33","-1.12","0","0","4635"
"Greg Maddux","- - -","-0.74","-14.29","13.55","-11.14","-1.05","0.95","","0.88","1.11","33","0.39","-1.18","0","0","104"
"Vicente Padilla","Rangers","-1.01","-14.62","13.61","-10.22","-0.92","1.02","","0.87","1.18","28","-1.67","0.67","0","0","964"
"Andy Sonnanstine","Rays","-1.02","-15.18","14.16","-6.78","-0.73","0.98","","0.88","1.15","31","-0.25","-0.78","0","0","7667"
"Tim Redding","Nationals","-1.04","-15.15","14.10","-10.59","-1.07","1.02","","0.87","1.39","32","-1.55","0.53","0","0","573"
"Andy Pettitte","Yankees","-1.12","-16.57","15.45","-6.70","-0.68","1.03","","0.87","0.90","33","0.52","-1.61","0","0","840"
"Jeff Suppan","Brewers","-1.12","-14.11","12.99","-19.12","-1.85","0.96","","0.87","1.01","31","-1.83","0.66","0","0","633"
"Johnny Cueto","Reds","-1.23","-14.22","13.00","-6.47","-0.75","0.97","","0.87","0.88","31","-1.40","0.13","0","0","6893"
"Brett Myers","Phillies","-1.36","-15.02","13.67","-1.06","-0.06","0.95","","0.88","1.19","28","-0.24","-1.19","0","0","962"
"Joe Blanton","- - -","-1.44","-16.25","14.81","-7.02","-0.70","1.03","","0.87","1.39","33","-0.33","-1.07","0","0","4849"
"Jon Garland","Angels","-1.49","-15.61","14.12","-17.67","-1.76","0.95","","0.86","1.22","31","-1.70","0.13","0","0","232"
"Daniel Cabrera","Orioles","-1.62","-15.82","14.20","-13.77","-1.33","1.04","","0.86","1.26","28","-2.05","0.50","0","0","1931"
"Kenny Rogers","Tigers","-1.86","-15.45","13.59","-22.08","-2.13","0.99","","0.86","1.04","30","-2.35","0.49","0","0","1277"
"Zach Duke","Pirates","-1.93","-15.12","13.18","-16.45","-1.62","0.94","","0.87","1.06","30","-1.73","-0.32","0","0","3840"
"Nate Robertson","Tigers","-2.00","-14.33","12.33","-30.73","-3.04","0.94","","0.75","1.05","31","-2.55","0.43","0","1","1620"
"Barry Zito","Giants","-2.46","-15.19","12.73","-20.69","-2.07","1.01","","0.88","0.82","32","-1.08","-1.36","0","0","944"
"Livan Hernandez","- - -","-2.70","-15.17","12.48","-34.55","-3.34","0.90","","0.87","0.80","29","-2.27","-0.73","0","0","1116"
"Brandon Backe","Astros","-2.80","-14.77","11.97","-33.39","-3.32","0.91","","0.87","1.24","31","-3.19","0.12","0","0","1529"
"Brian Bannister","Royals","-2.85","-16.00","13.15","-30.55","-3.02","0.94","","0.87","0.87","31","-2.26","-0.77","0","0","5718"
"Ian Snell","Pirates","-3.04","-16.31","13.27","-24.25","-2.41","1.07","","0.87","1.13","31","-2.97","0.13","0","0","2227"
