"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Cliff Lee","Indians","5.82","-11.74","17.56","47.39","4.78","0.99","","0.87","0.97","27","4.56","1.29","0","0","1636"
"Tim Lincecum","Giants","5.12","-13.55","18.67","49.14","4.99","1.04","","0.88","1.48","32","3.89","1.02","1","0","5705"
"CC Sabathia","- - -","4.76","-14.97","19.73","46.07","4.70","1.01","","0.87","1.11","25","4.58","0.15","0","0","404"
"Roy Halladay","Blue Jays","4.29","-14.93","19.22","40.28","3.98","1.03","2.57","0.92","1.08","25","5.00","-0.83","1","0","1303"
"Johan Santana","Mets","3.97","-13.69","17.66","43.90","4.50","0.98","","0.88","1.25","31","3.38","0.66","0","0","755"
"Brandon Webb","Diamondbacks","3.84","-14.92","18.76","27.95","2.61","1.05","","0.87","0.99","31","2.38","1.27","0","0","1692"
"Ryan Dempster","Cubs","3.70","-12.06","15.76","36.06","3.48","0.97","","0.87","0.98","32","3.64","0.16","0","0","517"
"Ervin Santana","Angels","3.42","-13.12","16.54","25.66","2.61","0.99","","0.88","1.25","30","2.94","0.51","0","0","3200"
"Daisuke Matsuzaka","Red Sox","3.13","-10.29","13.42","32.20","3.14","1.00","","0.87","1.02","29","2.18","0.95","0","0","7775"
"Joe Saunders","Angels","3.13","-13.55","16.68","23.41","2.31","1.06","","0.88","1.45","30","1.96","1.00","0","0","4366"
"Jon Lester","Red Sox","3.11","-12.29","15.41","34.41","3.23","0.91","","0.88","1.03","31","2.48","0.93","0","0","4930"
"John Danks","White Sox","3.00","-14.23","17.23","31.13","3.03","1.09","","0.87","1.60","33","3.05","-0.30","0","0","6329"
"Dan Haren","Diamondbacks","2.71","-12.75","15.46","36.54","3.44","0.91","","0.87","1.07","32","3.46","-0.48","0","0","1757"
"Scott Baker","Twins","2.67","-10.62","13.29","23.39","2.33","0.98","","0.86","1.22","28","1.91","0.81","0","0","6176"
"Cole Hamels","Phillies","2.59","-14.17","16.76","29.33","2.90","0.96","","0.88","1.16","31","2.94","-0.23","0","0","4972"
"Ben Sheets","Brewers","2.44","-12.30","14.74","25.16","2.51","0.98","","0.88","0.79","26","1.92","0.58","0","0","710"
"Edinson Volquez","Reds","2.29","-13.72","16.01","20.98","2.04","1.06","","0.90","1.13","32","1.82","0.34","0","1","3990"
"Chad Billingsley","Dodgers","2.08","-12.93","15.01","22.10","2.26","0.99","","0.89","1.19","33","1.66","0.44","1","1","5842"
"Aaron Cook","Rockies","2.00","-14.97","16.96","14.70","1.46","1.01","","0.87","1.10","30","1.88","0.09","0","0","1571"
"Zack Greinke","Royals","1.97","-13.11","15.08","18.40","1.83","0.95","","0.88","0.96","31","1.81","0.26","0","0","1943"
"Jake Peavy","Padres","1.95","-11.79","13.73","25.19","2.83","1.06","","0.87","0.99","26","1.90","-0.07","0","0","1051"
"Mike Mussina","Yankees","1.92","-13.40","15.32","19.63","1.92","0.98","","0.88","0.93","34","1.79","0.17","0","0","837"
"Jeremy Guthrie","Orioles","1.77","-12.72","14.49","18.73","1.87","0.99","","0.88","1.11","29","2.00","-0.21","0","0","2072"
"Mark Buehrle","White Sox","1.73","-14.89","16.62","15.73","1.42","0.93","","0.88","0.88","33","1.18","0.67","0","0","225"
"John Lackey","Angels","1.66","-11.94","13.60","13.43","1.34","1.04","","0.88","1.56","21","0.46","1.13","0","0","1507"
"Ted Lilly","Cubs","1.66","-14.08","15.75","13.35","1.38","0.97","","0.88","1.17","34","1.00","0.71","0","0","833"
"Derek Lowe","Dodgers","1.57","-12.07","13.64","23.07","2.36","0.88","","0.87","0.85","33","3.26","-1.48","0","0","199"
"Matt Cain","Giants","1.53","-16.78","18.31","14.93","1.42","1.07","","0.88","1.22","33","1.00","0.43","0","0","4732"
"Ricky Nolasco","Marlins","1.53","-12.82","14.35","21.57","2.17","0.91","1.43","0.88","1.03","33","1.10","0.58","0","0","3830"
"Roy Oswalt","Astros","1.50","-12.83","14.34","20.23","1.96","0.92","","0.88","0.95","29","1.77","-0.15","0","0","571"
"Josh Beckett","Red Sox","1.44","-11.45","12.89","19.09","1.90","0.97","","0.87","0.97","26","2.40","-0.92","0","0","510"
"Mike Pelfrey","Mets","1.40","-13.71","15.11","16.66","1.75","0.98","","0.88","0.94","30","0.79","0.65","0","0","5203"
"Paul Maholm","Pirates","1.38","-14.19","15.57","16.56","1.70","0.99","","0.87","1.23","30","1.68","-0.29","0","0","8678"
"Todd Wellemeyer","Cardinals","1.37","-13.69","15.05","13.75","1.37","1.02","","0.87","0.88","32","-0.26","1.60","0","0","1709"
"Gil Meche","Royals","1.22","-14.51","15.73","10.88","1.06","0.98","","0.88","1.27","34","1.74","-0.49","0","0","1089"
"Armando Galarraga","Tigers","1.22","-11.89","13.10","12.77","1.26","0.94","2.01","0.92","1.16","30","0.25","1.04","0","2","4222"
"Felix Hernandez","Mariners","1.17","-15.58","16.76","17.36","1.74","1.09","","0.87","1.33","29","0.60","0.48","0","0","4772"
"Kyle Lohse","Cardinals","1.04","-13.96","15.00","11.32","1.20","0.99","","0.87","1.25","33","1.19","-0.13","0","0","739"
"A.J. Burnett","Blue Jays","1.03","-17.56","18.59","10.64","1.00","1.05","","0.92","1.62","33","0.41","0.58","0","1","512"
"Jamie Moyer","Phillies","0.90","-14.11","15.01","14.10","1.46","1.00","","0.88","1.20","33","1.15","-0.26","0","0","1091"
"Randy Johnson","Diamondbacks","0.88","-12.20","13.08","6.27","0.61","0.92","","0.87","1.10","28","1.32","-0.36","0","0","60"
"James Shields","Rays","0.84","-14.44","15.28","16.50","1.72","0.92","","0.87","1.25","30","1.56","-0.64","0","0","7059"
"Tim Wakefield","Red Sox","0.79","-12.73","13.52","11.53","1.02","0.99","","0.87","1.19","29","1.66","-0.86","0","0","219"
"Carlos Zambrano","Cubs","0.70","-13.44","14.14","14.51","1.35","0.95","","0.88","0.95","29","1.93","-1.20","0","0","305"
"Jesse Litsch","Blue Jays","0.65","-10.82","11.47","14.66","1.43","0.86","","0.85","1.02","27","0.90","-0.15","0","0","3688"
"Matt Garza","Rays","0.64","-12.85","13.49","8.59","0.86","1.00","","0.88","1.19","27","1.66","-1.03","0","0","3340"
"Paul Byrd","- - -","0.64","-12.88","13.52","-1.92","-0.15","0.96","","0.87","1.02","29","-0.37","1.04","0","0","594"
"Jered Weaver","Angels","0.59","-13.10","13.69","5.98","0.58","1.02","","0.87","1.20","30","0.11","0.46","0","0","4235"
"Ubaldo Jimenez","Rockies","0.56","-14.73","15.29","15.84","1.22","1.01","","0.87","0.99","33","1.84","-1.29","0","0","3374"
"Greg Smith","Athletics","0.55","-12.99","13.55","8.45","0.83","0.93","","0.87","1.02","30","0.23","0.36","0","0","3455"
"Hiroki Kuroda","Dodgers","0.54","-13.56","14.10","6.10","0.62","1.04","","0.87","1.22","29","1.27","-0.76","0","0","3283"
"Dana Eveland","Athletics","0.45","-12.57","13.03","1.69","0.29","1.02","","0.87","1.37","28","0.23","0.22","0","0","5508"
"Oliver Perez","Mets","0.38","-14.98","15.36","0.44","0.01","1.07","","0.87","1.57","34","-0.18","0.53","0","0","1514"
"Gavin Floyd","White Sox","0.37","-14.72","15.09","5.66","0.49","0.93","","0.87","0.96","32","0.62","-0.22","0","0","3886"
"John Lannan","Nationals","0.35","-14.55","14.90","7.32","0.73","1.06","","0.87","0.96","31","-0.05","0.38","0","0","7080"
"Jair Jurrjens","Braves","0.34","-13.68","14.02","8.24","0.77","1.01","","0.88","0.88","31","0.61","-0.27","0","0","5556"
"Javier Vazquez","White Sox","0.19","-14.05","14.23","4.29","0.40","0.88","","0.87","1.01","32","0.58","-0.36","0","0","801"
"Nick Blackburn","Twins","0.17","-14.91","15.08","-0.57","-0.07","1.04","","0.87","1.17","33","-0.05","0.22","0","0","4270"
"Bronson Arroyo","Reds","-0.07","-15.42","15.34","-11.33","-1.17","0.98","","0.87","0.78","33","-1.05","0.97","0","0","978"
