Name,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR
Corey Kluber,Indians,18,4,29,29,5,203.2,141,21,36,265,56,0,0,0,51,5,0,2,3,777,4,0.93,1.59,11.71,7.36,29.5,44.5,13.5,82.6,2.25,0.267,2.5,0.87,4.72,7.3
Clayton Kershaw,Dodgers,18,4,27,27,1,175.0,136,23,30,202,49,0,0,2,45,0,0,0,0,679,4,1.18,1.54,10.39,6.73,25.3,47.9,15.9,87.4,2.31,0.267,3.07,0.95,4.18,4.6
Max Scherzer,Nationals,16,6,31,31,2,200.2,126,22,55,268,62,0,0,0,56,11,0,2,0,780,4,0.99,2.47,12.02,4.87,27.3,36.5,10.8,80.7,2.51,0.245,2.9,0.9,4.47,6.0
Stephen Strasburg,Nationals,15,4,28,28,1,175.1,131,13,47,204,55,0,0,0,49,7,0,5,1,701,3,0.67,2.41,10.47,4.34,22.4,46.8,8.7,77.9,2.52,0.27399999999999997,2.72,1.02,3.43,5.6
Robbie Ray,Diamondbacks,15,5,28,28,1,162.0,116,23,71,218,57,0,0,0,52,5,0,3,1,665,8,1.28,3.94,12.11,3.07,22.1,40.3,15.6,84.5,2.89,0.267,3.72,1.15,2.04,3.2
Chris Sale,Red Sox,17,8,32,32,1,214.1,165,24,43,308,73,0,0,0,69,8,0,0,0,851,3,1.01,1.81,12.93,7.16,31.1,38.7,12.1,78.4,2.9,0.301,2.45,0.97,3.73,7.7
Gio Gonzalez,Nationals,15,9,32,32,0,201.0,158,21,79,188,69,0,0,0,66,7,0,5,0,827,7,0.94,3.54,8.42,2.38,13.2,45.8,11.1,81.6,2.96,0.258,3.93,1.18,3.56,3.3
Luis Severino,Yankees,14,6,31,31,0,193.1,150,21,51,230,73,0,0,0,64,6,0,0,0,783,6,0.98,2.37,10.71,4.51,22.9,50.6,14.0,75.5,2.98,0.272,3.07,1.04,2.96,5.7
Marcus Stroman,Blue Jays,13,9,33,33,2,201.0,201,21,62,164,82,0,0,1,69,6,0,1,0,834,3,0.94,2.78,7.34,2.65,12.2,62.1,17.8,78.1,3.09,0.31,3.9,1.31,2.18,3.4
Zack Greinke,Diamondbacks,17,7,32,32,1,202.1,172,25,45,215,80,0,0,0,72,0,0,0,0,801,12,1.11,2.0,9.56,4.78,21.2,46.8,13.4,75.3,3.2,0.285,3.31,1.07,3.11,5.1
