Name,Team,OBP,SLG,BABIP,BB%,K%,Def,ISO,WAR,wOBA,wRC+
Ben Gamel,Mariners,0.322,0.413,0.34,6.5,22.2,-5.8,0.138,1.6,0.315,99
Scott Schebler,Reds,0.307,0.484,0.248,7.3,23.5,-4.1,0.252,1.4,0.33,100
Jordy Mercer,Pirates,0.326,0.406,0.284,9.1,15.8,4.9,0.151,1.4,0.308,88
Trevor Story,Rockies,0.308,0.457,0.332,8.8,34.4,7.6,0.219,1.3,0.323,81
Asdrubal Cabrera,Mets,0.351,0.434,0.31,9.3,15.4,-3.4,0.154,1.3,0.338,111
Max Kepler,Twins,0.312,0.425,0.276,8.3,20.1,-4.8,0.182,1.2,0.315,92
Denard Span,Giants,0.329,0.427,0.295,7.4,12.7,-5.7,0.155,1.2,0.325,102
Billy Hamilton,Reds,0.299,0.335,0.313,7.0,21.0,9.6,0.088,1.2,0.278,66
Orlando Arcia,Brewers,0.324,0.407,0.317,6.6,18.2,4.0,0.13,1.2,0.309,85
Yangervis Solarte,Padres,0.314,0.416,0.258,7.2,11.9,1.6,0.161,1.1,0.311,93
Wil Myers,Padres,0.328,0.464,0.297,10.8,27.7,-19.3,0.22,0.9,0.335,109
Mitch Moreland,Red Sox,0.326,0.443,0.278,9.9,20.8,-7.0,0.197,0.9,0.326,98
Nick Markakis,Braves,0.354,0.384,0.324,10.1,16.4,-7.3,0.11,0.9,0.321,95
Shin-Soo Choo,Rangers,0.357,0.423,0.305,12.1,21.1,-17.3,0.162,0.8,0.339,107
Mark Reynolds,Rockies,0.352,0.487,0.343,11.6,29.5,-11.6,0.219,0.8,0.357,104
Josh Bell,Pirates,0.334,0.466,0.278,10.6,18.9,-12.1,0.211,0.8,0.338,108
Hunter Pence,Giants,0.315,0.385,0.301,7.4,18.9,-4.4,0.126,0.7,0.303,87
Alcides Escobar,Royals,0.272,0.357,0.291,2.4,16.2,9.2,0.107,0.5,0.269,62
Nomar Mazara,Rangers,0.323,0.422,0.293,8.9,20.6,-8.8,0.17,0.4,0.317,92
Ryon Healy,Athletics,0.302,0.451,0.319,3.8,23.5,-16.5,0.181,0.2,0.32,100
Tim Anderson,White Sox,0.276,0.402,0.328,2.1,26.7,-5.7,0.145,0.2,0.288,78
Chris Davis,Orioles,0.309,0.423,0.301,11.6,37.2,-9.7,0.208,0.2,0.312,92
Dansby Swanson,Braves,0.312,0.324,0.292,10.7,21.8,6.0,0.092,0.1,0.276,66
Alex Gordon,Royals,0.293,0.315,0.261,8.3,23.3,5.6,0.107,0.0,0.269,62
Melky Cabrera,Royals,0.324,0.423,0.299,5.4,11.1,-17.6,0.137,0.0,0.319,98
Carlos Gonzalez,Rockies,0.339,0.423,0.318,10.5,22.3,-7.5,0.162,-0.2,0.327,84
Miguel Cabrera,Tigers,0.329,0.399,0.292,10.2,20.8,-6.3,0.149,-0.2,0.313,91
Jose Peraza,Reds,0.297,0.324,0.293,3.9,13.5,3.1,0.066,-0.2,0.273,62
Hanley Ramirez,Red Sox,0.32,0.429,0.272,9.2,21.0,-13.3,0.188,-0.4,0.318,93
Jose Bautista,Blue Jays,0.308,0.366,0.239,12.2,24.8,-6.6,0.164,-0.5,0.295,80
Maikel Franco,Phillies,0.281,0.409,0.234,6.6,15.2,-3.0,0.179,-0.5,0.292,76
Kendrys Morales,Blue Jays,0.308,0.445,0.278,7.1,21.7,-15.7,0.196,-0.6,0.32,97
Rougned Odor,Rangers,0.252,0.397,0.224,4.9,24.9,-3.1,0.193,-1.0,0.272,61
Carlos Beltran,Astros,0.283,0.383,0.263,6.5,20.0,-11.3,0.152,-1.1,0.283,76
Tommy Joseph,Phillies,0.289,0.432,0.28,6.2,24.2,-14.0,0.192,-1.1,0.305,85
Mark Trumbo,Orioles,0.289,0.397,0.278,7.0,24.7,-17.3,0.163,-1.2,0.295,80
Albert Pujols,Angels,0.286,0.386,0.249,5.8,14.6,-18.1,0.145,-2.0,0.286,78
